date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2014-06-19'],NatWest T20 Blast,693117,Northamptonshire,9,1,2,0,0,50.0,[4],1.0,6,1,0,13,0,1,0,0,0,0,1,13.0,0,0,0,0,0,1,1,0,2
['2014-05-30'],NatWest T20 Blast,693059,Northamptonshire,8,13,11,0,1,118.18,"[1, 3]",2.0,12,2,0,27,3,1,0,0,0,0,0,13.5,1,0,0,0,0,19,-4,8,23
['2014-05-23'],NatWest T20 Blast,693035,Northamptonshire,7,9,7,1,0,128.57,"[1, 3, 15, 17]",4.0,24,8,0,29,4,0,2,0,1,0,1,7.25,0,0,0,0,0,13,66,0,79
['2014-05-16'],NatWest T20 Blast,693013,Northamptonshire,7,1,3,0,0,33.33,"[3, 5, 13, 19]",4.0,24,11,0,25,3,1,4,1,0,0,0,6.25,0,0,0,0,0,1,129,0,130
['2013-06-27'],New Zealand in England T20I Series,566927,New Zealand,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2013-06-25'],New Zealand in England T20I Series,566926,New Zealand,7,0,0,0,0,0.0,"[2, 14, 16, 19]",4.0,24,5,0,35,2,2,1,0,0,0,0,8.75,0,0,0,0,0,0,30,0,30
['2013-02-15'],England in New Zealand T20I Series,569239,New Zealand,9,1,1,0,0,100.0,"[3, 5, 13]",2.667,16,2,0,41,6,1,0,0,0,0,5,15.37,0,0,0,0,0,1,-4,0,-3
['2013-02-12'],England in New Zealand T20I Series,569238,New Zealand,9,0,0,0,0,0.0,"[5, 7, 9, 11]",4.0,24,16,0,9,1,0,2,0,0,0,0,2.25,1,0,0,0,0,0,72,8,80
['2010-12-28'],Pakistan in New Zealand T20I Series,473919,New Zealand,10,0,0,0,0,0.0,"[6, 8, 15, 17]",4.0,24,5,0,35,3,1,1,0,0,0,0,8.75,0,0,0,0,0,0,30,0,30
['2010-05-10'],ICC World Twenty20,412698,New Zealand,9,0,0,0,0,0.0,[12],1.0,6,2,0,10,2,0,0,0,0,0,0,10.0,1,0,0,0,0,0,2,8,10
['2010-05-08'],ICC World Twenty20,412693,New Zealand,9,0,0,0,0,0.0,"[5, 8, 10, 20]",4.0,24,13,1,19,3,0,3,1,0,0,0,4.75,0,0,0,0,0,0,118,0,118
['2009-11-13'],Pakistan v New Zealand T20I Series,426724,New Zealand,10,0,0,0,0,0.0,"[5, 7, 15, 19]",4.0,24,12,0,28,1,2,3,1,1,0,2,7.0,0,0,0,0,0,0,109,0,109
['2009-11-12'],Pakistan v New Zealand T20I Series,426723,New Zealand,8,1,4,0,0,25.0,"[5, 7, 19]",3.0,18,8,0,42,3,4,0,0,0,1,0,14.0,1,0,0,0,0,1,2,8,11
['2009-09-04'],New Zealand in Sri Lanka T20I Series,403386,New Zealand,10,0,0,0,0,0.0,"[5, 8, 10, 16]",4.0,24,6,0,34,2,1,0,0,0,0,1,8.5,0,0,0,0,0,0,6,0,6
['2009-09-02'],New Zealand in Sri Lanka T20I Series,403385,New Zealand,10,0,2,0,0,0.0,"[5, 8, 10, 16]",4.0,24,9,0,29,4,0,2,0,1,0,0,7.25,0,0,0,0,0,0,67,0,67
['2009-06-16'],ICC World Twenty20,356013,New Zealand,11,2,2,0,0,100.0,"[5, 17, 19]",3.0,18,5,0,29,5,0,1,1,0,0,0,9.67,0,0,0,0,0,2,38,0,40
['2009-06-13'],ICC World Twenty20,356008,New Zealand,11,1,1,0,0,100.0,"[6, 11]",2.0,12,5,0,22,3,1,0,0,0,0,0,11.0,0,0,0,0,0,1,3,0,4
['2009-06-11'],ICC World Twenty20,356003,New Zealand,10,0,0,0,0,0.0,"[5, 7]",2.0,12,4,0,15,2,0,0,0,0,0,0,7.5,0,0,0,0,0,0,4,0,4
['2009-06-09'],ICC World Twenty20,356000,New Zealand,9,0,0,0,0,0.0,"[5, 8, 12, 18]",4.0,24,14,0,13,1,0,2,0,1,0,1,3.25,0,0,0,0,0,0,78,0,78
['2009-06-06'],ICC World Twenty20,355992,New Zealand,10,0,0,0,0,0.0,"[3, 7]",2.0,12,4,0,19,1,1,3,0,1,0,0,9.5,0,0,0,0,0,0,91,0,91
['2009-02-27'],India in New Zealand T20I Series,366622,New Zealand,9,0,0,0,0,0.0,"[5, 7, 16, 20]",4.0,24,7,0,42,2,3,2,0,0,0,0,10.5,0,0,0,0,0,0,55,0,55
['2009-02-25'],India in New Zealand T20I Series,386494,New Zealand,8,0,0,0,0,0.0,"[3, 6, 8, 17]",4.0,24,9,0,29,1,2,2,0,1,0,1,7.25,0,0,0,0,0,0,67,0,67
['2009-02-15'],NA,351696,New Zealand,8,0,0,0,0,0.0,"[7, 9, 11, 17]",4.0,24,6,0,30,1,1,1,0,1,0,1,7.5,0,0,0,0,0,0,39,0,39
