date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-11-05'],Syed Mushtaq Ali Trophy,1280230,Hyderabad (India),6,10,13,0,0,76.92,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2021-11-04'],Syed Mushtaq Ali Trophy,1280210,Hyderabad (India),7,21,15,1,1,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,2,33,0,12,45
['2021-01-10'],Syed Mushtaq Ali Trophy,1244311,Hyderabad (India),3,17,13,2,0,130.77,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,2,27,0,20,47
['2019-03-02'],Syed Mushtaq Ali Trophy,1157207,Hyderabad (India),3,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2019-02-28'],Syed Mushtaq Ali Trophy,1157190,Hyderabad (India),6,8,9,0,0,88.89,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,8,0,8,16
['2019-02-25'],Syed Mushtaq Ali Trophy,1157156,Hyderabad (India),7,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2019-02-24'],Syed Mushtaq Ali Trophy,1157138,Hyderabad (India),6,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2019-02-22'],Syed Mushtaq Ali Trophy,1157122,Hyderabad (India),8,18,10,1,1,180.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,34,0,8,42
['2019-02-21'],Syed Mushtaq Ali Trophy,1157105,Hyderabad (India),7,7,6,1,0,116.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,11,0,8,19
['2018-01-14'],Syed Mushtaq Ali Trophy,1130712,Hyderabad (India),7,1,4,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,12,13
['2018-01-12'],Syed Mushtaq Ali Trophy,1130701,Hyderabad (India),4,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,-2,0,16,14
['2018-01-11'],Syed Mushtaq Ali Trophy,1130689,Hyderabad (India),5,16,12,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,22,0,8,30
['2018-01-09'],Syed Mushtaq Ali Trophy,1130679,Hyderabad (India),5,8,9,0,0,88.89,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2018-01-08'],Syed Mushtaq Ali Trophy,1130670,Hyderabad (India),6,18,12,1,1,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,28,0,0,28
['2016-01-10'],Syed Mushtaq Ali Trophy,902229,Hyderabad (India),9,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2016-01-09'],Syed Mushtaq Ali Trophy,902207,Hyderabad (India),7,10,9,1,0,111.11,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,14,0,12,26
['2016-01-04'],Syed Mushtaq Ali Trophy,902137,Hyderabad (India),5,15,16,1,0,93.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,19,0,16,35
['2016-01-03'],Syed Mushtaq Ali Trophy,902113,Hyderabad (India),5,7,9,0,0,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,7,0,8,15
['2016-01-02'],Syed Mushtaq Ali Trophy,902089,Hyderabad (India),5,7,7,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
