date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-10-19'],CSA T20 Challenge,1444790,Warriors,10,0,0,0,0,0.0,"[2, 8, 12]",3.0,18,5,0,27,3,1,0,0,0,0,0,9.0,0,0,0,0,0,0,5,0,5
['2024-10-16'],CSA T20 Challenge,1444785,Warriors,10,0,1,0,0,0.0,"[2, 8, 10, 14]",4.0,24,7,0,19,0,0,1,0,0,0,1,4.75,0,0,0,0,0,-2,38,0,36
['2024-10-09'],CSA T20 Challenge,1444777,Warriors,10,0,0,0,0,0.0,"[7, 9, 14]",3.0,18,10,0,11,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,16,0,16
['2024-10-06'],CSA T20 Challenge,1444773,Warriors,11,0,0,0,0,0.0,"[5, 7, 9, 13]",4.0,24,11,0,18,0,1,2,0,0,0,0,4.5,0,0,0,0,0,0,67,0,67
['2024-09-29'],CSA T20 Challenge,1444768,Warriors,9,0,0,0,0,0.0,"[7, 9]",2.0,12,7,0,6,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,13,0,13
['2024-03-08'],CSA T20 Challenge,1394571,Warriors,11,2,2,0,0,100.0,"[8, 10, 12, 14]",4.0,24,10,0,25,3,0,3,1,1,0,0,6.25,0,0,0,0,0,2,107,0,109
['2015-12-04'],Ram Slam T20 Challenge,851979,Cape Cobras,10,0,0,0,0,0.0,[14],1.0,6,2,0,5,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,2,0,2
['2015-12-02'],Ram Slam T20 Challenge,851977,Cape Cobras,11,0,0,0,0,0.0,[9],1.0,6,0,0,14,1,1,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0
['2015-11-29'],Ram Slam T20 Challenge,851975,Cape Cobras,11,0,0,0,0,0.0,"[11, 13]",2.0,12,3,0,9,0,0,1,0,0,0,0,4.5,0,0,0,0,0,0,34,0,34
['2015-11-22'],Ram Slam T20 Challenge,851965,Cape Cobras,11,0,0,0,0,0.0,"[10, 12]",2.0,12,3,0,16,0,1,1,0,1,0,0,8.0,0,0,0,0,0,0,36,0,36
['2012-03-21'],MiWAY T20 Challenge,530361,Impi,9,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2012-03-16'],MiWAY T20 Challenge,530356,Impi,9,4,6,0,0,66.67,"[1, 7, 12]",3.0,18,7,0,21,1,1,1,0,1,0,1,7.0,0,0,0,0,0,4,42,0,46
['2012-03-14'],MiWAY T20 Challenge,530354,Impi,10,0,0,0,0,0.0,"[2, 4, 8, 13]",4.0,24,6,0,36,3,1,1,0,0,0,2,9.0,1,0,0,0,0,0,31,8,39
['2012-02-29'],MiWAY T20 Challenge,530336,Impi,9,3,2,0,0,150.0,"[1, 3, 7]",3.0,18,7,0,22,2,1,0,0,0,0,0,7.33,0,0,0,0,0,3,7,0,10
['2012-02-26'],MiWAY T20 Challenge,530335,Impi,9,5,7,0,0,71.43,"[1, 3, 7, 9]",4.0,24,10,0,23,1,1,0,0,0,0,0,5.75,0,0,0,0,0,5,14,0,19
['2012-02-22'],MiWAY T20 Challenge,530327,Impi,9,0,0,0,0,0.0,"[7, 10, 12, 15]",4.0,24,9,0,39,2,2,2,0,0,0,1,9.75,1,0,0,0,0,0,59,8,67
['2012-02-19'],MiWAY T20 Challenge,530325,Impi,11,0,0,0,0,0.0,[12],1.0,6,1,0,12,2,0,0,0,0,0,1,12.0,1,0,0,0,0,0,1,8,9
['2012-02-17'],MiWAY T20 Challenge,530324,Impi,10,6,7,1,0,85.71,"[7, 9, 11, 15]",4.0,24,11,0,26,2,1,1,0,0,0,1,6.5,0,0,0,0,0,10,38,0,48
