date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-09'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439820,Jersey,7,29,18,3,1,161.11,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,55,0,0,55
['2024-07-07'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439813,Jersey,8,0,0,0,0,0.0,"[16, 18]",2.0,12,10,0,2,0,0,1,0,0,0,1,1.0,1,0,0,0,0,0,41,8,49
['2024-06-16'],Jersey tour of Denmark,1438073,Jersey,7,0,0,0,0,0.0,"[12, 14]",2.0,12,4,0,14,0,1,1,0,1,0,1,7.0,0,0,0,0,0,0,39,0,39
['2024-04-14'],Jersey tour of Spain,1426479,Jersey,7,1,1,0,0,100.0,[9],1.0,6,0,0,13,2,0,0,0,0,1,0,13.0,0,0,0,0,0,1,0,0,1
['2024-04-14'],Jersey tour of Spain,1426480,Jersey,6,9,13,0,0,69.23,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,-2,7,0,16,23
['2023-07-25'],ICC Men's T20 World Cup Europe Region Qualifier,1383082,Jersey,9,0,0,0,0,0.0,"[8, 16, 20]",3.0,18,6,0,31,5,0,1,0,0,1,0,10.33,1,0,0,0,0,0,29,8,37
['2023-07-23'],ICC Men's T20 World Cup Europe Region Qualifier,1383075,Jersey,9,4,3,1,0,133.33,"[12, 16]",2.0,12,1,0,20,1,1,0,0,0,0,0,10.0,0,0,0,0,0,8,-1,0,7
['2023-07-21'],ICC Men's T20 World Cup Europe Region Qualifier,1383073,Jersey,9,3,5,0,0,60.0,[18],1.0,6,1,0,10,0,1,0,0,0,0,0,10.0,0,0,0,0,0,3,1,0,4
['2023-07-20'],ICC Men's T20 World Cup Europe Region Qualifier,1383068,Jersey,9,0,0,0,0,0.0,[8],1.0,6,0,0,12,0,1,0,0,0,0,0,12.0,1,0,0,0,0,0,0,8,8
['2022-07-17'],ICC Men's T20 World Cup Qualifier,1321482,Jersey,7,0,0,0,0,0.0,"[6, 9, 11, 20]",4.0,24,12,0,22,1,1,2,0,0,0,1,5.5,1,0,0,0,0,0,66,8,74
['2022-07-15'],ICC Men's T20 World Cup Qualifier,1321477,Jersey,7,2,10,0,0,20.0,[18],1.0,6,2,0,11,0,1,0,0,0,0,0,11.0,0,0,0,2,-6,-4,2,12,10
['2022-07-12'],ICC Men's T20 World Cup Qualifier,1321469,Jersey,8,0,0,0,0,0.0,[13],1.0,6,1,0,5,0,0,1,0,1,0,0,5.0,0,0,0,0,0,0,34,0,34
['2022-07-11'],ICC Men's T20 World Cup Qualifier,1321466,Jersey,8,0,0,0,0,0.0,"[7, 17, 19]",2.167,13,5,0,20,2,1,2,0,0,0,0,9.23,0,0,0,0,0,0,55,0,55
['2022-05-20'],Inter-Insular T20 Series,1310188,Jersey,6,22,18,2,0,122.22,"[4, 10]",2.0,12,3,0,22,1,2,0,0,0,0,0,11.0,0,0,0,0,0,30,1,0,31
['2021-10-21'],ICC Men's T20 World Cup Europe Region Qualifier,1282749,Jersey,7,3,4,0,0,75.0,"[2, 12]",2.0,12,4,0,19,1,1,0,0,0,0,0,9.5,0,0,0,0,0,3,4,0,7
['2021-10-20'],ICC Men's T20 World Cup Europe Region Qualifier,1282746,Jersey,6,0,0,0,0,0.0,[9],1.0,6,1,0,5,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,1,0,1
['2021-10-19'],ICC Men's T20 World Cup Europe Region Qualifier,1282745,Jersey,8,0,2,0,0,0.0,"[2, 6, 14, 17]",4.0,24,8,0,20,1,0,1,0,0,0,1,5.0,0,0,0,0,0,0,37,0,37
['2021-10-17'],ICC Men's T20 World Cup Europe Region Qualifier,1282742,Jersey,8,6,8,0,0,75.0,"[2, 13]",2.0,12,4,0,19,2,1,0,0,0,0,0,9.5,0,0,0,0,0,6,4,0,10
['2021-10-16'],ICC Men's T20 World Cup Europe Region Qualifier,1282741,Jersey,8,0,0,0,0,0.0,"[1, 5, 13]",3.0,18,10,0,19,2,1,2,0,0,0,0,6.33,1,0,0,0,0,0,62,8,70
['2021-10-15'],ICC Men's T20 World Cup Europe Region Qualifier,1282738,Jersey,8,13,10,0,0,130.0,"[2, 6, 14, 17]",4.0,24,12,0,21,1,1,1,0,0,0,0,5.25,0,0,0,0,2,15,41,0,56
