date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-12-16'],ICC Men's T20 World Cup Sub Regional Americas Qualifier,1462910,Belize,5,19,13,1,2,146.15,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,37,0,0,37
['2024-12-15'],ICC Men's T20 World Cup Sub Regional Americas Qualifier,1462904,Belize,8,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-12-14'],ICC Men's T20 World Cup Sub Regional Americas Qualifier,1462902,Belize,5,5,5,1,0,100.0,"[7, 9, 11]",3.0,18,7,0,21,2,0,0,0,0,0,0,7.0,0,0,0,0,0,9,9,0,18
['2024-12-12'],ICC Men's T20 World Cup Sub Regional Americas Qualifier,1462899,Belize,4,11,8,2,0,137.5,"[2, 4, 6, 8]",4.0,24,10,0,19,2,0,0,0,0,0,0,4.75,1,0,0,1,0,19,16,14,49
['2024-12-10'],ICC Men's T20 World Cup Sub Regional Americas Qualifier,1462889,Belize,4,36,25,0,2,144.0,"[13, 15, 17]",3.0,18,7,0,20,1,0,0,0,0,1,1,6.67,1,0,0,0,2,54,9,8,71
['2024-12-08'],ICC Men's T20 World Cup Sub Regional Americas Qualifier,1462887,Belize,6,13,21,1,0,61.9,"[5, 7, 9, 11]",4.0,24,16,0,16,2,0,3,0,1,0,2,4.0,0,0,0,0,-2,15,109,0,124
['2024-12-07'],ICC Men's T20 World Cup Sub Regional Americas Qualifier,1462881,Belize,7,6,5,0,1,120.0,"[6, 8, 10, 12]",4.0,24,14,0,18,1,0,1,0,0,0,1,4.5,0,0,0,0,0,12,45,0,57
['2021-11-13'],ICC Men's T20 World Cup Americas Region Qualifier,1286683,Belize,8,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2021-11-10'],ICC Men's T20 World Cup Americas Region Qualifier,1286675,Belize,6,2,3,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2021-11-08'],ICC Men's T20 World Cup Americas Region Qualifier,1286670,Belize,7,2,5,0,0,40.0,"[1, 3, 19]",3.0,18,5,0,46,5,2,0,0,0,2,4,15.33,0,0,0,0,0,2,-1,0,1
['2021-11-08'],ICC Men's T20 World Cup Americas Region Qualifier,1286672,Belize,4,69,47,6,4,146.81,"[15, 17, 19]",3.0,18,7,0,25,2,1,3,0,1,0,0,8.33,0,0,0,0,2,127,94,0,221
['2021-11-07'],ICC Men's T20 World Cup Americas Region Qualifier,1286667,Belize,6,1,6,0,0,16.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
