date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2020-10-01'],Vitality Blast,1229395,Kent,8,6,7,1,0,85.71,"[4, 10, 16, 20]",4.0,24,5,0,28,1,1,0,0,0,0,1,7.0,0,0,0,0,0,10,7,0,17
['2020-09-05'],Vitality Blast,1207741,Kent,8,1,1,0,0,100.0,"[4, 14, 16]",3.0,18,6,0,27,1,2,1,0,1,0,1,9.0,0,0,0,0,0,1,39,0,40
['2020-09-03'],Vitality Blast,1207733,Kent,8,0,0,0,0,0.0,"[4, 6, 12, 18]",4.0,24,6,0,33,4,0,1,0,0,0,2,8.25,0,0,0,0,0,0,31,0,31
['2020-09-01'],Vitality Blast,1207724,Kent,8,0,0,0,0,0.0,"[4, 6, 13, 17]",4.0,24,4,0,31,3,0,2,0,1,2,1,7.75,0,0,0,0,0,0,62,0,62
['2019-08-30'],Vitality Blast,1167248,Somerset,9,0,0,0,0,0.0,"[4, 6, 16]",3.0,18,5,0,38,3,3,2,0,0,0,0,12.67,0,0,0,0,0,0,49,0,49
['2019-08-27'],Vitality Blast,1167238,Somerset,9,9,6,2,0,150.0,"[4, 6, 15]",3.0,18,6,0,28,2,2,1,0,0,0,0,9.33,0,0,0,0,0,17,31,0,48
['2019-08-24'],Vitality Blast,1167229,Somerset,9,1,2,0,0,50.0,"[6, 12, 20]",3.0,18,4,0,22,2,0,2,0,0,0,0,7.33,0,0,0,0,0,1,54,0,55
['2019-08-23'],Vitality Blast,1167228,Somerset,9,0,2,0,0,0.0,"[4, 6, 18, 20]",4.0,24,9,0,33,4,1,2,0,0,0,1,8.25,0,0,0,0,0,-2,59,0,57
['2019-08-10'],Vitality Blast,1167198,Somerset,9,0,1,0,0,0.0,"[4, 7, 14]",3.0,18,1,0,25,1,1,0,0,0,0,0,8.33,0,0,0,0,0,-2,1,0,-1
['2019-08-09'],Vitality Blast,1167193,Somerset,9,0,0,0,0,0.0,"[4, 6]",2.0,12,3,0,12,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,5,0,5
['2019-08-07'],Vitality Blast,1167186,Somerset,9,0,0,0,0,0.0,"[4, 6]",2.0,12,2,0,17,2,0,1,0,0,0,0,8.5,0,0,0,0,0,0,27,0,27
['2017-08-24'],NatWest T20 Blast,1068426,Somerset,9,0,0,0,0,0.0,"[10, 12]",2.0,12,2,0,20,1,1,0,0,0,0,2,10.0,0,0,0,0,0,0,0,0,0
['2017-08-18'],NatWest T20 Blast,1068420,Somerset,7,0,0,0,0,0.0,"[6, 8, 18]",3.0,18,5,0,20,2,0,1,0,1,0,0,6.67,1,0,0,0,0,0,40,8,48
['2017-08-12'],NatWest T20 Blast,1068402,Somerset,9,0,2,0,0,0.0,"[11, 18]",2.0,12,1,0,28,2,2,1,0,0,0,0,14.0,0,0,0,0,0,-2,20,0,18
['2017-08-06'],NatWest T20 Blast,1068392,Somerset,9,0,0,0,0,0.0,"[4, 8, 10, 18]",4.0,24,7,0,26,2,0,2,0,0,0,0,6.5,0,0,0,0,0,0,59,0,59
['2017-08-04'],NatWest T20 Blast,1068385,Somerset,7,1,5,0,0,20.0,"[4, 11]",2.0,12,3,0,20,2,1,0,0,0,0,0,10.0,0,0,0,0,0,1,1,0,2
['2017-07-30'],NatWest T20 Blast,1068372,Somerset,9,0,0,0,0,0.0,[3],1.0,6,1,0,7,0,0,0,0,0,0,1,7.0,0,0,0,0,0,0,1,0,1
['2017-07-27'],NatWest T20 Blast,1068357,Somerset,10,0,0,0,0,0.0,"[3, 6, 12]",3.0,18,1,0,44,6,1,0,0,0,0,1,14.67,0,0,0,0,0,0,-5,0,-5
['2017-07-26'],NatWest T20 Blast,1068355,Somerset,10,0,2,0,0,0.0,"[3, 5, 12, 17]",4.0,24,10,0,28,2,1,2,0,1,0,2,7.0,0,0,0,0,0,-2,70,0,68
['2017-07-23'],NatWest T20 Blast,1068347,Somerset,11,0,0,0,0,0.0,"[4, 6, 11]",3.0,18,5,0,28,1,2,2,0,0,0,1,9.33,0,0,0,0,0,0,55,0,55
['2017-07-15'],NatWest T20 Blast,1068322,Somerset,10,0,0,0,0,0.0,"[4, 7, 15, 18]",3.333,20,8,0,31,2,2,2,0,0,0,0,9.3,0,0,0,0,0,0,58,0,58
['2017-07-13'],NatWest T20 Blast,1068314,Somerset,10,0,2,0,0,0.0,"[3, 6, 8, 15]",4.0,24,8,0,29,4,0,1,0,1,0,0,7.25,1,0,0,0,0,-2,41,8,47
['2016-07-07'],NatWest T20 Blast,947247,Somerset,10,2,4,0,0,50.0,"[6, 13, 18]",3.0,18,4,0,40,6,1,1,0,0,0,0,13.33,0,0,0,0,0,2,23,0,25
['2016-06-23'],NatWest T20 Blast,947199,Somerset,10,0,0,0,0,0.0,[1],1.0,6,1,0,21,1,2,0,0,0,0,2,21.0,0,0,0,0,0,0,1,0,1
['2016-06-19'],NatWest T20 Blast,947195,Somerset,10,0,0,0,0,0.0,"[1, 3, 17]",3.0,18,9,0,18,3,0,0,0,0,0,0,6.0,1,0,0,0,0,0,11,8,19
['2016-06-17'],NatWest T20 Blast,947185,Somerset,10,0,0,0,0,0.0,"[4, 7]",2.0,12,2,0,20,3,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0
['2016-05-20'],NatWest T20 Blast,947097,Somerset,10,0,0,0,0,0.0,"[2, 4, 13, 15]",4.0,24,5,0,38,4,1,1,0,0,0,0,9.5,1,0,0,0,0,0,30,8,38
['2015-07-17'],NatWest T20 Blast,804673,Somerset,8,4,6,0,0,66.67,"[3, 5, 16]",3.0,18,1,0,33,4,0,0,0,0,0,1,11.0,0,0,0,0,0,4,-1,0,3
['2015-07-10'],NatWest T20 Blast,804635,Somerset,7,2,5,0,0,40.0,"[2, 6, 13, 17]",4.0,24,7,0,38,5,1,0,0,0,0,0,9.5,0,0,0,0,0,2,7,0,9
