date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2014-08-14'],Caribbean Premier League,743193,Jamaica Tallawahs,9,0,0,0,0,0.0,[2],1.0,6,2,0,8,1,0,0,0,0,0,0,8.0,0,0,0,0,0,0,2,0,2
['2014-08-13'],Caribbean Premier League,743191,Jamaica Tallawahs,6,6,14,0,0,42.86,"[2, 4, 6, 8]",4.0,24,12,0,19,1,0,3,0,0,0,1,4.75,0,0,0,0,-6,0,97,0,97
['2014-08-10'],Caribbean Premier League,743189,Jamaica Tallawahs,8,2,2,0,0,100.0,"[1, 3]",2.0,12,7,0,14,1,1,0,0,0,0,0,7.0,1,0,0,0,0,2,9,8,19
['2014-08-09'],Caribbean Premier League,743183,Jamaica Tallawahs,7,19,12,1,2,158.33,[2],1.0,6,3,0,6,1,0,0,0,0,0,0,6.0,0,0,0,0,4,39,3,0,42
['2014-08-03'],Caribbean Premier League,743175,Jamaica Tallawahs,6,5,6,1,0,83.33,"[1, 3, 5, 7]",4.0,24,11,0,20,2,0,2,0,0,0,1,5.0,0,0,0,0,0,9,65,0,74
['2014-08-02'],Caribbean Premier League,743171,Jamaica Tallawahs,7,0,0,0,0,0.0,"[1, 3, 5]",3.0,18,8,0,25,0,3,1,0,0,0,0,8.33,0,0,0,0,0,0,33,0,33
['2014-07-31'],Caribbean Premier League,743167,Jamaica Tallawahs,7,0,0,0,0,0.0,[2],1.0,6,4,0,6,1,0,0,0,0,0,1,6.0,0,0,0,0,0,0,4,0,4
['2013-08-24'],Caribbean Premier League,635238,Jamaica Tallawahs,8,0,0,0,0,0.0,"[1, 3, 5, 7]",4.0,24,15,0,18,1,1,2,0,1,0,2,4.5,0,0,0,0,0,0,79,0,79
['2013-08-23'],Caribbean Premier League,635237,Jamaica Tallawahs,8,0,0,0,0,0.0,"[2, 4, 8, 11]",4.0,24,12,0,21,2,0,1,1,0,0,2,5.25,0,0,0,0,0,0,49,0,49
['2013-08-18'],Caribbean Premier League,635235,Jamaica Tallawahs,8,1,2,0,0,50.0,"[1, 3, 5, 7]",4.0,24,15,0,20,3,0,1,0,0,0,1,5.0,1,0,0,0,0,1,44,8,53
['2013-08-17'],Caribbean Premier League,635232,Jamaica Tallawahs,8,0,0,0,0,0.0,"[1, 3, 5]",3.0,18,9,0,21,3,0,0,0,0,0,0,7.0,0,0,0,0,0,0,11,0,11
['2013-08-15'],Caribbean Premier League,635230,Jamaica Tallawahs,9,0,1,0,0,0.0,"[1, 7]",2.0,12,4,0,26,2,2,0,0,0,0,2,13.0,0,0,0,0,0,-2,-2,0,-4
['2013-08-10'],Caribbean Premier League,635226,Jamaica Tallawahs,9,0,0,0,0,0.0,"[2, 4, 6, 8]",4.0,24,10,0,24,2,1,1,0,0,0,0,6.0,0,0,0,0,0,0,37,0,37
['2013-08-07'],Caribbean Premier League,635223,Jamaica Tallawahs,9,0,0,0,0,0.0,"[2, 4, 6, 8]",4.0,24,10,0,24,2,0,1,0,1,0,5,6.0,1,0,0,0,0,0,45,8,53
['2013-08-04'],Caribbean Premier League,635220,Jamaica Tallawahs,7,0,0,0,0,0.0,[1],1.0,6,2,0,16,1,1,0,0,0,0,1,16.0,0,0,0,0,0,0,2,0,2
['2013-08-02'],Caribbean Premier League,635218,Jamaica Tallawahs,7,24,23,2,1,104.35,[5],1.0,6,1,0,13,2,0,0,0,0,0,0,13.0,0,0,0,0,0,38,1,0,39
['2009-08-02'],NA,401076,West Indies,7,1,1,0,0,100.0,"[9, 11, 15, 18]",4.0,24,13,0,17,2,0,0,0,0,0,1,4.25,0,0,0,0,0,1,19,0,20
