date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-07-02'],Vitality Blast,1347689,Kent,3,24,10,1,2,240.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,46,0,8,54
['2023-06-30'],Vitality Blast,1347683,Kent,3,30,13,5,1,230.77,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,66,0,8,74
['2023-02-07'],Bangladesh Premier League,1351088,Dhaka Dominators,5,13,13,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,19,0,12,31
['2023-02-03'],Bangladesh Premier League,1351085,Dhaka Dominators,5,18,11,1,1,163.64,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,32,0,0,32
['2023-01-31'],Bangladesh Premier League,1351082,Dhaka Dominators,5,15,12,3,0,125.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,27,0,16,43
['2023-01-30'],Bangladesh Premier League,1351080,Dhaka Dominators,4,4,8,1,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2023-01-24'],Bangladesh Premier League,1351075,Dhaka Dominators,5,3,16,0,0,18.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-3,0,0,-3
['2022-07-03'],Vitality Blast,1297913,Kent,5,32,24,3,1,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,56,0,0,56
['2022-07-01'],Vitality Blast,1297905,Kent,5,50,25,2,4,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,6,96,0,12,108
['2022-06-24'],Vitality Blast,1297896,Kent,5,6,5,1,0,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2022-06-21'],Vitality Blast,1297883,Kent,4,36,24,3,2,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,64,0,16,80
['2022-06-19'],Vitality Blast,1297878,Kent,5,3,3,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2022-06-17'],Vitality Blast,1297865,Kent,5,44,25,1,4,176.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,82,0,0,82
['2022-06-10'],Vitality Blast,1297863,Kent,6,17,8,0,2,212.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,29,0,0,29
['2022-06-07'],Vitality Blast,1297846,Kent,6,38,32,2,2,118.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,62,0,8,70
['2022-06-05'],Vitality Blast,1297838,Kent,6,10,7,1,0,142.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,14,0,16,30
['2022-06-03'],Vitality Blast,1297830,Kent,5,16,15,1,0,106.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,20,0,0,20
['2022-06-01'],Vitality Blast,1297821,Kent,5,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2021-08-27'],Vitality Blast,1250365,Kent,6,8,6,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,12,0,16,28
['2021-07-09'],Vitality Blast,1250340,Kent,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2021-07-02'],Vitality Blast,1250329,Kent,6,12,5,2,0,240.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,20,0,0,20
['2021-06-28'],Vitality Blast,1250315,Kent,4,19,13,0,2,146.15,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,33,0,0,33
['2021-06-25'],Vitality Blast,1250303,Kent,6,4,4,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2021-06-22'],Vitality Blast,1250290,Kent,6,5,7,0,0,71.43,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2021-06-20'],Vitality Blast,1250284,Kent,5,16,8,3,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,28,0,28,56
['2021-06-13'],Vitality Blast,1250253,Kent,4,0,3,0,0,0.0,[1],1.0,6,2,0,7,1,0,0,0,0,0,0,7.0,1,0,0,0,0,-2,2,8,8
['2021-06-11'],Vitality Blast,1250245,Kent,4,6,11,0,0,54.55,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,-4,2,0,28,30
['2021-06-09'],Vitality Blast,1250236,Kent,4,2,6,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,2,0,28,30
['2020-10-01'],Vitality Blast,1229395,Kent,5,14,18,1,0,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,18,0,16,34
['2020-09-20'],Vitality Blast,1207779,Kent,5,1,2,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,8,9
['2020-09-18'],Vitality Blast,1207771,Kent,6,29,19,1,2,152.63,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,53,0,8,61
['2020-09-16'],Vitality Blast,1207766,Kent,5,6,4,1,0,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2020-09-14'],Vitality Blast,1207760,Kent,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
