date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-01-15'],Syed Mushtaq Ali Trophy,1244356,Delhi,10,0,0,0,0,0.0,"[7, 9, 12]",3.0,18,5,0,42,0,5,0,0,0,0,0,14.0,0,0,0,0,0,0,-1,0,-1
['2021-01-13'],Syed Mushtaq Ali Trophy,1244337,Delhi,10,0,0,0,0,0.0,"[7, 10, 12, 14]",4.0,24,7,0,30,1,2,0,0,0,0,0,7.5,2,0,0,0,0,0,7,16,23
['2021-01-11'],Syed Mushtaq Ali Trophy,1244319,Delhi,10,0,0,0,0,0.0,"[7, 13]",2.0,12,4,0,26,1,3,0,0,0,0,0,13.0,0,0,0,0,0,0,-2,0,-2
['2019-11-15'],Syed Mushtaq Ali Trophy,1205812,Delhi,11,0,0,0,0,0.0,"[14, 16]",2.0,12,1,0,19,2,0,0,0,0,0,0,9.5,0,0,0,0,0,0,1,0,1
['2019-11-12'],Syed Mushtaq Ali Trophy,1205776,Delhi,10,0,0,0,0,0.0,"[11, 13, 15]",3.0,18,4,0,28,2,1,0,0,0,0,0,9.33,0,0,0,0,0,0,4,0,4
['2019-11-11'],Syed Mushtaq Ali Trophy,1205758,Delhi,9,0,0,0,0,0.0,"[8, 10, 13, 15]",4.0,24,14,0,11,0,0,3,0,0,0,1,2.75,0,0,0,0,0,0,99,0,99
['2019-04-30'],Indian Premier League,1178424,Royal Challengers Bangalore,7,4,3,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,8,0,8,16
['2019-04-21'],Indian Premier League,1178414,Royal Challengers Bangalore,7,5,6,0,0,83.33,[8],1.0,6,2,0,7,1,0,0,0,0,0,0,7.0,0,0,0,0,0,5,2,0,7
['2019-04-19'],Indian Premier League,1178410,Royal Challengers Bangalore,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2019-04-15'],Indian Premier League,1178406,Royal Challengers Bangalore,7,0,2,0,0,0.0,"[7, 9, 15, 19]",4.0,24,8,0,47,3,4,0,0,0,0,2,11.75,0,0,0,0,0,-2,4,0,2
['2019-04-13'],Indian Premier League,1178403,Royal Challengers Bangalore,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-04-07'],Indian Premier League,1178395,Royal Challengers Bangalore,7,0,1,0,0,0.0,"[7, 9, 11]",3.0,18,6,0,27,3,1,1,0,0,0,1,9.0,0,0,0,0,0,-2,31,0,29
['2019-04-05'],Indian Premier League,1175372,Royal Challengers Bangalore,7,0,0,0,0,0.0,"[10, 12, 15, 20]",3.167,19,8,0,21,1,1,2,0,1,0,0,6.63,1,0,0,0,0,0,68,8,76
['2019-03-11'],Syed Mushtaq Ali Trophy,1175040,Delhi,8,2,3,0,0,66.67,"[7, 9, 14]",3.0,18,10,0,9,0,0,3,0,1,0,0,3.0,0,0,0,0,0,2,103,0,105
['2019-03-10'],Syed Mushtaq Ali Trophy,1175033,Delhi,8,5,10,0,0,50.0,"[7, 9]",2.0,12,4,0,15,2,0,0,0,0,0,0,7.5,0,0,0,0,-4,1,4,0,5
['2019-03-09'],Syed Mushtaq Ali Trophy,1175030,Delhi,7,12,5,0,1,240.0,"[6, 8, 10, 16]",4.0,24,7,0,23,0,1,0,0,0,0,2,5.75,0,0,0,0,0,18,11,0,29
['2019-03-08'],Syed Mushtaq Ali Trophy,1175026,Delhi,7,18,22,2,0,81.82,"[6, 8]",2.0,12,3,0,18,1,1,0,0,0,0,0,9.0,0,0,0,0,0,26,3,0,29
['2019-03-02'],Syed Mushtaq Ali Trophy,1157193,Delhi,9,0,0,0,0,0.0,"[6, 8, 10, 12]",4.0,24,14,0,9,0,0,1,1,0,0,0,2.25,0,0,0,0,0,0,53,0,53
['2019-02-27'],Syed Mushtaq Ali Trophy,1157159,Delhi,8,3,3,0,0,100.0,"[5, 8, 10, 17]",4.0,24,6,0,40,2,3,1,0,0,0,0,10.0,1,0,0,0,0,3,29,8,40
['2019-02-25'],Syed Mushtaq Ali Trophy,1157142,Delhi,9,0,0,0,0,0.0,"[6, 8, 12, 14]",4.0,24,10,0,29,3,1,1,0,0,0,1,7.25,1,0,1,0,0,0,35,20,55
['2019-02-24'],Syed Mushtaq Ali Trophy,1157125,Delhi,8,15,7,0,1,214.29,"[10, 12, 14, 16]",4.0,24,4,0,45,3,3,1,1,0,0,0,11.25,0,0,0,0,0,21,33,0,54
['2019-02-22'],Syed Mushtaq Ali Trophy,1157108,Delhi,7,0,0,0,0,0.0,"[9, 11, 13, 15]",4.0,24,10,0,13,0,0,1,0,0,0,0,3.25,0,0,0,0,0,0,41,0,41
['2019-02-21'],Syed Mushtaq Ali Trophy,1157091,Delhi,7,2,3,0,0,66.67,"[8, 10]",2.0,12,4,0,18,1,1,1,0,0,0,1,9.0,1,0,0,0,0,2,29,8,39
['2018-04-25'],Indian Premier League,1136584,Royal Challengers Bangalore,7,0,1,0,0,0.0,"[1, 10, 14]",3.0,18,7,0,36,0,5,1,0,0,0,0,12.0,0,0,0,0,0,0,28,0,28
['2018-04-15'],Indian Premier League,1136571,Royal Challengers Bangalore,6,3,4,0,0,75.0,[14],1.0,6,2,0,13,1,1,0,0,0,0,0,13.0,0,0,0,0,0,3,2,0,5
['2018-01-25'],Syed Mushtaq Ali Trophy,1133419,Delhi,8,9,14,0,0,64.29,"[13, 15]",2.0,12,7,0,13,1,1,2,0,0,0,0,6.5,0,0,0,0,-2,7,59,0,66
