date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-09'],ICC Men's T20 World Cup Asia Qualifier A,1447497,Hong Kong,4,42,48,3,1,87.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64,0,0,64
['2024-09-07'],ICC Men's T20 World Cup Asia Qualifier A,1447494,Hong Kong,4,8,19,0,0,42.11,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,2,0,0,2
['2024-09-03'],ICC Men's T20 World Cup Asia Qualifier A,1447486,Hong Kong,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,6,6
['2024-09-02'],ICC Men's T20 World Cup Asia Qualifier A,1447483,Hong Kong,4,24,20,3,1,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,42,0,0,42
['2024-08-31'],ICC Men's T20 World Cup Asia Qualifier A,1447482,Hong Kong,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-08-30'],ICC Men's T20 World Cup Asia Qualifier A,1447478,Hong Kong,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-08-27'],Malaysia Tri-Nation T20I Series,1446777,Hong Kong,4,10,10,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,16,0,8,24
['2024-08-26'],Malaysia Tri-Nation T20I Series,1446776,Hong Kong,4,48,34,2,4,141.18,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,86,0,8,94
['2024-08-24'],Malaysia Tri-Nation T20I Series,1446774,Hong Kong,4,27,22,2,2,122.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,51,0,0,51
['2024-08-23'],Malaysia Tri-Nation T20I Series,1446773,Hong Kong,4,34,21,2,3,161.9,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,68,0,0,68
['2024-08-21'],Malaysia Tri-Nation T20I Series,1446771,Hong Kong,4,41,22,4,2,186.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,79,0,8,87
['2024-04-20'],ACC Men's Premier Cup,1426477,Hong Kong,4,26,25,0,2,104.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,42,0,0,42
['2024-04-19'],ACC Men's Premier Cup,1426476,Hong Kong,4,33,37,2,1,89.19,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,51,0,0,51
['2024-04-17'],ACC Men's Premier Cup,1426471,Hong Kong,3,83,35,2,9,237.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,163,0,8,171
['2024-04-15'],ACC Men's Premier Cup,1426465,Hong Kong,4,6,9,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,6,0,0,6
['2024-04-14'],ACC Men's Premier Cup,1426464,Hong Kong,4,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-04-12'],ACC Men's Premier Cup,1426458,Hong Kong,4,55,39,3,4,141.03,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,101,0,8,109
['2024-03-12'],Hong Kong Men's T20I Series,1423442,Hong Kong,4,12,15,0,1,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2024-03-10'],Nepal tour of Hong Kong,1423440,Hong Kong,4,3,3,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2024-03-09'],Nepal tour of Hong Kong,1423439,Hong Kong,4,110,49,3,13,224.49,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,222,0,8,230
['2024-03-01'],Hong Kong tour of Qatar,1422804,Hong Kong,4,35,23,0,2,152.17,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,4,55,0,16,71
['2024-02-29'],Hong Kong tour of Qatar,1422803,Hong Kong,4,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-02-27'],Hong Kong tour of Qatar,1422802,Hong Kong,4,11,5,1,1,220.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,21,0,14,35
['2024-02-17'],East Asia Cup,1418545,Hong Kong,4,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,-2,0,28,26
['2024-02-16'],East Asia Cup,1418543,Hong Kong,9,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-02-15'],East Asia Cup,1418542,Hong Kong,4,12,9,2,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,20,0,0,20
['2024-02-14'],East Asia Cup,1418540,Hong Kong,4,52,30,2,5,173.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,104,0,0,104
['2023-11-02'],ICC Men's T20 World Cup Asia Qualifier Final,1405322,Hong Kong,4,4,3,0,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2023-10-31'],ICC Men's T20 World Cup Asia Qualifier Final,1405318,Hong Kong,4,6,7,1,0,85.71,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2023-10-30'],ICC Men’s T20 World Cup Asia Qualifier Final,1405316,Hong Kong,3,31,27,1,2,114.81,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,51,0,6,57
['2023-10-25'],Nepal Tri-Nation T20I Series,1403293,Hong Kong,4,60,19,5,5,315.79,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,124,0,8,132
['2023-10-22'],Nepal Tri-Nation T20I Series,1403291,Hong Kong,4,66,45,3,5,146.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,118,0,8,126
['2023-10-21'],Nepal Tri-Nation T20I Series,1403290,Hong Kong,4,20,15,3,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,34,0,8,42
['2023-10-19'],Nepal Tri-Nation T20I Series,1403289,Hong Kong,3,5,9,0,0,55.56,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2023-10-03'],Asian Games Men's Cricket Competition,1399114,Hong Kong,3,29,27,3,2,107.41,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,57,0,28,85
['2023-09-24'],Malaysia Tri-Nation T20I Series,1398300,Hong Kong,3,14,13,1,1,107.69,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2023-09-22'],Malaysia Tri-Nation T20I Series,1398298,Hong Kong,3,49,35,3,3,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,85,0,8,93
['2023-09-19'],Malaysia Tri-Nation T20I Series,1398295,Hong Kong,3,22,20,3,0,110.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,34,0,8,42
['2023-03-12'],Quadrangular Twenty20 Series (Hong Kong),1362242,Hong Kong,3,7,3,0,1,233.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,13,0,16,29
['2023-03-11'],Quadrangular Twenty20 Series (Hong Kong),1361775,Hong Kong,3,5,11,0,0,45.45,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-6,-1,0,8,7
