match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
1444789,0.5,0.5416666666666666,0.2857142857142857,0.3333333333333333,1.0,0.86668,1.0,1.0,0.3529411764705882,0.0,0.5454545454545454,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0,23,8,0,31
1444786,0.25,0.08333333333333333,0.09523809523809523,0.0,0.0,0.4,1.0,1.0,0.29411764705882354,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39285714285714285,0.0,0.0,0.0,0.0,0,2,9,0,11
1444784,0.25,0.625,0.2857142857142857,1.0,0.0,1.0,0.75,0.75,0.3529411764705882,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5235714285714286,1.0,0.0,0.0,0.0,0,27,56,16,99
1444779,0.0,1.0,1.0,0.6666666666666666,0.0,0.45716,1.0,1.0,0.5294117647058824,0.0,0.5909090909090909,0.75,0.0,0.75,0.0,0.0,0.0,0.2,0.46428571428571425,0.0,0.0,0.0,0.0,0,32,90,0,122
1444773,0.25,0.75,0.47619047619047616,0.3333333333333333,1.0,0.72,1.0,1.0,0.6470588235294118,0.0,0.38636363636363635,0.0,0.0,0.5,0.5,0.5,0.0,0.2,0.30357142857142855,0.0,0.0,0.0,0.0,6,34,83,0,117
1444766,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.11764705882352941,0.0,0.6136363636363636,0.25,0.25,0.0,0.0,0.0,0.0,0.2,0.6428571428571428,0.0,0.0,0.0,0.0,0,0,2,0,2
1334921,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5294117647058824,0.0,0.5227272727272727,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.4107142857142857,0.0,0.0,0.0,0.0,0,0,13,0,13
1334919,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.3529411764705882,0.0,0.36363636363636365,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.38071428571428567,0.0,0.0,0.0,0.0,0,0,35,0,35
1334915,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4117647058823529,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0,0,55,0,55
1334910,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5294117647058824,0.0,0.5227272727272727,0.25,0.25,1.0,0.0,0.0,0.0,0.2,0.4107142857142857,0.0,0.0,0.0,0.0,0,0,121,0,121
1334906,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5882352941176471,1.0,0.38636363636363635,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.30357142857142855,0.0,0.0,0.0,0.0,0,0,53,0,53
1334902,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5294117647058824,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.39285714285714285,0.0,0.0,0.0,0.0,0,0,13,0,13
1334899,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.29411764705882354,0.0,0.5227272727272727,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.5478571428571428,0.0,0.0,0.0,0.0,0,0,5,0,5
1334895,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7647058823529411,0.0,0.36363636363636365,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0,0,52,0,52
1334891,1.0,0.0,0.0,0.0,0.0,0.0,0.91675,0.9166666666666666,0.47058823529411764,0.0,0.36363636363636365,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.31142857142857144,0.5,0.0,1.0,0.0,0,0,101,20,121
1299632,0.5,0.25,0.42857142857142855,0.0,0.0,0.26668000000000003,1.0,1.0,1.0,0.0,0.29545454545454547,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.23214285714285712,0.0,0.0,0.0,0.0,0,6,23,0,29
1299630,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6470588235294118,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0,0,17,8,25
1299626,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9411764705882353,0.0,0.29545454545454547,0.0,0.25,0.5,0.0,0.5,0.0,0.0,0.23214285714285712,0.5,0.0,0.0,0.0,0,0,80,8,88
1299622,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.47058823529411764,0.0,0.6136363636363636,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.6428571428571428,0.5,0.0,0.0,0.0,0,0,8,8,16
1299618,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6470588235294118,0.0,0.4090909090909091,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.3214285714285714,0.0,0.0,0.0,1.0,0,0,50,6,56
1299614,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.47058823529411764,0.0,0.4318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.33928571428571425,0.5,0.0,0.0,0.0,0,0,14,8,22
1299611,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3529411764705882,0.0,0.4545454545454546,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,0,0,68,0,68
1299606,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7058823529411764,0.0,0.4545454545454546,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,0,0,66,0,66
1299603,0.5,0.0,0.09523809523809523,0.0,0.0,0.0,1.0,1.0,0.6470588235294118,0.0,0.5454545454545454,0.5,0.25,0.25,0.0,0.5,0.0,0.0,0.42857142857142855,0.5,0.0,0.0,0.0,0,-2,46,8,52
