Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp,age,batting,bowling,all_rounder,bowling_style,batting_style
Chittagong Vikings,Yasir Ali Chowdhury,5791b840,1,8,9,1,0,88.89,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12,28,True,False,False,Right-arm offbreak,Right-hand bat
Chittagong Vikings,CS Delport,afa78c3a,2,36,27,5,1,133.33,[9],1.0,6,0,0,11,1,0,0,0,0,0,1,11.0,1,0,0,0,2,68,0,8,76,35,True,False,False,Right-arm medium,Left-hand bat
Chittagong Vikings,Shadman Islam,246d11a2,3,24,19,2,1,126.32,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,38,0,0,38,29,True,False,False,Slow left-arm orthodox,Left-hand bat
Chittagong Vikings,Mushfiqur Rahim,a94e08ea,4,8,6,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12,37,True,False,False,,Right-hand bat
Chittagong Vikings,Mosaddek Hossain,8919756f,5,40,35,3,1,114.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,62,0,0,62,29,True,False,True,Right-arm offbreak,Right-hand bat
Chittagong Vikings,MD Shanaka,3ff033bb,6,7,10,1,0,70.0,[17],0.667,4,1,0,6,0,0,0,0,0,0,2,9.0,1,0,0,0,-2,9,1,8,18,33,True,False,True,Right-arm medium,Right-hand bat
Chittagong Vikings,Khaled Ahmed,5dbdecf1,6,0,0,0,0,0.0,"[5, 7, 11, 13]",4.0,24,13,1,20,2,0,3,1,0,0,0,5.0,0,0,0,0,0,0,116,0,116,32,True,False,False,Right-arm medium-fast,Right-hand bat
Chittagong Vikings,R Frylinck,8b248d88,7,1,4,0,0,25.0,[1],1.0,6,2,0,13,3,0,0,0,0,0,0,13.0,0,0,0,0,0,1,2,0,3,40,True,False,True,Right-arm medium,Right-hand bat
Chittagong Vikings,GC Viljoen,a316d663,8,1,2,0,0,50.0,"[4, 6, 10, 15]",4.0,24,9,0,33,4,1,0,0,0,0,0,8.25,0,0,0,0,0,1,9,0,10,36,True,False,False,Right-arm fast,Right-hand bat
Chittagong Vikings,Nayeem Hasan,1670dcfd,9,6,7,0,0,85.71,"[2, 8, 14]",3.0,18,4,0,28,3,1,1,0,0,0,0,9.33,1,0,0,0,0,6,29,8,43,25,True,False,True,Right-arm offbreak,Right-hand bat
