date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-05'],Big Bash League,1443080,Adelaide Strikers,7,8,5,1,0,160.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,12,0,8,20
['2025-01-02'],Big Bash League,1443076,Adelaide Strikers,3,1,2,0,0,50.0,8,1.0,6,0,0,12,2,0,0,0,0,0,0,12.0,1,0,0,0,0,1,0,8,9
['2024-12-27'],Big Bash League,1443069,Adelaide Strikers,7,2,3,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2024-12-22'],Big Bash League,1443065,Adelaide Strikers,7,23,11,1,2,209.09,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,45,0,0,45
['2024-12-20'],Big Bash League,1443062,Adelaide Strikers,6,16,13,2,0,123.08,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2024-12-17'],Big Bash League,1443059,Adelaide Strikers,8,31,12,3,2,258.33,3,1.0,6,2,0,19,3,1,0,0,0,1,0,19.0,1,0,0,0,6,65,2,8,75
['2024-01-22'],Big Bash League,1386136,Adelaide Strikers,7,7,4,0,1,175.0,"5,13,15",3.0,18,2,0,42,5,2,0,0,0,0,0,14.0,0,0,0,0,0,13,-4,0,9
['2024-01-20'],Big Bash League,1386135,Adelaide Strikers,7,4,3,1,0,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,8,0,8,16
['2024-01-03'],Big Bash League,1386118,Adelaide Strikers,7,2,4,0,0,50.0,"9,17,20",3.0,18,1,0,57,5,4,0,0,0,0,2,19.0,0,0,0,0,0,2,-5,0,-3
['2023-12-31'],Big Bash League,1386113,Adelaide Strikers,8,0,0,0,0,0.0,"13,15,19",3.0,18,4,0,40,3,3,0,0,0,0,0,13.33,0,0,0,0,0,0,-2,0,-2
['2023-12-29'],Big Bash League,1386111,Adelaide Strikers,7,4,5,0,0,80.0,"10,12,14",3.0,18,4,0,21,0,1,1,0,1,0,0,7.0,0,0,0,0,0,4,39,0,43
['2023-12-22'],Big Bash League,1386104,Adelaide Strikers,7,8,4,1,0,200.0,"6,8",2.0,12,5,0,9,0,0,1,0,0,0,0,4.5,1,0,0,0,0,12,36,8,56
['2023-12-19'],Big Bash League,1386101,Adelaide Strikers,7,0,0,0,0,0.0,7,1.0,6,1,0,16,2,1,0,0,0,0,0,16.0,1,0,0,0,0,0,1,8,9
['2023-02-04'],Big Bash League,1324684,Brisbane Heat,8,5,6,1,0,83.33,"5,10,13,18",4.0,24,7,0,42,4,2,0,0,0,0,0,10.5,0,0,0,0,0,9,5,0,14
['2023-02-02'],Big Bash League,1324683,Brisbane Heat,8,2,10,0,0,20.0,"5,14",2.0,12,6,0,6,0,0,0,0,0,0,0,3.0,0,0,0,0,-6,-4,12,0,8
['2023-01-29'],Big Bash League,1324682,Brisbane Heat,8,0,0,0,0,0.0,"5,11,15",3.0,18,5,0,35,2,3,0,0,0,0,0,11.67,0,0,0,0,0,0,1,0,1
['2023-01-27'],Big Bash League,1324680,Brisbane Heat,7,0,0,0,0,0.0,3,1.0,6,5,0,3,0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,30,0,30
['2023-01-25'],Big Bash League,1324678,Brisbane Heat,8,10,9,0,1,111.11,"5,7,9,16",4.0,24,10,0,20,2,0,1,0,1,0,0,5.0,0,0,0,0,0,16,47,0,63
['2023-01-22'],Big Bash League,1324674,Brisbane Heat,7,0,0,0,0,0.0,"5,11",2.0,12,4,0,15,2,0,1,0,0,0,0,7.5,0,0,0,0,0,0,29,0,29
['2023-01-20'],Big Bash League,1324672,Brisbane Heat,8,13,6,1,1,216.67,"5,13,17",3.0,18,6,0,21,0,1,1,0,0,0,1,7.0,0,0,0,0,0,23,33,0,56
['2023-01-16'],Big Bash League,1324667,Brisbane Heat,7,9,7,0,1,128.57,"4,6,9,17",4.0,24,13,0,35,0,4,1,0,0,0,2,8.75,0,0,0,0,0,15,38,0,53
['2023-01-14'],Big Bash League,1324663,Brisbane Heat,7,20,16,2,1,125.0,"9,13,15,18",4.0,24,8,0,30,3,0,3,0,2,0,1,7.5,0,0,0,1,0,34,103,6,143
['2023-01-04'],Big Bash League,1324651,Brisbane Heat,7,3,4,0,0,75.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2023-01-01'],Big Bash League,1324648,Brisbane Heat,6,5,4,0,0,125.0,"3,7,12,15",4.0,24,5,0,54,6,3,1,0,0,0,0,13.5,0,0,0,0,0,5,24,0,29
['2022-12-29'],Big Bash League,1324642,Brisbane Heat,7,29,24,2,1,120.83,"5,7,13,20",4.0,24,10,0,22,2,0,4,0,0,0,1,5.5,0,0,0,0,0,47,122,0,169
['2022-12-23'],Big Bash League,1324636,Brisbane Heat,8,5,4,0,0,125.0,"7,9,13,20",4.0,24,7,0,44,4,2,1,0,0,0,0,11.0,0,0,0,0,0,5,30,0,35
['2022-12-21'],Big Bash League,1324633,Brisbane Heat,8,0,2,0,0,0.0,"7,10,16,20",3.333,20,8,0,28,2,2,0,0,0,0,0,8.4,0,0,0,0,0,-2,8,0,6
['2022-12-15'],Big Bash League,1324626,Brisbane Heat,7,19,20,0,1,95.0,"7,11,17,19",4.0,24,12,0,19,1,0,2,0,0,0,2,4.75,0,0,0,0,0,25,68,0,93
['2022-01-19'],Big Bash League,1269692,Brisbane Heat,7,12,8,1,0,150.0,"3,10",2.0,12,4,0,20,3,0,0,0,0,0,1,10.0,0,0,0,0,0,16,2,0,18
['2022-01-17'],Big Bash League,1269690,Brisbane Heat,7,9,5,2,0,180.0,"3,9,14",3.0,18,4,0,39,6,1,0,0,0,0,1,13.0,0,0,0,0,0,17,-2,0,15
['2022-01-16'],Big Bash League,1269688,Brisbane Heat,7,5,5,0,0,100.0,"3,8,12,14",3.833,23,8,0,34,2,2,1,0,0,0,2,8.87,0,0,0,0,0,5,33,0,38
['2022-01-01'],Big Bash League,1269666,Brisbane Heat,8,44,27,3,2,162.96,"5,9,13,17",4.0,24,10,0,20,2,0,0,0,0,0,0,5.0,0,0,0,0,4,76,14,0,90
['2021-12-29'],Big Bash League,1269662,Brisbane Heat,9,8,9,0,0,88.89,"4,9,12,17",4.0,24,7,0,19,1,0,2,0,0,0,0,4.75,1,0,0,0,0,8,63,8,79
['2021-12-27'],Big Bash League,1269660,Brisbane Heat,7,2,5,0,0,40.0,"5,9,12,20",4.0,24,6,0,40,1,3,2,0,0,0,2,10.0,0,0,0,0,0,2,54,0,56
['2021-12-23'],Big Bash League,1269655,Brisbane Heat,7,2,3,0,0,66.67,"4,8,12,18",4.0,24,7,0,27,2,0,2,0,1,0,0,6.75,0,0,0,0,0,2,67,0,69
['2021-12-19'],Big Bash League,1269651,Brisbane Heat,7,9,14,1,0,64.29,"5,9,13,19",4.0,24,5,0,52,5,3,1,1,0,0,3,13.0,0,0,0,0,-2,11,32,0,43
['2021-12-13'],Big Bash League,1269648,Brisbane Heat,7,16,12,1,1,133.33,"4,7,14,17",4.0,24,9,0,28,3,0,3,0,0,0,1,7.0,0,0,0,0,2,28,90,0,118
['2021-12-08'],Big Bash League,1269642,Brisbane Heat,7,14,7,0,2,200.0,"6,9,13,18",4.0,24,9,0,27,2,0,1,0,1,0,2,6.75,0,0,0,0,0,26,44,0,70
['2021-12-06'],Big Bash League,1269639,Brisbane Heat,7,1,3,0,0,33.33,"9,11,16",3.0,18,7,0,18,0,1,0,0,0,0,1,6.0,0,0,0,0,0,1,9,0,10
['2021-01-19'],Big Bash League,1226838,Brisbane Heat,8,4,5,0,0,80.0,"11,13,16",3.0,18,2,0,27,2,1,1,0,0,0,0,9.0,1,0,0,0,0,4,27,8,39
['2021-01-14'],Big Bash League,1226843,Brisbane Heat,6,1,2,0,0,50.0,"10,13",2.0,12,2,0,14,1,0,0,0,0,0,0,7.0,0,0,0,0,0,1,4,0,5
['2021-01-10'],Big Bash League,1226855,Brisbane Heat,7,0,1,0,0,0.0,"14,17,19",3.0,18,7,0,17,1,0,2,0,0,0,1,5.67,0,0,0,0,0,-2,61,0,59
['2021-01-07'],Big Bash League,1226835,Brisbane Heat,7,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2021-01-04'],Big Bash League,1226851,Brisbane Heat,7,4,3,1,0,133.33,11,1.0,6,0,0,12,0,1,0,0,0,0,0,12.0,0,0,0,0,0,8,0,0,8
['2021-01-02'],Big Bash League,1226832,Brisbane Heat,7,5,4,0,0,125.0,11,1.0,6,0,0,9,0,0,0,0,0,0,1,9.0,0,0,0,0,0,5,0,0,5
['2020-12-30'],Big Bash League,1226875,Brisbane Heat,7,49,28,4,2,175.0,"11,14",2.0,12,4,0,15,2,0,0,0,0,0,0,7.5,0,0,0,0,6,87,4,0,91
['2020-12-27'],Big Bash League,1226868,Brisbane Heat,8,31,19,2,3,163.16,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,65,0,8,73
