date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2018-01-27'],Big Bash League,1114894,Melbourne Stars,6,20,6,2,2,333.33,"6,8,18,20",4.0,24,9,0,41,3,2,2,0,0,1,2,10.25,1,0,0,0,0,40,57,8,105
['2018-01-23'],Big Bash League,1114891,Melbourne Stars,8,0,0,0,0,0.0,"6,8,10,18",3.5,21,8,0,27,4,0,2,1,0,0,1,7.71,0,0,0,0,0,0,66,0,66
['2018-01-20'],Big Bash League,1114888,Melbourne Stars,7,9,10,1,0,90.0,"5,12,14,16",4.0,24,9,0,32,5,0,1,0,0,0,0,8.0,0,0,0,0,0,13,34,0,47
['2018-01-16'],Big Bash League,1114885,Melbourne Stars,8,0,0,0,0,0.0,"6,9,11",3.0,18,10,0,27,2,2,0,0,0,0,1,9.0,0,0,0,0,0,0,10,0,10
['2018-01-12'],Big Bash League,1114881,Melbourne Stars,8,0,0,0,0,0.0,"6,8,17,19",4.0,24,10,0,28,1,1,2,0,0,0,1,7.0,0,0,0,0,0,0,62,0,62
['2018-01-09'],Big Bash League,1114878,Melbourne Stars,8,17,10,0,1,170.0,"6,8",2.0,12,5,0,13,1,1,0,0,0,0,0,6.5,0,0,0,0,4,27,7,0,34
['2018-01-06'],Big Bash League,1114874,Melbourne Stars,8,0,0,0,0,0.0,"7,9,16,18",3.833,23,8,0,24,0,1,2,0,0,0,2,6.26,1,0,0,0,0,0,60,8,68
['2018-01-02'],Big Bash League,1114870,Melbourne Stars,8,0,2,0,0,0.0,"6,8",2.0,12,3,0,22,2,1,0,0,0,0,0,11.0,0,0,0,0,0,-2,1,0,-1
['2017-12-26'],Big Bash League,1114862,Melbourne Stars,8,5,10,0,0,50.0,"9,15,17",3.0,18,4,0,25,2,0,1,0,0,0,1,8.33,0,0,0,0,-4,1,29,0,30
['2017-12-20'],Big Bash League,1114857,Melbourne Stars,8,0,0,0,0,0.0,"5,11,18",3.0,18,5,0,48,5,3,0,0,0,1,1,16.0,2,0,0,0,0,0,-1,16,15
['2017-08-05'],NatWest T20 Blast,1068391,Worcestershire,1,35,19,5,2,184.21,"2,5,18,20",4.0,24,8,0,49,6,2,1,0,1,2,0,12.25,0,0,0,0,6,77,35,0,112
['2017-08-04'],NatWest T20 Blast,1068388,Worcestershire,1,51,20,4,5,255.0,"2,4,18,20",4.0,24,2,0,44,3,2,0,0,0,0,0,11.0,0,0,0,0,6,111,0,0,111
['2017-07-30'],NatWest T20 Blast,1068369,Worcestershire,1,24,18,3,0,133.33,"2,6,18,20",4.0,24,8,0,35,6,0,1,0,0,0,0,8.75,0,0,0,0,2,38,33,0,71
['2017-07-27'],NatWest T20 Blast,1068359,Worcestershire,4,0,1,0,0,0.0,"8,10,13,15",4.0,24,14,0,20,3,0,1,0,0,0,0,5.0,0,0,0,0,0,-2,43,0,41
['2017-07-26'],NatWest T20 Blast,1068356,Worcestershire,3,9,15,0,0,60.0,"14,16,18,20",4.0,24,9,0,31,3,1,3,0,0,0,0,7.75,0,0,0,0,-2,7,88,0,95
['2017-07-23'],NatWest T20 Blast,1068343,Worcestershire,1,24,11,2,2,218.18,"2,8,17",3.0,18,6,0,58,5,4,2,0,1,2,6,19.33,0,0,0,0,6,50,58,0,108
['2017-07-19'],NatWest T20 Blast,1068329,Worcestershire,7,16,3,1,2,533.33,"5,8,15,19",3.333,20,4,0,32,4,0,0,0,0,0,1,9.6,0,0,0,0,0,32,4,0,36
['2017-07-14'],NatWest T20 Blast,1068321,Worcestershire,8,16,9,2,1,177.78,"3,16,19",2.5,15,2,0,30,3,1,0,0,0,0,0,12.0,0,0,0,0,0,30,-2,0,28
['2017-07-07'],NatWest T20 Blast,1068303,Worcestershire,8,4,4,0,0,100.0,"2,6,18",3.0,18,5,0,34,5,1,0,0,0,0,0,11.33,0,0,0,0,0,4,1,0,5
['2016-09-09'],Australia in Sri Lanka T20I Series,995469,Australia,11,0,0,0,0,0.0,"2,4,15,19",4.0,24,9,0,23,1,0,2,0,0,1,1,5.75,1,0,0,0,0,0,63,8,71
['2016-04-13'],Indian Premier League,980909,Kolkata Knight Riders,9,0,0,0,0,0.0,"2,5,13,18",4.0,24,9,0,31,4,0,0,0,0,0,2,7.75,0,0,0,0,0,0,9,0,9
['2016-04-10'],Indian Premier League,980903,Kolkata Knight Riders,9,0,0,0,0,0.0,"4,6,18",2.667,16,13,1,6,1,0,2,0,0,0,0,2.25,0,0,0,0,0,0,81,0,81
['2016-03-21'],World T20,951347,Australia,8,3,4,0,0,75.0,"4,8,13",3.0,18,9,0,24,3,1,0,0,0,0,0,8.0,0,0,0,0,0,3,9,0,12
['2016-03-09'],Australia in South Africa T20I Series,884351,Australia,10,0,0,0,0,0.0,"2,4,18",3.0,18,7,0,28,2,2,0,0,0,0,0,9.33,1,0,0,0,0,0,7,8,15
['2016-03-06'],Australia in South Africa T20I Series,884349,Australia,10,0,0,0,0,0.0,"2,4,16,20",4.0,24,10,0,42,3,4,2,0,1,0,0,10.5,0,0,0,0,0,0,66,0,66
['2016-03-04'],Australia in South Africa T20I Series,884347,Australia,8,7,9,1,0,77.78,"2,4,13,18",4.0,24,10,0,29,3,1,0,0,0,0,0,7.25,0,0,0,1,0,11,10,6,27
['2016-01-29'],India in Australia T20I Series,895819,Australia,8,4,6,0,0,66.67,"2,4,14",3.0,18,7,0,35,6,1,0,0,0,0,0,11.67,0,0,0,0,0,4,3,0,7
['2016-01-09'],Big Bash League,897741,Melbourne Stars,8,0,0,0,0,0.0,"3,5,17,20",4.0,24,11,0,46,7,2,0,0,0,0,0,11.5,0,0,0,0,0,0,7,0,7
['2016-01-06'],Big Bash League,897735,Melbourne Stars,8,0,0,0,0,0.0,"5,11,17,19",4.0,24,7,0,23,1,0,1,0,1,0,0,5.75,0,0,0,1,0,0,44,6,50
['2016-01-02'],Big Bash League,897725,Melbourne Stars,8,0,0,0,0,0.0,"4,6,16,20",4.0,24,9,0,29,3,0,4,0,1,1,2,7.25,0,0,0,0,0,0,125,0,125
['2015-12-18'],Big Bash League,897697,Melbourne Stars,9,15,8,1,1,187.5,"8,10,12,17",4.0,24,7,0,40,2,3,1,0,0,1,0,10.0,1,0,0,0,0,25,30,8,63
['2015-07-17'],NatWest T20 Blast,804665,Durham,7,42,22,4,2,190.91,"1,3,18,20",4.0,24,9,0,37,6,0,1,0,0,0,1,9.25,0,0,0,0,6,80,34,0,114
['2015-07-10'],NatWest T20 Blast,804647,Durham,8,43,12,5,3,358.33,"1,3,16",3.0,18,8,0,25,4,0,2,0,0,0,0,8.33,0,0,0,0,6,91,58,0,149
['2015-07-05'],NatWest T20 Blast,804631,Durham,6,0,6,0,0,0.0,"1,3,17,19",4.0,24,10,0,36,7,0,0,0,0,0,1,9.0,0,0,0,0,0,-2,10,0,8
['2015-07-03'],NatWest T20 Blast,804613,Durham,8,0,0,0,0,0.0,"1,6,18,20",3.833,23,12,0,10,0,0,3,0,2,0,0,2.61,0,0,0,0,0,0,113,0,113
['2015-06-25'],NatWest T20 Blast,804585,Durham,8,1,3,0,0,33.33,"1,3,17,19",3.167,19,7,0,24,2,0,0,0,0,6,0,7.58,0,0,0,0,0,1,7,0,8
['2015-06-12'],NatWest T20 Blast,804535,Durham,7,4,7,0,0,57.14,"1,5,18,20",4.0,24,7,0,32,4,0,0,0,0,0,1,8.0,0,0,0,0,0,4,7,0,11
