date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-11-16'],Netherlands tour of Oman,1454821,Netherlands,9,2,2,0,0,100.0,"7,9",2.0,12,6,0,9,1,0,0,0,0,0,0,4.5,0,0,0,0,0,2,12,0,14
['2024-11-14'],Netherlands tour of Oman,1454820,Netherlands,10,0,0,0,0,0.0,"8,10,12",3.0,18,12,0,11,0,1,1,0,0,0,0,3.67,0,0,0,0,0,0,43,0,43
['2024-11-13'],Netherlands tour of Oman,1454819,Netherlands,9,1,1,0,0,100.0,"6,10,12,19",4.0,24,9,0,15,0,0,3,1,0,0,0,3.75,0,0,0,0,0,1,102,0,103
['2024-10-27'],CSA T20 Challenge,1444796,Titans,7,15,17,1,0,88.24,"1,3,13",3.0,18,9,0,13,1,0,0,0,0,0,1,4.33,0,0,0,0,0,19,15,0,34
['2024-10-22'],CSA T20 Challenge,1444793,Titans,9,3,4,0,0,75.0,"1,7,16",3.0,18,8,0,17,2,0,0,0,0,0,0,5.67,1,0,0,0,0,3,12,8,23
['2024-10-19'],CSA T20 Challenge,1444790,Titans,9,0,0,0,0,0.0,"4,11",2.0,12,2,0,16,2,0,0,0,0,0,0,8.0,0,0,0,0,0,0,2,0,2
['2024-10-04'],CSA T20 Challenge,1444770,Titans,9,0,0,0,0,0.0,"2,10,15,18",4.0,24,8,0,31,4,0,4,0,0,0,0,7.75,1,0,0,0,0,0,116,8,124
['2024-09-27'],CSA T20 Challenge,1444765,Titans,9,0,0,0,0,0.0,"1,3,5,16",4.0,24,13,0,28,2,2,3,1,0,0,0,7.0,1,0,0,0,0,0,102,8,110
['2024-09-14'],Vitality Blast,1410500,Somerset,9,0,0,0,0,0.0,"7,9,11,13",4.0,24,5,0,27,1,0,0,0,0,0,1,6.75,1,0,0,0,0,0,7,8,15
['2024-09-14'],Vitality Blast,1410502,Somerset,9,5,6,0,0,83.33,"7,9,12",3.0,18,6,0,28,3,1,0,0,0,0,0,9.33,0,0,0,0,0,5,6,0,11
['2024-09-05'],Vitality Blast,1410498,Somerset,9,0,0,0,0,0.0,12,1.0,6,2,0,12,1,1,0,0,0,0,0,12.0,1,0,0,0,0,0,2,8,10
['2024-07-07'],Vitality Blast,1410457,Somerset,8,1,1,0,0,100.0,"7,9,14",3.0,18,4,0,29,2,1,1,0,0,0,2,9.67,1,0,0,0,0,1,29,8,38
['2024-06-21'],Vitality Blast,1410435,Somerset,8,0,0,0,0,0.0,"8,10",2.0,12,3,0,19,3,0,1,0,1,0,0,9.5,0,0,0,0,0,0,36,0,36
['2024-06-16'],Vitality Blast,1410425,Somerset,9,21,15,3,0,140.0,14,0.333,2,2,0,0,0,0,2,0,1,0,0,0.0,0,0,0,0,2,35,60,0,95
['2024-06-14'],Vitality Blast,1410416,Somerset,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-06-11'],Vitality Blast,1410408,Somerset,9,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2024-06-09'],Vitality Blast,1410406,Somerset,9,0,0,0,0,0.0,"7,12,14",3.0,18,6,0,33,2,3,0,0,0,0,0,11.0,1,0,0,0,0,0,4,8,12
['2024-06-07'],Vitality Blast,1410396,Somerset,9,0,0,0,0,0.0,"8,12,20",2.333,14,2,0,37,6,1,0,0,0,0,0,15.86,1,0,0,0,0,0,-4,8,4
['2024-06-02'],Vitality Blast,1410390,Somerset,9,1,2,0,0,50.0,"8,10,14",3.0,18,3,0,33,1,3,1,0,1,0,0,11.0,0,0,0,0,0,1,34,0,35
['2024-05-31'],Vitality Blast,1410380,Somerset,9,0,0,0,0,0.0,"7,9,13",3.0,18,9,0,20,2,1,1,0,0,0,0,6.67,0,0,0,0,0,0,36,0,36
['2024-03-05'],Nepal Tri-Nation T20I Series,1422043,Netherlands,8,2,2,0,0,100.0,"7,9",2.0,12,2,0,13,1,0,0,0,0,0,0,6.5,0,0,0,0,0,2,4,0,6
['2024-03-03'],Nepal Tri-Nation T20I Series,1422042,Netherlands,8,0,0,0,0,0.0,"7,9",2.0,12,3,0,17,1,1,1,0,1,0,0,8.5,0,0,0,0,0,0,36,0,36
['2024-03-02'],Nepal Tri-Nation T20I Series,1422041,Netherlands,9,23,14,1,1,164.29,"9,11",2.0,12,5,0,16,1,1,0,0,0,0,1,8.0,0,0,0,0,4,37,5,0,42
['2024-02-29'],Nepal Tri-Nation T20I Series,1422039,Netherlands,8,0,0,0,0,0.0,"13,15,17,19",4.0,24,7,0,44,2,4,1,0,0,0,0,11.0,1,0,0,0,0,0,30,8,38
['2024-02-28'],Nepal Tri-Nation T20I Series,1422038,Netherlands,6,0,0,0,0,0.0,"7,9,13,20",4.0,24,13,0,24,3,1,2,0,1,0,0,6.0,0,0,0,1,0,0,73,6,79
['2023-09-10'],Caribbean Premier League,1369580,Barbados Royals,9,1,1,0,0,100.0,11,1.0,6,3,0,16,1,2,0,0,0,0,0,16.0,1,0,0,0,0,1,3,8,12
['2023-09-06'],Caribbean Premier League,1369577,Barbados Royals,8,20,9,2,1,222.22,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,34,0,8,42
['2023-09-03'],Caribbean Premier League,1369575,Barbados Royals,10,0,0,0,0,0.0,"2,4",2.0,12,7,0,20,3,1,0,0,0,0,1,10.0,0,0,0,0,0,0,5,0,5
['2023-09-02'],Caribbean Premier League,1369573,Barbados Royals,9,11,11,1,0,100.0,"8,10,12,19",4.0,24,6,0,40,4,2,3,0,0,0,0,10.0,0,0,0,0,0,15,83,0,98
['2023-08-31'],Caribbean Premier League,1369571,Barbados Royals,9,0,0,0,0,0.0,"12,14,19",3.0,18,4,0,28,1,2,1,0,1,0,0,9.33,0,0,0,0,0,0,37,0,37
['2023-08-30'],Caribbean Premier League,1369570,Barbados Royals,9,3,4,0,0,75.0,"10,12,17,19",4.0,24,6,0,32,2,1,1,0,0,0,2,8.0,0,0,0,0,0,3,31,0,34
['2023-08-26'],Caribbean Premier League,1369567,Barbados Royals,9,0,0,0,0,0.0,10,1.0,6,2,0,9,0,1,0,0,0,0,0,9.0,1,0,0,0,0,0,2,8,10
['2023-06-19'],Vitality Blast,1347654,Somerset,8,0,0,0,0,0.0,"10,12,14,16",4.0,24,5,0,36,2,2,1,0,1,0,1,9.0,1,0,0,0,0,0,38,8,46
['2023-06-16'],Vitality Blast,1347644,Somerset,8,3,5,0,0,60.0,"8,11,14",3.0,18,3,0,34,0,3,1,0,0,0,4,11.33,0,0,0,0,0,3,24,0,27
['2023-06-09'],Vitality Blast,1347635,Somerset,8,0,0,0,0,0.0,"8,13,15,17",4.0,24,8,0,25,1,1,3,0,0,0,1,6.25,1,0,0,0,0,0,89,8,97
['2023-06-07'],Vitality Blast,1347623,Somerset,8,1,1,0,0,100.0,"8,11,14",3.0,18,4,0,26,2,1,0,0,0,0,0,8.67,0,0,0,0,0,1,4,0,5
['2023-06-04'],Vitality Blast,1347616,Somerset,8,7,10,0,0,70.0,"11,13,15",3.0,18,5,0,23,1,1,2,0,1,0,1,7.67,1,0,0,0,-2,5,63,8,76
['2023-06-02'],Vitality Blast,1347604,Somerset,9,0,0,0,0,0.0,"10,12,15",3.0,18,6,0,19,1,1,1,0,0,0,0,6.33,0,0,0,0,0,0,33,0,33
['2023-05-30'],Vitality Blast,1347593,Somerset,8,17,10,1,1,170.0,9,1.0,6,1,0,4,0,0,1,0,0,0,0,4.0,1,0,0,0,4,31,26,8,65
['2023-05-28'],Vitality Blast,1347585,Somerset,9,0,0,0,0,0.0,"7,9,13,17",4.0,24,8,0,24,1,0,3,1,0,0,1,6.0,0,0,0,0,0,0,97,0,97
['2023-05-26'],Vitality Blast,1347576,Somerset,8,0,0,0,0,0.0,"8,10,12,16",4.0,24,14,0,15,1,0,1,0,0,0,0,3.75,2,0,0,0,0,0,45,16,61
['2023-05-24'],Vitality Blast,1347570,Somerset,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-11-06'],ICC Men's T20 World Cup,1298174,Netherlands,7,0,0,0,0,0.0,"7,9",2.0,12,2,0,19,2,0,0,0,0,0,0,9.5,1,0,0,0,0,0,2,8,10
['2022-11-02'],ICC Men's T20 World Cup,1298168,Netherlands,7,0,3,0,0,0.0,11,1.0,6,2,0,8,1,0,0,0,0,0,0,8.0,0,0,0,0,0,0,2,0,2
['2022-10-30'],ICC Men's T20 World Cup,1298163,Netherlands,7,5,6,0,0,83.33,11,1.0,6,1,0,7,0,0,0,0,0,0,0,7.0,0,0,1,0,0,5,1,12,18
['2022-10-20'],ICC Men's T20 World Cup,1298143,Netherlands,11,0,1,0,0,0.0,"4,8,14",3.0,18,10,0,16,2,0,0,0,0,0,0,5.33,0,0,0,0,0,0,14,0,14
['2022-10-18'],ICC Men's T20 World Cup,1298139,Netherlands,8,0,0,0,0,0.0,12,1.0,6,1,0,6,0,0,1,0,0,0,1,6.0,0,0,0,0,0,0,26,0,26
['2022-10-16'],ICC Men's T20 World Cup,1298136,Netherlands,7,0,2,0,0,0.0,"7,12,17",3.0,18,7,0,19,0,1,1,0,0,0,0,6.33,1,0,0,0,0,-2,34,8,40
['2022-07-16'],Vitality Blast,1297925,Somerset,8,10,7,1,0,142.86,"5,8,10,20",4.0,24,7,0,29,2,1,2,0,0,0,0,7.25,0,0,0,0,0,14,57,0,71
['2022-07-09'],Vitality Blast,1297923,Somerset,8,0,0,0,0,0.0,11,1.0,6,2,0,4,0,0,0,0,0,0,0,4.0,1,0,1,0,0,0,2,20,22
['2022-07-03'],Vitality Blast,1297917,Somerset,8,0,1,0,0,0.0,"8,10,12",3.0,18,6,0,24,3,0,2,0,1,0,2,8.0,0,0,0,0,0,-2,64,0,62
['2022-07-01'],Vitality Blast,1297906,Somerset,8,9,7,1,0,128.57,"11,13",2.0,12,2,0,15,1,0,0,0,0,0,1,7.5,1,0,0,0,0,13,2,8,23
['2022-06-24'],Vitality Blast,1297899,Somerset,9,0,0,0,0,0.0,4,1.0,6,3,0,8,0,1,0,0,0,0,0,8.0,1,0,0,0,0,0,3,8,11
['2022-06-23'],Vitality Blast,1297893,Somerset,9,0,2,0,0,0.0,"8,10,12,16",4.0,24,3,0,38,3,1,0,0,0,0,1,9.5,0,0,0,0,0,-2,3,0,1
['2022-06-21'],Vitality Blast,1297884,Somerset,8,3,5,0,0,60.0,"6,8,15,17",4.0,24,9,0,20,1,0,1,0,1,0,1,5.0,0,0,0,0,0,3,46,0,49
['2022-06-19'],Vitality Blast,1297882,Somerset,8,0,0,0,0,0.0,"7,12",2.0,12,2,0,21,2,1,0,0,0,0,0,10.5,1,0,0,0,0,0,0,8,8
['2022-06-17'],Vitality Blast,1297869,Somerset,8,15,5,0,2,300.0,"7,10,12,16",4.0,24,4,0,31,1,1,1,0,1,0,0,7.75,0,0,0,0,0,27,37,0,64
['2022-06-10'],Vitality Blast,1297863,Somerset,8,8,6,0,1,133.33,"10,14",2.0,12,2,0,16,0,1,1,0,1,0,0,8.0,1,0,0,0,0,14,35,8,57
['2022-06-09'],Vitality Blast,1297853,Somerset,8,48,15,4,4,320.0,"6,8",2.0,12,2,0,14,1,0,1,0,0,0,0,7.0,0,0,0,0,6,98,29,0,127
['2022-06-03'],Vitality Blast,1297835,Somerset,9,0,0,0,0,0.0,"8,10",2.0,12,5,0,15,1,1,0,0,0,0,0,7.5,2,0,0,0,0,0,5,16,21
['2022-06-01'],Vitality Blast,1297824,Somerset,6,10,11,0,1,90.91,"5,7,12,14",4.0,24,6,0,30,1,1,1,0,0,0,0,7.5,1,0,0,0,0,16,31,8,55
['2022-05-30'],Vitality Blast,1297816,Somerset,8,1,1,0,0,100.0,"11,13",2.0,12,5,0,12,0,1,0,0,0,0,0,6.0,0,0,0,0,0,1,7,0,8
['2022-05-29'],Vitality Blast,1297814,Somerset,9,0,0,0,0,0.0,"7,12,14",3.0,18,5,0,28,4,0,0,0,0,0,1,9.33,0,0,0,0,0,0,5,0,5
['2022-05-25'],Vitality Blast,1297794,Somerset,9,0,0,0,0,0.0,11,1.0,6,0,0,12,0,1,0,0,0,0,0,12.0,1,0,0,0,0,0,0,8,8
['2021-10-22'],ICC Men's T20 World Cup,1273723,Netherlands,7,0,3,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2021-10-20'],ICC Men's T20 World Cup,1273718,Netherlands,3,6,4,1,0,150.0,"7,10",2.0,12,2,0,22,0,2,0,0,0,0,0,11.0,0,0,0,0,0,10,0,0,10
['2021-10-18'],ICC Men's T20 World Cup,1273714,Netherlands,7,0,1,0,0,0.0,"2,7,10,14",4.0,24,7,0,35,4,1,0,0,0,0,1,8.75,1,0,0,0,0,-2,7,8,13
['2021-09-18'],Vitality Blast,1250366,Somerset,3,2,3,0,0,66.67,"7,9,12,17",4.0,24,6,0,30,0,2,0,0,0,0,0,7.5,0,0,1,0,0,2,6,12,20
['2021-09-18'],Vitality Blast,1250368,Somerset,7,4,5,0,0,80.0,"6,8,10,14",4.0,24,10,0,19,1,0,3,0,0,0,2,4.75,0,0,0,0,0,4,95,0,99
['2021-08-26'],Vitality Blast,1250364,Somerset,8,0,0,0,0,0.0,"4,8,11,15",4.0,24,9,0,27,3,0,4,1,0,0,0,6.75,1,0,1,0,0,0,127,20,147
['2021-07-18'],Vitality Blast,1250359,Somerset,7,5,4,0,0,125.0,"9,11,14,20",4.0,24,6,0,38,1,3,1,0,0,0,1,9.5,0,0,0,0,0,5,31,0,36
['2021-07-16'],Vitality Blast,1250350,Somerset,7,10,4,2,0,250.0,"8,11,16,18",3.667,22,9,0,20,2,0,3,0,0,0,0,5.45,2,0,0,0,0,18,92,16,126
