date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2020-01-10'],Bangladesh Premier League,1208105,Rangpur Rangers,11,0,0,0,0,0.0,"2,4,11,18",4.0,24,13,0,22,1,0,2,0,0,1,6,5.5,0,0,0,0,0,0,67,0,67
['2019-12-11'],Bangladesh Premier League,1208068,Rangpur Rangers,8,3,14,0,0,21.43,"2,8,17,20",4.0,24,11,0,47,4,4,0,0,0,0,1,11.75,0,0,0,0,-6,-3,7,0,4
['2019-02-02'],Bangladesh Premier League,1169420,Khulna Titans,10,0,0,0,0,0.0,"2,6,13",3.0,18,8,0,23,2,1,0,0,0,1,0,7.67,1,0,0,0,0,0,8,8,16
['2019-01-26'],Bangladesh Premier League,1169409,Khulna Titans,10,2,2,0,0,100.0,"6,14,16,18",4.0,24,8,0,48,6,1,1,0,0,3,3,12.0,1,0,0,0,0,2,29,8,39
['2019-01-23'],Bangladesh Premier League,1169406,Khulna Titans,10,0,0,0,0,0.0,"2,12,17,19",4.0,24,9,0,28,4,0,1,0,0,0,1,7.0,0,0,0,0,0,0,36,0,36
['2019-01-22'],Bangladesh Premier League,1169403,Khulna Titans,11,0,0,0,0,0.0,"2,4,16,19",4.0,24,9,0,37,3,2,1,0,0,0,1,9.25,0,0,0,0,0,0,34,0,34
['2019-01-18'],Bangladesh Premier League,1169398,Khulna Titans,11,0,0,0,0,0.0,"3,11,17,19",4.0,24,14,0,32,4,2,4,0,0,0,0,8.0,0,0,0,0,0,0,122,0,122
['2019-01-15'],Bangladesh Premier League,1169393,Khulna Titans,11,1,1,0,0,100.0,"1,3,16,20",3.833,23,12,0,26,3,1,3,0,0,0,0,6.78,1,0,0,1,0,1,93,14,108
['2019-01-12'],Bangladesh Premier League,1169389,Khulna Titans,11,0,0,0,0,0.0,"1,3,16,19",5.0,30,12,0,35,5,0,2,0,1,0,0,7.0,0,0,0,0,0,0,72,0,72
['2017-11-24'],Bangladesh Premier League,1121269,Khulna Titans,9,1,3,0,0,33.33,"4,6,18,20",4.0,24,10,0,20,1,0,1,0,0,0,0,5.0,0,0,1,0,0,1,39,12,52
['2017-11-21'],Bangladesh Premier League,1121267,Khulna Titans,10,1,3,0,0,33.33,"2,4,18,20",4.0,24,12,0,27,3,1,4,0,2,0,1,6.75,0,0,0,0,0,1,138,0,139
['2017-08-18'],NatWest T20 Blast,1068421,Lancashire,11,0,0,0,0,0.0,"3,5,13,17",4.0,24,9,0,28,4,0,2,0,0,0,0,7.0,0,0,0,0,0,0,61,0,61
['2017-08-16'],NatWest T20 Blast,1068411,Lancashire,11,0,0,0,0,0.0,"3,5,17,19",4.0,24,8,0,27,3,0,2,0,0,0,0,6.75,0,0,0,0,0,0,60,0,60
['2017-08-11'],NatWest T20 Blast,1068401,Lancashire,11,0,1,0,0,0.0,"3,6,18,20",4.0,24,9,0,35,3,2,1,0,0,2,1,8.75,0,0,0,0,0,-2,34,0,32
['2017-08-04'],NatWest T20 Blast,1068382,Lancashire,11,0,0,0,0,0.0,"1,3,16,19",4.0,24,7,0,41,4,2,1,0,0,0,1,10.25,0,0,0,0,0,0,30,0,30
['2017-08-03'],NatWest T20 Blast,1068378,Lancashire,11,1,2,0,0,50.0,"1,5,17,19",4.0,24,10,0,21,1,1,1,0,0,0,1,5.25,0,0,0,0,0,1,39,0,40
['2017-07-30'],NatWest T20 Blast,1068373,Lancashire,11,0,0,0,0,0.0,"4,11,17,19",4.0,24,8,0,40,5,1,0,0,0,0,0,10.0,0,0,0,0,0,0,6,0,6
['2017-07-23'],NatWest T20 Blast,1068346,Lancashire,11,0,0,0,0,0.0,"4,6,18,20",4.0,24,8,0,23,1,0,1,0,0,0,0,5.75,1,0,0,0,0,0,37,8,45
['2017-07-16'],NatWest T20 Blast,1068324,Lancashire,11,0,0,0,0,0.0,"10,16,18,20",4.0,24,6,0,28,2,0,3,0,1,2,0,7.0,0,0,0,0,0,0,95,0,95
['2017-07-14'],NatWest T20 Blast,1068318,Lancashire,11,0,0,0,0,0.0,"4,8",2.0,12,2,0,20,1,1,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0
['2016-12-07'],Bangladesh Premier League,1063091,Khulna Titans,11,1,4,0,0,25.0,"1,3,17,19",4.0,24,13,0,25,2,0,0,0,0,2,5,6.25,0,0,0,0,0,1,15,0,16
['2016-12-06'],Bangladesh Premier League,1063090,Khulna Titans,10,1,5,0,0,20.0,"2,4,18,20",4.0,24,14,0,24,3,1,4,0,1,0,1,6.0,0,0,0,0,0,1,132,0,133
['2016-12-04'],Bangladesh Premier League,1063088,Khulna Titans,9,0,0,0,0,0.0,"5,15,17,19",4.0,24,13,0,22,4,0,3,1,0,0,0,5.5,0,0,0,0,0,0,104,0,104
['2016-11-29'],Bangladesh Premier League,1063080,Khulna Titans,10,0,0,0,0,0.0,"2,4,15",3.0,18,10,0,31,6,1,0,0,0,0,0,10.33,1,0,0,0,0,0,8,8,16
['2016-11-26'],Bangladesh Premier League,1063076,Khulna Titans,9,0,0,0,0,0.0,"3,7,17,19",4.0,24,10,0,25,1,1,0,0,0,0,1,6.25,0,0,0,0,0,0,12,0,12
['2016-11-25'],Bangladesh Premier League,1063074,Khulna Titans,8,0,0,0,0,0.0,"2,4,17,19",4.0,24,16,0,12,1,0,1,0,0,0,0,3.0,1,0,0,0,0,0,47,8,55
['2016-11-22'],Bangladesh Premier League,1063071,Khulna Titans,11,0,0,0,0,0.0,"2,4,13,17",4.0,24,11,0,23,1,1,1,0,0,0,1,5.75,0,0,0,0,0,0,40,0,40
['2016-11-20'],Bangladesh Premier League,1063052,Khulna Titans,11,0,0,0,0,0.0,"2,11,17,19",4.0,24,10,0,29,3,0,2,1,0,1,1,7.25,2,0,0,0,0,0,68,16,84
['2016-11-19'],Bangladesh Premier League,1063067,Khulna Titans,8,0,0,0,0,0.0,"1,3,15,19",4.0,24,11,0,18,1,0,1,0,0,1,0,4.5,1,0,1,0,0,0,42,20,62
['2016-11-13'],Bangladesh Premier League,1063062,Khulna Titans,10,0,1,0,0,0.0,"2,5,15,19",4.0,24,11,0,24,0,1,2,0,1,0,2,6.0,0,0,0,0,0,0,71,0,71
['2016-11-12'],Bangladesh Premier League,1063059,Khulna Titans,11,0,0,0,0,0.0,"2,4,14,19",4.0,24,8,0,27,2,1,0,0,0,0,0,6.75,2,0,0,0,0,0,10,16,26
['2016-11-10'],Bangladesh Premier League,1063048,Khulna Titans,9,0,4,0,0,0.0,"1,3",2.0,12,9,0,14,3,0,1,0,0,2,0,7.0,1,0,0,0,0,-2,36,8,42
['2016-11-09'],Bangladesh Premier League,1063055,Khulna Titans,9,0,0,0,0,0.0,"2,4,14,19",4.0,24,13,0,23,2,0,4,1,1,1,0,5.75,0,0,0,0,0,0,141,0,141
['2014-07-18'],NatWest T20 Blast,693225,Lancashire,11,0,0,0,0,0.0,"6,14,18,20",4.0,24,6,0,30,3,0,2,0,1,0,0,7.5,0,0,0,0,0,0,64,0,64
['2014-07-11'],NatWest T20 Blast,693201,Lancashire,11,0,0,0,0,0.0,"4,13,17,19",4.0,24,9,0,34,3,2,2,0,1,0,1,8.5,0,0,0,0,0,0,67,0,67
['2014-07-06'],NatWest T20 Blast,693187,Lancashire,11,0,0,0,0,0.0,"3,5,15,20",4.0,24,7,0,26,3,0,1,0,1,0,1,6.5,0,0,0,0,0,0,42,0,42
['2014-06-20'],NatWest T20 Blast,693125,Lancashire,11,0,0,0,0,0.0,"2,16,18",3.0,18,9,1,16,1,0,3,0,3,2,0,5.33,0,0,0,0,0,0,128,0,128
['2014-06-13'],NatWest T20 Blast,693105,Lancashire,11,0,0,0,0,0.0,"5,15,17,19",4.0,24,8,0,30,0,2,3,0,1,0,0,7.5,0,0,0,0,0,0,95,0,95
['2014-06-06'],NatWest T20 Blast,693081,Lancashire,11,0,0,0,0,0.0,"2,13,17,19",4.0,24,11,0,31,1,1,1,0,1,2,1,7.75,1,0,0,0,0,0,44,8,52
['2014-05-30'],NatWest T20 Blast,693065,Lancashire,11,9,9,1,0,100.0,"3,5,17,19",4.0,24,13,0,12,0,0,4,0,1,0,0,3.0,0,0,0,0,0,13,135,0,148
['2014-05-29'],NatWest T20 Blast,693049,Lancashire,11,0,0,0,0,0.0,"3,5,16,19",4.0,24,12,0,21,2,0,3,1,1,2,0,5.25,0,0,0,0,0,0,111,0,111
['2014-05-23'],NatWest T20 Blast,693041,Lancashire,11,0,0,0,0,0.0,"3,15,17,19",4.0,24,7,0,35,3,1,0,0,0,0,0,8.75,0,0,0,0,0,0,7,0,7
['2014-05-17'],NatWest T20 Blast,693027,Lancashire,11,0,0,0,0,0.0,"4,6,18,20",4.0,24,6,0,37,2,1,0,0,0,0,0,9.25,0,0,0,0,0,0,6,0,6
['2014-03-21'],World T20,682921,Pakistan,11,0,0,0,0,0.0,"2,4,18",3.0,18,9,0,23,3,1,0,0,0,0,0,7.67,0,0,0,0,0,0,9,0,9
['2013-11-22'],Pakistan in South Africa T20I Series,685729,Pakistan,11,0,0,0,0,0.0,"5,19",2.0,12,2,0,29,4,1,0,0,0,0,1,14.5,0,0,0,0,0,0,-4,0,-4
['2013-11-20'],Pakistan in South Africa T20I Series,685727,Pakistan,10,0,0,0,0,0.0,"5,17,19",3.0,18,9,0,24,5,0,2,0,0,0,0,8.0,0,0,0,0,0,0,59,0,59
['2013-07-27'],Pakistan in West Indies T20I Series,645645,Pakistan,10,0,0,0,0,0.0,"15,17,19",3.0,18,5,0,34,4,2,0,0,0,0,1,11.33,0,0,0,0,0,0,1,0,1
['2013-03-03'],Pakistan in South Africa T20I Series,567367,Pakistan,10,0,0,0,0,0.0,"2,4",2.0,12,4,0,22,2,1,1,0,0,0,1,11.0,0,0,0,0,0,0,27,0,27
['2012-02-23'],Pakistan v England T20I Series,531635,Pakistan,11,0,0,0,0,0.0,"1,3,14,20",4.0,24,5,0,42,3,1,0,0,0,0,0,10.5,0,0,0,0,0,0,3,0,3
['2011-09-18'],Pakistan in Zimbabwe T20I Series,523736,Pakistan,11,0,0,0,0,0.0,"7,9,13,15",4.0,24,13,0,23,4,0,2,0,1,0,0,5.75,0,0,0,0,0,0,75,0,75
['2011-04-21'],NA,489212,Pakistan,11,3,4,0,0,75.0,"1,3",2.0,12,5,0,15,1,1,0,0,0,0,0,7.5,0,0,0,0,0,3,5,0,8
