date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-02-01'],Bangladesh Premier League,1459577,Dhaka Capital,9,13,11,1,1,118.18,"5,7",2.0,12,1,0,21,1,1,0,0,0,0,1,10.5,0,0,0,0,0,23,-1,0,22
['2025-01-29'],Bangladesh Premier League,1459574,Dhaka Capital,11,4,4,1,0,100.0,"2,6",2.0,12,3,0,23,3,1,0,0,0,0,0,11.5,0,0,0,0,0,8,-1,0,7
['2025-01-22'],Bangladesh Premier League,1459565,Dhaka Capital,11,0,0,0,0,0.0,"6,10,17,19",4.0,24,11,0,31,1,3,1,0,0,0,0,7.75,0,0,0,0,0,0,36,0,36
['2023-02-08'],Bangladesh Premier League,1351091,Chattogram Challengers,11,0,0,0,0,0.0,"2,14,16",3.0,18,7,0,32,3,2,0,0,0,0,1,10.67,0,0,0,0,0,0,5,0,5
['2023-02-04'],Bangladesh Premier League,1351086,Chattogram Challengers,10,0,0,0,0,0.0,"4,7,14",3.0,18,6,0,17,1,0,0,0,0,0,2,5.67,0,0,0,0,0,0,10,0,10
['2023-01-28'],Bangladesh Premier League,1351079,Chattogram Challengers,11,0,0,0,0,0.0,"3,8,12",3.0,18,6,0,33,5,1,0,0,0,0,1,11.0,0,0,0,0,0,0,4,0,4
['2023-01-27'],Bangladesh Premier League,1351077,Chattogram Challengers,11,0,0,0,0,0.0,"2,5,17,20",3.333,20,8,0,42,3,4,2,0,0,0,0,12.6,1,0,0,0,0,0,52,8,60
['2023-01-23'],Bangladesh Premier League,1351072,Chattogram Challengers,9,0,2,0,0,0.0,"11,13,18,20",4.0,24,5,0,39,3,2,3,0,0,0,0,9.75,0,0,0,0,0,-2,84,0,82
['2023-01-20'],Bangladesh Premier League,1351070,Chattogram Challengers,9,0,1,0,0,0.0,"2,12,19",3.0,18,4,0,26,2,1,0,0,0,0,0,8.67,0,0,0,0,0,-2,4,0,2
['2023-01-16'],Bangladesh Premier League,1351065,Chattogram Challengers,9,13,8,2,0,162.5,"4,7,14",3.0,18,6,0,27,1,2,0,0,0,0,1,9.0,1,0,0,0,0,21,6,8,35
['2023-01-14'],Bangladesh Premier League,1351063,Chattogram Challengers,9,0,0,0,0,0.0,"8,18,20",3.0,18,5,0,25,4,0,2,0,0,0,1,8.33,1,0,0,0,0,0,55,8,63
