date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-11-06'],Syed Mushtaq Ali Trophy,1383568,Punjab,12,0,0,0,0,0.0,"6,11,13,16",4.0,24,6,0,43,4,2,0,0,0,0,0,10.75,0,0,0,0,0,0,4,0,4
['2023-10-19'],Syed Mushtaq Ali Trophy,1383478,Punjab,8,0,0,0,0,0.0,"8,10,12,14",4.0,24,11,0,15,1,0,2,1,0,0,1,3.75,0,0,0,0,0,0,75,0,75
['2022-11-03'],Syed Mushtaq Ali Trophy,1333053,Punjab,12,0,0,0,0,0.0,"3,6,16,18",4.0,24,6,0,43,6,1,1,0,0,1,0,10.75,0,0,0,0,0,0,29,0,29
['2022-11-01'],Syed Mushtaq Ali Trophy,1333049,Punjab,12,0,0,0,0,0.0,"3,5,15,18",4.0,24,6,0,46,2,4,1,0,0,0,0,11.5,0,0,0,0,0,0,27,0,27
['2022-10-30'],Syed Mushtaq Ali Trophy,1333046,Punjab,12,0,0,0,0,0.0,"4,6,16,18",4.0,24,16,1,20,4,0,3,0,0,0,0,5.0,0,0,0,0,0,0,111,0,111
['2022-10-22'],Syed Mushtaq Ali Trophy,1333029,Punjab,11,0,0,0,0,0.0,"4,6,8,17",4.0,24,13,0,26,3,1,3,1,0,0,0,6.5,0,0,0,0,0,0,102,0,102
['2022-10-18'],Syed Mushtaq Ali Trophy,1332993,Punjab,10,0,0,0,0,0.0,"5,7",2.0,12,9,0,3,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,40,0,40
['2022-10-12'],Syed Mushtaq Ali Trophy,1332939,Punjab,8,0,0,0,0,0.0,"8,10,12,16",4.0,24,11,0,28,3,1,0,0,0,0,1,7.0,0,0,0,0,0,0,13,0,13
['2022-10-11'],Syed Mushtaq Ali Trophy,1332920,Punjab,11,0,0,0,0,0.0,"11,13,15,17",4.0,24,11,0,22,1,1,3,0,0,0,0,5.5,1,0,0,0,0,0,94,8,102
['2021-01-18'],Syed Mushtaq Ali Trophy,1244383,Punjab,8,0,0,0,0,0.0,"2,8,12,16",4.0,24,5,0,49,8,1,1,0,0,0,0,12.25,0,0,0,0,0,0,24,0,24
['2019-11-27'],Syed Mushtaq Ali Trophy,1205859,Punjab,9,0,0,0,0,0.0,"1,3,15,20",4.0,24,5,0,53,5,3,0,0,0,0,2,13.25,0,0,0,0,0,0,-1,0,-1
['2019-11-14'],Syed Mushtaq Ali Trophy,1205791,Punjab,10,0,0,0,0,0.0,"2,4,10,16",4.0,24,6,0,34,2,2,0,0,0,0,0,8.5,0,0,0,0,0,0,6,0,6
['2019-11-09'],Syed Mushtaq Ali Trophy,1205736,Punjab,5,0,0,0,0,0.0,"3,5",2.0,12,7,0,11,2,0,3,0,0,0,0,5.5,0,0,0,0,0,0,90,0,90
['2019-02-28'],Syed Mushtaq Ali Trophy,1157182,Punjab,9,0,0,0,0,0.0,"4,6,15",3.0,18,9,0,24,3,1,1,0,0,0,1,8.0,1,0,0,0,0,0,34,8,42
['2019-02-27'],Syed Mushtaq Ali Trophy,1157166,Punjab,5,0,0,0,0,0.0,"2,5,16,19",4.0,24,13,0,13,1,0,2,0,0,0,0,3.25,0,0,0,0,0,0,69,0,69
