date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2019-12-27'],Bangladesh Premier League,1208087,Dhaka Platoon,6,0,2,0,0,0.0,"15,17",2.0,12,4,0,11,1,0,0,0,0,0,0,5.5,1,0,0,0,0,-2,8,8,14
['2019-12-24'],Bangladesh Premier League,1208085,Dhaka Platoon,7,0,0,0,0,0.0,"5,7,9,13",4.0,24,12,0,26,1,2,2,0,0,0,0,6.5,0,0,0,0,0,0,64,0,64
['2019-12-23'],Bangladesh Premier League,1208083,Dhaka Platoon,7,26,16,1,2,162.5,"11,13",2.0,12,0,0,23,2,1,0,0,0,0,0,11.5,0,0,0,0,4,50,-4,0,46
['2019-12-18'],Bangladesh Premier League,1208078,Dhaka Platoon,7,9,6,1,0,150.0,"8,10,14,16",4.0,24,6,0,30,2,1,0,0,0,0,0,7.5,0,0,0,1,0,13,6,6,25
['2019-12-13'],Bangladesh Premier League,1208072,Dhaka Platoon,6,4,2,1,0,200.0,"11,13,15",3.0,18,2,0,24,3,0,0,0,0,0,0,8.0,0,0,0,0,0,8,2,0,10
['2019-12-12'],Bangladesh Premier League,1208069,Dhaka Platoon,7,0,1,0,0,0.0,"11,13,15",3.0,18,8,0,25,2,2,0,0,0,0,0,8.33,0,0,0,0,0,-2,8,0,6
['2019-02-08'],Bangladesh Premier League,1169424,Comilla Victorians,10,0,0,0,0,0.0,"8,10,13,15",4.0,24,7,0,37,3,2,0,0,0,0,1,9.25,0,0,0,0,0,0,7,0,7
['2019-02-04'],Bangladesh Premier League,1169422,Comilla Victorians,7,0,0,0,0,0.0,"12,14,16",3.0,18,7,0,19,1,1,0,0,0,0,0,6.33,0,0,0,0,0,0,9,0,9
['2019-02-01'],Bangladesh Premier League,1169417,Comilla Victorians,6,18,17,1,0,105.88,"12,14,16,18",4.0,24,12,1,27,0,3,1,0,0,0,1,6.75,0,0,0,0,0,22,51,0,73
['2019-01-29'],Bangladesh Premier League,1169413,Comilla Victorians,6,0,0,0,0,0.0,"8,10,12,14",4.0,24,15,0,10,0,0,2,0,1,0,0,2.5,0,0,0,0,0,0,79,0,79
['2019-01-28'],Bangladesh Premier League,1169411,Comilla Victorians,6,1,2,0,0,50.0,"9,11,13,15",4.0,24,6,0,27,1,1,3,0,1,0,0,6.75,1,0,1,0,0,1,95,20,116
['2019-01-22'],Bangladesh Premier League,1169404,Comilla Victorians,5,16,8,2,1,200.0,"7,9,11,16",4.0,24,11,0,18,1,0,2,0,0,0,0,4.5,0,0,0,0,0,30,67,0,97
