date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2017-12-06'],Bangladesh Premier League,1121286,Sylhet Sixers,8,14,11,1,1,127.27,"6,8,10,13",4.0,24,8,0,25,1,1,0,0,0,0,0,6.25,0,0,0,0,0,24,10,0,34
['2017-11-11'],Bangladesh Premier League,1121254,Sylhet Sixers,10,0,4,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2017-11-08'],Bangladesh Premier League,1121252,Sylhet Sixers,11,0,0,0,0,0.0,"11,13,16,18",4.0,24,3,0,27,2,0,0,0,0,0,0,6.75,0,0,0,0,0,0,5,0,5
['2016-12-04'],Bangladesh Premier League,1063087,Comilla Victorians,11,0,0,0,0,0.0,"1,3,14,18",4.0,24,6,0,51,5,3,0,0,0,0,0,12.75,0,0,0,0,0,0,0,0,0
['2016-11-26'],Bangladesh Premier League,1063075,Comilla Victorians,10,2,2,0,0,100.0,"3,14,19",3.0,18,2,0,40,2,3,0,0,0,0,1,13.33,0,0,0,0,0,2,-4,0,-2
['2016-11-21'],Bangladesh Premier League,1063070,Comilla Victorians,8,0,0,0,0,0.0,"4,11,13,18",4.0,24,3,0,32,3,0,0,0,0,1,0,8.0,0,0,0,0,0,0,3,0,3
['2016-11-19'],Bangladesh Premier League,1063068,Comilla Victorians,8,0,0,0,0,0.0,"9,11,13,15",4.0,24,7,0,24,2,0,0,0,0,0,0,6.0,0,0,0,0,0,0,9,0,9
['2016-11-11'],Bangladesh Premier League,1063057,Comilla Victorians,10,1,1,0,0,100.0,"13,15,19",2.5,15,3,0,30,4,0,1,0,0,1,2,12.0,0,0,0,0,0,1,24,0,25
['2016-11-08'],Bangladesh Premier League,1063054,Comilla Victorians,10,2,6,0,0,33.33,"11,13,16,19",4.0,24,3,0,33,3,0,0,0,0,0,0,8.25,1,0,0,0,0,2,3,8,13
['2013-02-09'],Bangladesh Premier League,599897,Rangpur Riders,9,0,0,0,0,0.0,"1,3,17",3.0,18,6,0,22,2,0,0,0,0,0,1,7.33,1,0,0,0,0,0,6,8,14
['2013-02-07'],Bangladesh Premier League,599894,Rangpur Riders,9,0,0,0,0,0.0,"2,11,17",3.0,18,4,0,28,4,0,1,0,0,1,0,9.33,0,0,0,0,0,0,29,0,29
['2013-02-05'],Bangladesh Premier League,599892,Rangpur Riders,9,21,24,1,0,87.5,"2,10,20",3.0,18,3,0,35,2,2,0,0,0,0,0,11.67,1,0,0,0,0,25,-1,8,32
['2013-01-31'],Bangladesh Premier League,599883,Rangpur Riders,9,6,6,1,0,100.0,4,1.0,6,0,0,21,5,0,0,0,0,0,0,21.0,0,0,0,0,0,10,0,0,10
['2013-01-29'],Bangladesh Premier League,599882,Rangpur Riders,9,2,2,0,0,100.0,"5,7",2.0,12,3,0,13,2,0,1,0,0,0,0,6.5,1,0,0,0,0,2,30,8,40
['2013-01-25'],Bangladesh Premier League,599878,Rangpur Riders,9,3,2,0,0,150.0,"6,8,10,20",4.0,24,14,0,22,2,1,3,0,0,0,0,5.5,0,0,0,0,0,3,97,0,100
