date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-10-20'],Syed Mushtaq Ali Trophy,1333017,Uttarakhand,8,0,0,0,0,0.0,"11,13,16",3.0,18,11,0,8,0,0,4,0,1,0,1,2.67,1,0,0,0,0,0,133,8,141
['2021-01-16'],Syed Mushtaq Ali Trophy,1244369,Uttarakhand,7,11,8,1,0,137.5,12,1.0,6,0,0,11,1,0,0,0,0,0,0,11.0,0,0,0,0,0,15,0,0,15
['2021-01-14'],Syed Mushtaq Ali Trophy,1244352,Uttarakhand,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2021-01-12'],Syed Mushtaq Ali Trophy,1244332,Uttarakhand,8,6,15,0,0,40.0,"7,9,11",3.0,18,5,0,20,0,1,0,0,0,0,0,6.67,0,0,0,0,-6,0,7,0,7
['2021-01-10'],Syed Mushtaq Ali Trophy,1244314,Uttarakhand,11,0,0,0,0,0.0,"11,16",2.0,12,4,0,23,1,2,0,0,0,0,1,11.5,0,0,0,0,0,0,0,0,0
['2019-11-17'],Syed Mushtaq Ali Trophy,1205822,Uttarakhand,11,0,0,0,0,0.0,"11,13,15",3.0,18,7,0,23,0,2,1,0,0,0,1,7.67,1,0,0,0,0,0,32,8,40
['2019-11-14'],Syed Mushtaq Ali Trophy,1205787,Uttarakhand,7,2,4,0,0,50.0,"12,14,16,18",4.0,24,11,0,18,1,0,1,0,0,0,0,4.5,0,0,0,0,0,2,42,0,44
['2019-11-12'],Syed Mushtaq Ali Trophy,1205778,Uttarakhand,9,0,0,0,0,0.0,"13,15,17",3.0,18,5,0,27,3,1,0,0,0,0,0,9.0,1,0,0,0,0,0,5,8,13
['2019-11-11'],Syed Mushtaq Ali Trophy,1205750,Uttarakhand,7,15,8,3,0,187.5,"9,11",2.0,12,3,0,18,1,1,1,0,0,0,0,9.0,1,0,0,0,0,27,28,8,63
['2019-11-09'],Syed Mushtaq Ali Trophy,1205742,Uttarakhand,7,2,3,0,0,66.67,"14,16,18",3.0,18,8,0,14,1,0,1,0,0,0,0,4.67,0,0,1,0,0,2,39,12,53
['2019-02-28'],Syed Mushtaq Ali Trophy,1157192,Uttarakhand,9,8,10,1,0,80.0,"8,10,13",3.0,18,4,0,28,4,0,0,0,0,0,1,9.33,0,0,0,0,0,12,4,0,16
['2019-02-27'],Syed Mushtaq Ali Trophy,1157174,Uttarakhand,8,0,1,0,0,0.0,8,1.0,6,2,0,9,0,1,0,0,0,0,0,9.0,0,0,0,0,0,0,2,0,2
['2019-02-25'],Syed Mushtaq Ali Trophy,1157158,Uttarakhand,7,0,0,0,0,0.0,"7,9,11,13",4.0,24,7,0,27,1,1,0,0,0,0,1,6.75,0,0,0,0,0,0,9,0,9
['2019-02-24'],Syed Mushtaq Ali Trophy,1157140,Uttarakhand,8,0,0,0,0,0.0,"11,13,15,17",4.0,24,12,0,21,2,0,2,1,0,0,0,5.25,0,0,0,0,0,0,74,0,74
['2019-02-22'],Syed Mushtaq Ali Trophy,1157121,Uttarakhand,9,0,0,0,0,0.0,"8,10,12",3.0,18,4,0,31,2,1,0,0,0,0,1,10.33,0,0,0,0,0,0,2,0,2
['2019-02-21'],Syed Mushtaq Ali Trophy,1157107,Uttarakhand,8,10,6,0,1,166.67,"6,9,14",3.0,18,4,0,31,3,1,1,0,0,0,0,10.33,0,0,0,0,0,16,27,0,43
