date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-04-17'],ACC Men's Premier Cup,1426472,Saudi Arabia,8,5,5,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2024-04-14'],ACC Men's Premier Cup,1426464,Saudi Arabia,2,9,11,2,0,81.82,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2023-10-01'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399143,Saudi Arabia,4,14,17,1,0,82.35,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2023-09-18'],Gulf Cricket T20I Championship,1392809,Saudi Arabia,4,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2023-09-15'],Gulf Cricket T20I Championship,1392802,Saudi Arabia,3,23,22,1,1,104.55,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33
['2022-11-21'],Desert Cup T20I Series,1344794,Saudi Arabia,4,69,54,4,4,127.78,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,117,0,0,117
['2022-11-20'],Desert Cup T20I Series,1344793,Saudi Arabia,4,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-11-19'],Desert Cup T20I Series,1344790,Saudi Arabia,4,29,21,3,1,138.1,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,53,0,8,61
['2022-11-17'],Desert Cup T20I Series,1344788,Saudi Arabia,2,8,14,2,0,57.14,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,12,0,0,12
['2022-11-16'],Desert Cup T20I Series,1344786,Saudi Arabia,2,6,4,1,0,150.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,10,0,8,18
['2022-11-15'],Desert Cup T20I Series,1344784,Saudi Arabia,4,0,4,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2022-11-14'],Desert Cup T20I Series,1344782,Saudi Arabia,5,5,4,1,0,125.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
