date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-01-26'],Bangladesh Premier League,1412283,Sylhet Strikers,6,1,8,0,0,12.5,1,1.0,6,3,0,10,2,0,1,1,0,0,1,10.0,0,0,0,0,0,1,36,0,37
['2024-01-19'],Bangladesh Premier League,1412275,Sylhet Strikers,6,0,0,0,0,0.0,13,1.0,6,1,0,15,1,1,0,0,0,0,2,15.0,0,0,0,0,0,0,1,0,1
['2023-01-27'],Big Bash League,1324680,Sydney Thunder,7,0,0,0,0,0.0,"7,17",2.0,12,3,0,17,2,0,1,0,0,0,0,8.5,0,0,0,0,0,0,28,0,28
['2023-01-25'],Big Bash League,1324679,Sydney Thunder,7,9,9,0,1,100.0,"9,15",2.0,12,3,0,9,0,0,0,0,0,0,0,4.5,0,0,0,0,0,15,9,0,24
['2023-01-21'],Big Bash League,1324673,Sydney Thunder,7,6,9,0,0,66.67,9,1.0,6,1,0,8,0,0,0,0,0,0,0,8.0,0,0,0,0,0,6,1,0,7
['2023-01-19'],Big Bash League,1324670,Sydney Thunder,7,0,0,0,0,0.0,15,1.0,6,2,0,5,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,2,0,2
['2023-01-15'],Big Bash League,1324665,Sydney Thunder,7,20,16,3,0,125.0,7,1.0,6,1,0,13,1,1,0,0,0,0,0,13.0,0,0,0,0,0,32,1,0,33
['2023-01-13'],Big Bash League,1324662,Sydney Thunder,7,9,8,2,0,112.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2023-01-08'],Big Bash League,1324657,Sydney Thunder,7,26,15,5,0,173.33,15,1.0,6,0,0,14,1,0,0,0,0,1,0,14.0,1,0,0,0,6,56,0,8,64
['2023-01-04'],Big Bash League,1324652,Sydney Thunder,6,5,6,0,0,83.33,15,1.0,6,2,0,8,1,0,0,0,0,0,1,8.0,2,0,0,0,0,5,2,16,23
['2022-12-31'],Big Bash League,1324645,Sydney Thunder,7,1,3,0,0,33.33,"11,14",2.0,12,5,0,16,1,1,2,0,0,0,0,8.0,0,0,0,0,0,1,55,0,56
['2022-01-23'],Big Bash League,1269696,Sydney Thunder,6,16,10,3,0,160.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,32,0,8,40
['2022-01-19'],Big Bash League,1269694,Sydney Thunder,7,20,22,0,1,90.91,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,26,0,0,26
['2022-01-13'],Big Bash League,1269684,Sydney Thunder,6,0,1,0,0,0.0,10,1.0,6,0,0,20,0,2,0,0,0,0,2,20.0,0,0,0,0,0,-2,0,0,-2
['2022-01-10'],Big Bash League,1269681,Sydney Thunder,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2022-01-08'],Big Bash League,1269677,Sydney Thunder,6,6,5,1,0,120.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2022-01-06'],Big Bash League,1269673,Sydney Thunder,7,0,0,0,0,0.0,11,1.0,6,1,0,7,0,0,0,0,0,0,0,7.0,2,0,0,0,0,0,1,16,17
['2022-01-02'],Big Bash League,1269669,Sydney Thunder,2,34,25,3,2,136.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,64,0,16,80
['2021-12-31'],Big Bash League,1269665,Sydney Thunder,2,37,32,3,2,115.62,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,65,0,0,65
['2021-12-28'],Big Bash League,1269661,Sydney Thunder,7,10,6,2,0,166.67,11,1.0,6,0,0,10,1,0,0,0,0,0,0,10.0,0,0,0,0,0,18,0,0,18
['2021-12-26'],Big Bash League,1269657,Sydney Thunder,7,10,9,1,0,111.11,12,1.0,6,1,0,15,0,2,0,0,0,0,0,15.0,1,0,0,0,0,14,1,8,23
['2021-12-19'],Big Bash League,1269651,Sydney Thunder,6,8,11,1,0,72.73,13,1.0,6,0,0,9,1,0,0,0,0,0,0,9.0,1,0,0,0,0,12,0,8,20
