date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-11-09'],Syed Mushtaq Ali Trophy,1280278,Services,4,4,6,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2021-11-06'],Syed Mushtaq Ali Trophy,1280239,Services,4,12,18,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,10,0,0,10
['2021-11-04'],Syed Mushtaq Ali Trophy,1280203,Services,4,23,25,3,0,92.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,35,0,0,35
['2021-01-19'],Syed Mushtaq Ali Trophy,1244391,Services,5,23,20,2,0,115.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,31,0,8,39
['2021-01-17'],Syed Mushtaq Ali Trophy,1244374,Services,4,6,6,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,6,0,0,6
['2021-01-13'],Syed Mushtaq Ali Trophy,1244335,Services,4,27,18,2,1,150.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,45,0,8,53
['2021-01-11'],Syed Mushtaq Ali Trophy,1244315,Services,4,6,6,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,10,0,8,18
['2019-11-17'],Syed Mushtaq Ali Trophy,1205832,Services,4,27,23,2,0,117.39,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,39,0,20,59
['2019-11-15'],Syed Mushtaq Ali Trophy,1205805,Services,4,21,23,1,0,91.3,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2019-11-14'],Syed Mushtaq Ali Trophy,1205786,Services,3,7,4,1,0,175.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,11,0,8,19
['2019-11-12'],Syed Mushtaq Ali Trophy,1205769,Services,4,46,30,4,1,153.33,12,1.0,6,1,0,14,1,1,0,0,0,0,0,14.0,1,0,0,0,4,76,1,8,85
['2019-11-11'],Syed Mushtaq Ali Trophy,1205751,Services,5,15,8,2,0,187.5,"10,12,14",3.0,18,7,0,11,0,0,1,0,0,0,0,3.67,0,0,0,0,0,23,38,0,61
['2019-11-09'],Syed Mushtaq Ali Trophy,1205742,Services,4,31,27,1,1,114.81,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,45,0,0,45
['2019-03-02'],Syed Mushtaq Ali Trophy,1157209,Services,3,5,6,0,0,83.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2019-02-28'],Syed Mushtaq Ali Trophy,1157190,Services,4,27,27,2,0,100.0,"14,16",2.0,12,4,0,9,0,0,2,0,0,0,0,4.5,0,0,1,0,0,39,60,12,111
['2019-02-27'],Syed Mushtaq Ali Trophy,1157175,Services,4,30,24,3,0,125.0,"11,13,15",3.0,18,1,0,28,3,0,0,0,0,0,0,9.33,1,0,0,0,0,46,1,8,55
['2019-02-25'],Syed Mushtaq Ali Trophy,1157155,Services,4,8,12,0,0,66.67,"13,15",2.0,12,5,0,8,0,0,0,0,0,0,0,4.0,0,0,1,0,-2,6,11,12,29
['2019-02-24'],Syed Mushtaq Ali Trophy,1157139,Services,5,20,19,1,0,105.26,14,1.0,6,1,0,8,1,0,0,0,0,0,0,8.0,1,0,0,0,0,24,1,8,33
['2019-02-22'],Syed Mushtaq Ali Trophy,1157124,Services,10,0,0,0,0,0.0,"13,15,19",3.0,18,6,0,28,0,2,1,0,0,0,3,9.33,1,0,0,0,0,0,31,8,39
['2019-02-21'],Syed Mushtaq Ali Trophy,1157107,Services,4,54,35,6,0,154.29,9,1.0,6,0,0,9,1,0,0,0,0,0,0,9.0,1,0,0,0,4,90,0,8,98
['2018-01-15'],Syed Mushtaq Ali Trophy,1130718,Haryana,4,29,29,2,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,41,0,8,49
['2018-01-12'],Syed Mushtaq Ali Trophy,1130699,Haryana,5,8,11,0,0,72.73,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,8,0,8,16
['2018-01-08'],Syed Mushtaq Ali Trophy,1130664,Haryana,6,7,7,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,7,0,0,7
['2016-01-08'],Syed Mushtaq Ali Trophy,902179,Services,4,3,5,0,0,60.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2016-01-07'],Syed Mushtaq Ali Trophy,902201,Services,4,13,8,2,0,162.5,"12,14,16",3.0,18,7,0,27,1,2,0,0,0,0,1,9.0,0,0,0,0,0,21,7,0,28
['2016-01-04'],Syed Mushtaq Ali Trophy,902155,Services,4,26,23,1,0,113.04,"11,13,15",3.0,18,5,0,15,0,0,1,0,0,0,0,5.0,1,0,0,0,0,34,34,8,76
['2016-01-03'],Syed Mushtaq Ali Trophy,902133,Services,5,25,16,4,0,156.25,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,4,49,0,12,61
['2016-01-02'],Syed Mushtaq Ali Trophy,902107,Services,4,18,10,2,0,180.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,32,0,8,40
