date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-06-16'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436493,Isle of Man,7,14,11,2,0,127.27,"2,4,18,20",4.0,24,7,0,46,6,2,1,0,0,0,0,11.5,1,0,0,0,0,22,28,8,58
['2024-06-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436487,Isle of Man,8,23,14,1,1,164.29,"2,4,15",2.5,15,9,0,13,2,0,3,0,1,0,1,5.2,0,0,0,0,4,37,100,0,137
['2024-06-12'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436479,Isle of Man,7,12,17,2,0,70.59,"2,4,6",3.0,18,13,0,10,1,0,2,0,0,0,2,3.33,0,0,0,0,0,20,69,0,89
['2024-06-10'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436476,Isle of Man,8,7,6,0,0,116.67,"2,18",2.0,12,5,0,22,3,1,0,0,0,0,0,11.0,0,0,0,0,0,7,3,0,10
['2024-06-09'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436473,Isle of Man,7,24,25,2,1,96.0,"2,4,6,19",4.0,24,12,0,18,1,0,1,0,0,0,2,4.5,0,0,0,0,0,38,43,0,81
['2022-07-19'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321280,Isle of Man,9,5,5,1,0,100.0,2,1.0,6,2,0,12,1,1,0,0,0,0,0,12.0,0,0,0,0,0,9,2,0,11
['2022-07-18'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321276,Isle of Man,9,3,3,0,0,100.0,"2,4,6,16",4.0,24,17,0,10,0,0,3,0,2,0,2,2.5,1,0,0,0,0,3,118,8,129
['2022-07-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321268,Isle of Man,7,0,0,0,0,0.0,"2,4,16,18",4.0,24,10,0,25,1,1,1,0,0,0,2,6.25,1,0,0,0,0,0,37,8,45
['2022-07-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321263,Isle of Man,9,8,10,0,0,80.0,"2,4,6,16",4.0,24,14,0,19,2,0,2,0,1,0,1,4.75,0,0,0,0,0,8,78,0,86
['2022-07-12'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321258,Isle of Man,8,0,0,0,0,0.0,"1,3,5,15",4.0,24,15,0,27,2,2,2,0,1,0,2,6.75,0,0,0,0,0,0,75,0,75
['2021-10-08'],Cyprus T20 Tri-Series,1279386,Isle of Man,5,0,0,0,0,0.0,"2,4,18",2.167,13,9,0,8,0,0,1,0,0,0,2,3.69,0,0,0,0,0,0,40,0,40
['2021-10-07'],Cyprus T20 Tri-Series,1279383,Isle of Man,9,6,7,0,0,85.71,"2,4,18,20",4.0,24,11,0,22,2,0,1,0,0,0,2,5.5,0,0,0,0,0,6,40,0,46
['2021-10-06'],Cyprus T20 Tri-Series,1279381,Isle of Man,9,0,0,0,0,0.0,"2,18,20",2.333,14,10,0,12,1,0,0,0,0,1,3,5.14,0,0,0,0,0,0,14,0,14
['2020-08-21'],Isle of Man tour of Guernsey,1229824,Isle of Man,7,8,6,1,0,133.33,"2,4",2.0,12,5,0,17,3,0,1,0,1,0,0,8.5,0,0,0,0,0,12,38,0,50
['2018-08-30'],ICC World Twenty20 Europe Region Qualifier B,1156657,Isle of Man,9,0,1,0,0,0.0,"6,8,10,12",4.0,24,9,0,27,2,0,0,0,0,0,0,6.75,0,0,0,0,0,-2,11,0,9
['2018-08-29'],ICC World Twenty20 Europe Region Qualifier B,1156651,Isle of Man,8,0,0,0,0,0.0,"4,6,8,10",4.0,24,10,0,18,1,0,2,0,1,0,1,4.5,0,0,0,0,0,0,74,0,74
['2018-08-29'],ICC World Twenty20 Europe Region Qualifier B,1156653,Isle of Man,8,0,0,0,0,0.0,6,1.0,6,3,0,10,1,0,1,0,1,0,1,10.0,0,0,0,0,0,0,36,0,36
