date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-11-28'],ICC Men's T20 World Cup Asia Qualifier B,1457235,Bhutan,4,1,2,0,0,50.0,"7,11,13",3.0,18,1,0,19,1,0,0,0,0,0,0,6.33,0,0,0,0,0,1,3,0,4
['2024-11-25'],ICC Men's T20 World Cup Asia Qualifier B,1457231,Bhutan,5,51,39,2,3,130.77,"13,18",2.0,12,2,0,12,0,0,0,0,0,0,0,6.0,1,0,0,0,2,87,4,8,99
['2024-11-23'],ICC Men's T20 World Cup Asia Qualifier B,1457226,Bhutan,5,23,29,0,1,79.31,"13,16",2.0,12,2,0,21,0,2,0,0,0,0,0,10.5,0,0,0,0,0,29,0,0,29
['2024-11-22'],ICC Men's T20 World Cup Asia Qualifier B,1457225,Bhutan,4,0,6,0,0,0.0,"11,16,18",3.0,18,7,0,25,2,1,2,0,0,0,3,8.33,0,0,0,1,0,-2,57,6,61
['2024-11-20'],ICC Men's T20 World Cup Asia Qualifier B,1457221,Bhutan,4,21,27,1,0,77.78,6,1.0,6,2,0,23,3,1,0,0,0,0,5,23.0,0,0,0,0,0,25,2,0,27
['2024-11-19'],ICC Men's T20 World Cup Asia Qualifier B,1457218,Bhutan,4,18,17,2,0,105.88,"7,9,18,20",4.0,24,6,0,41,2,3,1,0,0,0,0,10.25,1,0,0,0,0,26,29,8,63
['2024-10-24'],Bhutan Quadrangular T20I Series,1453919,Bhutan,3,11,7,1,1,157.14,"3,5,18,20",4.0,24,16,0,15,2,0,1,0,1,0,0,3.75,0,0,0,1,0,21,55,6,82
['2024-10-23'],Bhutan Quadrangular T20I Series,1453918,Bhutan,3,40,33,4,1,121.21,11,1.0,6,1,0,6,0,0,0,0,0,0,1,6.0,0,0,0,0,0,66,1,0,67
['2024-10-22'],Bhutan Quadrangular T20I Series,1453916,Bhutan,3,57,40,3,4,142.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,103,0,0,103
['2024-10-20'],Bhutan Quadrangular T20I Series,1453913,Bhutan,3,3,4,0,0,75.0,"7,9,11,19",4.0,24,13,0,16,0,1,2,0,0,0,0,4.0,0,0,0,0,0,3,69,0,72
['2024-10-19'],Bhutan Quadrangular T20I Series,1453911,Bhutan,3,32,27,5,0,118.52,"5,18,20",3.0,18,8,0,28,2,2,2,0,0,0,1,9.33,0,0,0,0,0,56,58,0,114
['2024-02-16'],Quadrangular Twenty20 Series (Thailand),1420808,Bhutan,6,6,7,0,0,85.71,"5,8,10",3.0,18,3,0,34,1,3,0,0,0,0,1,11.33,0,0,0,0,0,6,-1,0,5
['2024-02-15'],Quadrangular Twenty20 Series (Thailand),1420806,Bhutan,6,0,3,0,0,0.0,19,1.0,6,1,0,8,1,0,0,0,0,0,0,8.0,0,0,0,0,0,-2,1,0,-1
['2024-02-13'],Quadrangular Twenty20 Series (Thailand),1420804,Bhutan,6,22,26,1,0,84.62,8,1.0,6,1,0,11,2,0,0,0,0,0,0,11.0,0,0,0,0,0,26,1,0,27
['2024-02-12'],Quadrangular Twenty20 Series (Thailand),1420801,Bhutan,4,2,9,0,0,22.22,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2024-02-07'],Asian Cricket Council Men's Challenger Cup,1418193,Bhutan,4,8,10,1,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,12,0,8,20
['2024-02-03'],Asian Cricket Council Men's Challenger Cup,1418184,Bhutan,4,22,22,0,2,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,34,0,0,34
['2024-02-01'],Asian Cricket Council Men's Challenger Cup,1418181,Bhutan,3,8,11,0,0,72.73,"5,7,15,17",4.0,24,9,0,28,2,0,1,0,0,0,2,7.0,0,0,0,0,0,8,36,0,44
['2022-07-11'],Quadrangular Twenty20 Series (Malaysia),1322010,Bhutan,1,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2022-07-09'],Quadrangular Twenty20 Series (Malaysia),1322009,Bhutan,5,5,7,0,0,71.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,5,0,8,13
['2022-07-06'],Quadrangular Twenty20 Series (Malaysia),1322003,Bhutan,4,2,8,0,0,25.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,2,0,6,8
['2022-07-04'],Quadrangular Twenty20 Series (Malaysia),1322002,Bhutan,4,3,11,0,0,27.27,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-6,-3,0,8,5
['2022-07-02'],Quadrangular Twenty20 Series (Malaysia),1321998,Bhutan,6,0,13,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-8,0,0,-8
['2019-12-05'],South Asian Games Men's Cricket Competition,1208606,Bhutan,5,27,23,0,4,117.39,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,55,0,0,55
['2018-10-10'],ICC World Twenty20 Asia Region Qualifier B,1160961,Bhutan,3,14,11,1,1,127.27,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,24,0,8,32
['2018-10-09'],ICC World Twenty20 Asia Region Qualifier B,1160958,Bhutan,8,5,7,1,0,71.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,9,0,8,17
['2018-10-04'],ICC World Twenty20 Asia Region Qualifier B,1160948,Bhutan,7,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
