date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-10-23'],Bhutan Quadrangular T20I Series,1453918,Maldives,1,51,52,2,1,98.08,"8,10,12,14",4.0,24,14,1,17,2,0,1,0,1,0,0,4.25,0,0,1,0,0,73,65,12,150
['2024-10-22'],Bhutan Quadrangular T20I Series,1453915,Maldives,1,57,57,3,3,100.0,12,1.0,6,0,0,9,1,0,0,0,0,0,0,9.0,1,0,0,0,0,95,0,8,103
['2024-10-20'],Bhutan Quadrangular T20I Series,1453913,Maldives,1,58,55,4,2,105.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,94,0,8,102
['2024-10-19'],Bhutan Quadrangular T20I Series,1453912,Maldives,1,18,19,2,0,94.74,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,26,0,8,34
['2024-09-06'],ICC Men's T20 World Cup Asia Qualifier A,1447492,Maldives,1,55,48,4,0,114.58,"13,15,17,19",4.0,24,22,3,5,1,0,4,0,1,0,0,1.25,0,0,0,0,0,79,180,0,259
['2024-09-05'],ICC Men's T20 World Cup Asia Qualifier A,1447491,Maldives,1,8,12,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,6,0,0,6
['2024-09-02'],ICC Men's T20 World Cup Asia Qualifier A,1447484,Maldives,1,6,12,0,0,50.0,"11,13,15,18",4.0,24,3,0,46,4,2,1,0,0,0,0,11.5,0,0,0,0,-4,2,24,0,26
['2024-08-31'],ICC Men's T20 World Cup Asia Qualifier A,1447480,Maldives,1,5,7,1,0,71.43,15,1.0,6,3,0,6,0,0,0,0,0,1,0,6.0,0,0,0,0,0,9,3,0,12
['2024-08-30'],ICC Men's T20 World Cup Asia Qualifier A,1447477,Maldives,1,25,37,2,1,67.57,"14,16",2.0,12,4,0,12,1,0,1,0,0,0,0,6.0,0,0,0,0,-2,41,31,0,72
['2024-02-16'],Quadrangular Twenty20 Series (Thailand),1420808,Maldives,1,49,55,2,0,89.09,11,1.0,6,1,0,16,2,1,0,0,0,0,0,16.0,0,0,0,0,0,61,1,0,62
['2024-02-15'],Quadrangular Twenty20 Series (Thailand),1420805,Maldives,1,19,23,2,1,82.61,"7,9",2.0,12,7,0,12,2,0,1,0,0,0,0,6.0,0,0,0,0,0,33,34,0,67
['2024-02-13'],Quadrangular Twenty20 Series (Thailand),1420804,Maldives,1,39,43,4,0,90.7,"15,17",2.0,12,4,0,15,2,0,0,0,0,0,0,7.5,0,0,0,0,0,59,4,0,63
['2024-02-12'],Quadrangular Twenty20 Series (Thailand),1420802,Maldives,1,44,49,5,0,89.8,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,68,0,12,80
['2024-02-07'],Asian Cricket Council Men's Challenger Cup,1418193,Maldives,1,43,45,4,0,95.56,"11,13,15,17",4.0,24,9,0,27,1,1,2,1,1,1,2,6.75,0,0,0,0,0,63,77,0,140
['2024-02-06'],Asian Cricket Council Men's Challenger Cup,1418191,Maldives,1,66,56,7,1,117.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,108,0,0,108
['2024-02-04'],Asian Cricket Council Men's Challenger Cup,1418187,Maldives,3,12,16,1,0,75.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2024-02-02'],Asian Cricket Council Men's Challenger Cup,1418182,Maldives,3,4,5,0,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2023-10-05'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399148,Maldives,3,16,21,0,0,76.19,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2023-10-04'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399146,Maldives,1,13,29,0,0,44.83,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,7,0,0,7
['2023-10-02'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399145,Maldives,1,13,17,3,0,76.47,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2023-10-01'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399142,Maldives,1,5,9,1,0,55.56,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2023-09-29'],ICC Men's T20 World Cup Sub Regional Asia Qualifier A,1399140,Maldives,1,29,46,1,1,63.04,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,41,0,0,41
['2022-07-08'],Quadrangular Twenty20 Series (Malaysia),1322007,Maldives,1,24,40,1,1,60.0,"13,15,17",2.833,17,9,0,12,1,0,4,0,2,0,0,4.24,0,0,0,0,-2,32,139,0,171
['2022-07-07'],Quadrangular Twenty20 Series (Malaysia),1322005,Maldives,2,3,7,0,0,42.86,"9,11,14,16",4.0,24,10,0,15,0,0,0,0,0,0,1,3.75,0,0,0,0,0,3,16,0,19
['2022-07-06'],Quadrangular Twenty20 Series (Malaysia),1322004,Maldives,2,5,6,1,0,83.33,"3,5",1.333,8,6,0,11,1,1,2,0,0,0,1,8.25,0,0,0,0,0,9,56,0,65
['2022-07-04'],Quadrangular Twenty20 Series (Malaysia),1322002,Maldives,3,17,34,0,0,50.0,"13,15,17,19",4.0,24,13,0,17,1,0,3,1,0,0,0,4.25,0,0,0,0,-4,13,106,0,119
['2021-10-28'],ICC Men's T20 World Cup Asia A Qualifier,1284495,Maldives,1,2,4,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2021-10-27'],ICC Men's T20 World Cup Asia A Qualifier,1284493,Maldives,1,5,16,0,0,31.25,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-1,0,0,-1
['2021-10-24'],ICC Men's T20 World Cup Asia A Qualifier,1284491,Maldives,1,7,12,1,0,58.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,7,0,0,7
['2021-10-23'],ICC Men's T20 World Cup Asia A Qualifier,1284489,Maldives,1,4,9,0,0,44.44,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,4,0,8,12
['2019-12-09'],South Asian Games Men's Cricket Competition,1208613,Maldives,3,2,4,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2019-12-07'],South Asian Games Men's Cricket Competition,1208612,Maldives,4,22,17,2,0,129.41,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,30,0,0,30
['2018-04-26'],ICC World Twenty20 Asia Region Qualifier A,1142222,Maldives,6,4,7,0,0,57.14,"4,6",2.0,12,7,0,13,1,1,1,0,0,0,0,6.5,0,0,0,0,0,4,34,0,38
['2018-04-24'],ICC World Twenty20 Asia Region Qualifier A,1142217,Maldives,4,6,10,0,0,60.0,"4,6,8,10",4.0,24,11,0,15,0,0,2,0,0,0,1,3.75,0,0,0,0,-2,4,67,0,71
['2018-04-23'],ICC World Twenty20 Asia Region Qualifier A,1142214,Maldives,8,22,14,1,1,157.14,"4,6",2.0,12,3,0,22,2,0,0,0,0,0,5,11.0,0,0,0,0,4,36,1,0,37
['2018-04-21'],ICC World Twenty20 Asia Region Qualifier A,1142212,Maldives,6,0,0,0,0,0.0,5,1.0,6,1,0,8,1,0,0,0,0,0,0,8.0,0,0,0,0,0,0,1,0,1
['2018-04-20'],ICC World Twenty20 Asia Region Qualifier A,1142208,Maldives,5,8,15,0,0,53.33,"4,8,14,18",4.0,24,8,0,37,0,4,1,0,1,0,0,9.25,0,0,0,0,-4,4,41,0,45
