date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2019-08-25'],ICC Men's T20 World Cup Americas Region Final,1197406,United States of America,4,18,18,1,1,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,28,0,0,28
['2019-08-24'],ICC Men's T20 World Cup Americas Region Final,1197404,United States of America,4,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-08-22'],ICC Men's T20 World Cup Americas Region Final,1197403,United States of America,4,5,11,0,0,45.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-1,0,0,-1
['2018-09-26'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157700,United States of America,4,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2018-09-25'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157699,United States of America,4,2,3,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2018-09-23'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157697,United States of America,3,42,19,4,2,221.05,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,80,0,8,88
['2018-09-21'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157693,United States of America,9,0,0,0,0,0.0,"8,10",2.0,12,8,0,9,0,1,1,0,0,0,0,4.5,0,0,0,0,0,0,39,0,39
['2018-09-20'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157690,United States of America,10,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2018-09-07'],Caribbean Premier League,1148674,Barbados Tridents,1,22,19,1,2,115.79,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,38,0,8,46
['2018-09-04'],Caribbean Premier League,1148672,Barbados Tridents,2,17,17,1,1,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,27,0,0,27
['2011-05-16'],Indian Premier League,501259,Deccan Chargers,1,34,28,2,2,121.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,58,0,0,58
['2011-05-14'],Indian Premier League,501256,Deccan Chargers,2,20,22,0,2,90.91,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,32,0,0,32
['2011-05-10'],Indian Premier League,501250,Deccan Chargers,7,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2011-05-05'],Indian Premier League,501243,Deccan Chargers,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2011-05-03'],Indian Premier League,501239,Deccan Chargers,1,26,20,3,0,130.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,44,0,0,44
['2011-05-01'],Indian Premier League,501236,Deccan Chargers,1,56,30,6,4,186.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,118,0,0,118
['2011-04-27'],Indian Premier League,501229,Deccan Chargers,1,1,4,0,0,25.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2011-04-24'],Indian Premier League,501224,Deccan Chargers,1,5,3,0,0,166.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2011-04-19'],Indian Premier League,501216,Deccan Chargers,1,62,41,8,1,151.22,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,112,0,0,112
['2011-04-16'],Indian Premier League,501212,Deccan Chargers,1,7,5,1,0,140.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2011-04-14'],Indian Premier League,501208,Deccan Chargers,1,38,36,5,1,105.56,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,68,0,0,68
['2010-04-18'],Indian Premier League,419159,Kings XI Punjab,10,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2009-05-20'],Indian Premier League,392234,Kings XI Punjab,1,3,9,0,0,33.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2009-05-17'],Indian Premier League,392229,Kings XI Punjab,1,9,12,0,1,75.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,15
['2009-05-15'],Indian Premier League,392226,Kings XI Punjab,1,3,12,0,0,25.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,-6,-3,0,16,13
['2009-05-12'],Indian Premier League,392222,Kings XI Punjab,1,43,21,5,3,204.76,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,91,0,0,91
['2009-05-09'],Indian Premier League,392216,Kings XI Punjab,1,30,17,4,1,176.47,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,62,0,0,62
['2009-05-07'],Indian Premier League,392214,Kings XI Punjab,1,2,2,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2009-05-05'],Indian Premier League,392210,Kings XI Punjab,1,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2009-05-03'],Indian Premier League,392207,Kings XI Punjab,1,25,17,0,3,147.06,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,49,0,0,49
['2008-04-25'],Indian Premier League,335991,Kings XI Punjab,7,0,4,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2008-04-21'],Indian Premier League,335987,Kings XI Punjab,7,4,4,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
