date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-06-21'],Vitality Blast,1410438,Leicestershire,8,1,1,0,0,100.0,"5,8,17",3.0,18,6,0,32,3,2,0,0,0,0,0,10.67,0,0,0,0,0,1,4,0,5
['2024-06-07'],Vitality Blast,1410398,Leicestershire,9,9,6,1,0,150.0,3,1.0,6,1,0,14,1,1,0,0,0,0,0,14.0,0,0,0,0,0,13,1,0,14
['2024-06-01'],Vitality Blast,1410384,Leicestershire,9,0,0,0,0,0.0,"5,10",2.0,12,3,0,18,3,0,1,0,0,0,0,9.0,0,0,0,0,0,0,28,0,28
['2024-05-31'],Vitality Blast,1423080,Leicestershire,9,0,0,0,0,0.0,"3,8,10",3.0,18,10,0,14,2,0,1,0,0,0,0,4.67,0,0,0,0,0,0,41,0,41
['2021-11-13'],ICC Men's T20 World Cup Americas Region Qualifier,1286682,United States of America,1,39,32,4,0,121.88,"9,11,18,20",4.0,24,11,0,19,2,0,1,0,0,0,1,4.75,0,0,0,0,0,59,42,0,101
['2021-11-11'],ICC Men's T20 World Cup Americas Region Qualifier,1286681,United States of America,9,0,0,0,0,0.0,"6,12,14,20",4.0,24,11,0,17,1,0,1,0,0,0,1,4.25,0,0,0,0,0,0,42,0,42
['2021-11-10'],ICC Men's T20 World Cup Americas Region Qualifier,1286674,United States of America,5,4,9,0,0,44.44,"6,8,10,14",4.0,24,12,1,25,4,0,2,0,2,0,1,6.25,0,0,0,0,0,4,92,0,96
['2021-11-08'],ICC Men's T20 World Cup Americas Region Qualifier,1286673,United States of America,6,4,7,0,0,57.14,"4,8,10,17",4.0,24,8,0,21,0,0,2,0,1,0,0,5.25,0,0,0,0,0,4,70,0,74
['2021-11-07'],ICC Men's T20 World Cup Americas Region Qualifier,1286667,United States of America,11,0,0,0,0,0.0,"5,7,15,17",4.0,24,21,1,4,0,0,2,0,1,0,1,1.0,0,0,0,0,0,0,97,0,97
['2021-06-12'],Vitality Blast,1250252,Hampshire,8,10,11,0,0,90.91,4,1.0,6,2,0,14,3,0,1,0,0,0,0,14.0,0,0,0,0,0,10,27,0,37
['2021-06-11'],Vitality Blast,1250247,Hampshire,8,4,4,0,0,100.0,2,1.0,6,1,0,8,1,0,0,0,0,0,1,8.0,2,0,1,0,0,4,1,28,33
['2021-06-09'],Vitality Blast,1250236,Hampshire,8,4,7,0,0,57.14,"4,17",2.0,12,2,0,19,2,0,0,0,0,0,2,9.5,0,0,0,0,0,4,2,0,6
['2020-09-20'],Vitality Blast,1207780,Hampshire,5,25,20,0,1,125.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,35,0,0,35
['2020-09-18'],Vitality Blast,1207777,Hampshire,4,65,51,2,3,127.45,7,1.0,6,0,0,6,0,0,0,0,0,0,0,6.0,0,0,0,0,0,99,0,0,99
['2020-09-16'],Vitality Blast,1207764,Hampshire,5,2,3,0,0,66.67,"4,8,14,18",4.0,24,3,0,37,5,0,0,0,0,0,0,9.25,0,0,0,0,0,2,3,0,5
['2020-09-14'],Vitality Blast,1207760,Hampshire,7,0,1,0,0,0.0,"4,9,18",2.167,13,1,0,27,1,1,1,0,0,0,5,12.46,0,0,0,0,0,-2,20,0,18
['2020-09-12'],Vitality Blast,1207751,Hampshire,7,6,5,0,0,120.0,"4,6,13,16",4.0,24,7,0,25,1,0,1,0,0,0,0,6.25,0,0,0,0,0,6,34,0,40
['2020-09-10'],Vitality Blast,1207742,Hampshire,7,13,10,2,0,130.0,"3,5,13,17",4.0,24,8,0,29,2,1,1,0,0,0,0,7.25,0,0,0,0,2,23,33,0,56
['2020-09-03'],Vitality Blast,1207734,Hampshire,7,1,1,0,0,100.0,"4,6",2.0,12,3,0,10,0,0,0,0,0,0,0,5.0,0,0,0,0,0,1,7,0,8
['2020-09-01'],Vitality Blast,1207725,Hampshire,7,10,7,1,0,142.86,1,1.0,6,3,0,9,2,0,0,0,0,0,0,9.0,0,0,0,0,0,14,3,0,17
['2020-08-30'],Vitality Blast,1207712,Hampshire,7,36,21,3,2,171.43,"1,9,11,14",4.0,24,7,0,19,1,0,0,0,0,0,0,4.75,0,0,0,0,6,70,13,0,83
['2020-08-27'],Vitality Blast,1207698,Hampshire,7,3,3,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2019-08-25'],Vitality Blast,1167232,Hampshire,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2019-08-22'],Vitality Blast,1167222,Hampshire,5,11,5,1,0,220.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,15,0,8,23
['2019-08-13'],Vitality Blast,1167205,Hampshire,8,1,3,0,0,33.33,"7,11",2.0,12,2,0,17,0,1,0,0,0,0,2,8.5,0,0,0,0,0,1,2,0,3
['2017-08-03'],NatWest T20 Blast,1068381,Hampshire,7,0,0,0,0,0.0,"8,10,13,16",4.0,24,6,0,33,4,0,1,0,0,0,3,8.25,0,0,0,0,0,0,31,0,31
