date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-10-28'],ICC Men's T20 World Cup Asia A Qualifier,1284495,Maldives,7,4,7,0,0,57.14,"10,12",2.0,12,5,0,14,1,1,2,0,0,0,0,7.0,0,0,0,0,0,4,57,0,61
['2021-10-27'],ICC Men's T20 World Cup Asia A Qualifier,1284493,Maldives,8,9,14,0,0,64.29,7,1.0,6,2,0,18,1,2,0,0,0,0,0,18.0,0,0,0,0,-2,7,2,0,9
['2021-10-24'],ICC Men's T20 World Cup Asia A Qualifier,1284491,Maldives,9,9,13,0,0,69.23,"10,12,16,18",4.0,24,7,0,26,1,1,2,1,0,0,1,6.5,0,0,0,0,-2,7,67,0,74
['2021-10-23'],ICC Men's T20 World Cup Asia A Qualifier,1284489,Maldives,11,1,1,0,0,100.0,"6,8,10,12",4.0,24,17,1,20,1,2,1,0,0,0,0,5.0,0,0,0,0,0,1,58,0,59
['2019-12-09'],South Asian Games Men's Cricket Competition,1208613,Maldives,7,16,23,2,0,69.57,"8,10,14",3.0,18,6,0,25,2,1,0,0,0,0,0,8.33,0,0,0,0,-2,22,6,0,28
['2019-12-07'],South Asian Games Men's Cricket Competition,1208612,Maldives,11,0,0,0,0,0.0,"8,10,12,14",4.0,24,10,0,18,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,16,0,16
['2019-12-06'],South Asian Games Men's Cricket Competition,1208609,Maldives,11,0,0,0,0,0.0,"10,12,14",3.0,18,7,0,18,2,0,1,0,0,0,0,6.0,0,0,0,0,0,0,34,0,34
['2019-06-29'],Malaysia Tri-Nation T20I Series,1186493,Maldives,9,0,0,0,0,0.0,"13,15,19",3.0,18,3,0,29,1,2,0,0,0,0,0,9.67,0,0,0,0,0,0,3,0,3
['2019-06-28'],Malaysia Tri-Nation T20I Series,1186492,Maldives,6,0,0,0,0,0.0,"11,13,17",3.0,18,5,0,22,1,1,2,0,0,0,0,7.33,0,0,0,0,0,0,55,0,55
['2019-06-26'],Malaysia Tri-Nation T20I Series,1186490,Maldives,6,6,10,0,0,60.0,"10,12,14,16",4.0,24,10,0,20,0,1,2,0,1,0,0,5.0,0,0,0,0,-2,4,72,0,76
['2015-01-29'],ACC Twenty20 Cup,811127,Maldives,8,6,5,0,0,120.0,5,1.0,6,2,0,16,0,2,0,0,0,0,1,16.0,0,0,0,0,0,6,2,0,8
['2015-01-27'],ACC Twenty20 Cup,811121,Maldives,8,0,1,0,0,0.0,"3,5,8",3.0,18,6,0,31,3,2,1,1,0,0,0,10.33,0,0,0,0,0,-2,37,0,35
['2015-01-25'],ACC Twenty20 Cup,811111,Maldives,8,3,10,0,0,30.0,"7,13,16,19",4.0,24,6,0,43,2,3,0,0,0,0,0,10.75,0,0,0,0,-6,-3,4,0,1
