date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-07-25'],ICC Men's T20 World Cup Europe Region Qualifier,1383081,Austria,5,4,6,0,0,66.67,"6,10,13,15",4.0,24,3,0,40,6,0,0,0,0,0,0,10.0,0,0,0,0,0,4,1,0,5
['2023-07-24'],ICC Men's T20 World Cup Europe Region Qualifier,1383078,Austria,5,16,27,0,0,59.26,"5,7",2.0,12,7,0,9,1,0,0,0,0,0,1,4.5,0,0,0,0,-4,12,13,0,25
['2023-07-23'],ICC Men's T20 World Cup Europe Region Qualifier,1383074,Austria,5,1,6,0,0,16.67,"8,10,12,15",4.0,24,6,0,43,2,1,0,0,0,0,4,10.75,0,0,0,0,0,1,4,0,5
['2023-07-21'],ICC Men's T20 World Cup Europe Region Qualifier,1383072,Austria,4,1,3,0,0,33.33,8,1.0,6,0,0,8,0,0,0,0,0,1,1,8.0,0,0,0,0,0,1,0,0,1
['2023-07-20'],ICC Men's T20 World Cup Europe Region Qualifier,1383068,Austria,6,3,5,0,0,60.0,"6,8",2.0,12,4,0,22,3,1,0,0,0,0,0,11.0,1,0,0,0,0,3,2,8,13
['2023-06-30'],Austria tour of Netherlands,1381452,Austria,5,32,27,3,0,118.52,"5,7,10",3.0,18,6,0,20,1,0,1,0,0,0,0,6.67,0,0,0,0,0,48,33,0,81
['2023-06-29'],Austria tour of Netherlands,1381451,Austria,6,18,21,1,0,85.71,"5,7,13,15",4.0,24,7,0,22,1,0,1,0,0,0,0,5.5,1,0,0,0,0,22,36,8,66
['2022-07-25'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321286,Austria,5,21,16,1,0,131.25,"9,11,13,15",4.0,24,10,0,18,0,1,1,0,0,0,0,4.5,1,0,0,0,2,27,41,8,76
['2022-07-24'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321281,Austria,5,13,17,1,0,76.47,"7,9,11,13",4.0,24,10,0,15,0,0,2,1,1,0,0,3.75,0,0,0,1,0,17,82,6,105
['2022-07-09'],Central Europe Cup,1321307,Austria,4,48,33,4,0,145.45,"7,9,13,15",4.0,24,12,0,21,1,1,1,0,1,0,0,5.25,0,0,0,0,2,70,49,0,119
['2022-07-09'],Central Europe Cup,1321308,Austria,4,18,19,2,0,94.74,"5,9",2.0,12,5,0,18,2,1,2,0,1,0,0,9.0,0,0,0,0,0,26,63,0,89
['2022-07-08'],Central Europe Cup,1321305,Austria,5,2,5,0,0,40.0,"8,10,12,16",4.0,24,13,0,22,2,0,1,0,0,0,2,5.5,1,0,0,0,0,2,42,8,52
['2022-06-10'],Germany T20 Tri-Series,1318359,Austria,4,11,17,0,0,64.71,"10,12,14,16",4.0,24,6,0,30,1,1,1,0,0,0,0,7.5,3,0,0,0,-2,9,31,28,68
['2022-06-10'],Germany T20 Tri-Series,1318360,Austria,1,43,43,2,1,100.0,"8,10,12,14",4.0,24,14,0,20,1,1,1,0,0,0,0,5.0,0,0,0,1,0,61,43,6,110
['2022-06-09'],Germany T20 Tri-Series,1318357,Austria,4,0,5,0,0,0.0,"5,7,11,13",4.0,24,14,0,15,0,0,1,0,0,0,3,3.75,0,0,0,0,0,-2,45,0,43
