date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-11-09'],Syed Mushtaq Ali Trophy,1280290,Manipur,1,6,10,1,0,60.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,8,0,0,8
['2021-11-08'],Syed Mushtaq Ali Trophy,1280273,Manipur,1,10,9,2,0,111.11,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2021-11-06'],Syed Mushtaq Ali Trophy,1280251,Manipur,1,12,14,1,0,85.71,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2021-11-05'],Syed Mushtaq Ali Trophy,1280234,Manipur,1,50,42,3,2,119.05,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,0,0,0,82,0,28,110
['2021-01-19'],Syed Mushtaq Ali Trophy,1244400,Manipur,1,4,5,1,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2021-01-17'],Syed Mushtaq Ali Trophy,1244378,Manipur,2,7,14,1,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,7,0,0,7
['2021-01-15'],Syed Mushtaq Ali Trophy,1244362,Manipur,2,13,14,0,1,92.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,19,0,12,31
['2021-01-13'],Syed Mushtaq Ali Trophy,1244341,Manipur,3,0,6,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2021-01-11'],Syed Mushtaq Ali Trophy,1244322,Manipur,3,33,31,2,2,106.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,57,0,0,57
['2019-11-12'],Syed Mushtaq Ali Trophy,1205770,Manipur,3,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2019-11-11'],Syed Mushtaq Ali Trophy,1205752,Manipur,1,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2019-11-09'],Syed Mushtaq Ali Trophy,1205734,Manipur,3,21,36,2,0,58.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,-4,25,0,16,41
['2019-11-08'],Syed Mushtaq Ali Trophy,1205725,Manipur,3,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2019-02-25'],Syed Mushtaq Ali Trophy,1157144,Manipur,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-02-24'],Syed Mushtaq Ali Trophy,1157126,Manipur,4,10,21,0,0,47.62,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,4,0,0,4
['2019-02-22'],Syed Mushtaq Ali Trophy,1157108,Manipur,7,2,3,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2019-02-21'],Syed Mushtaq Ali Trophy,1157092,Manipur,7,0,3,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
