date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439832,Sweden,6,13,9,0,1,144.44,"6,8,10,12",4.0,24,16,0,10,0,0,2,0,0,0,0,2.5,0,0,0,0,0,19,72,0,91
['2024-07-11'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439825,Sweden,9,0,0,0,0,0.0,"10,12",2.0,12,5,0,11,1,0,1,0,0,0,0,5.5,0,0,0,0,0,0,34,0,34
['2024-07-09'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439819,Sweden,10,14,9,1,1,155.56,"7,9,12,14",4.0,24,8,0,28,2,1,1,1,0,0,0,7.0,0,0,0,0,0,24,43,0,67
['2024-07-08'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439816,Sweden,9,22,17,0,2,129.41,"6,8,10,12",4.0,24,7,0,28,1,1,2,0,0,0,1,7.0,0,0,0,0,0,34,59,0,93
['2022-07-19'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321279,Sweden,1,51,43,8,0,118.6,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,91,0,0,91
['2022-07-18'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321273,Sweden,1,69,57,6,1,121.05,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,107,0,8,115
['2022-07-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321265,Sweden,6,16,24,1,0,66.67,"12,14",2.0,12,4,0,15,1,1,0,0,0,0,0,7.5,2,0,0,1,-2,18,4,22,44
['2022-07-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321262,Sweden,11,0,0,0,0,0.0,"17,19",2.0,12,8,0,4,0,0,1,0,0,0,0,2.0,0,0,0,0,0,0,39,0,39
['2022-07-12'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321259,Sweden,9,7,4,1,0,175.0,"13,15",2.0,12,5,0,15,2,0,0,0,0,0,0,7.5,0,0,0,0,0,11,5,0,16
['2022-06-11'],Germany T20 Tri-Series,1318361,Sweden,3,1,2,0,0,50.0,"12,14,16",3.0,18,11,0,11,0,1,1,1,0,0,0,3.67,0,0,0,0,0,1,50,0,51
['2022-06-11'],Germany T20 Tri-Series,1318362,Sweden,3,41,41,2,1,100.0,"6,8,10,12",4.0,24,11,0,23,1,1,0,0,0,0,0,5.75,0,0,0,0,0,59,15,0,74
['2022-06-10'],Germany T20 Tri-Series,1318360,Sweden,3,4,10,0,0,40.0,"7,9,11,13",4.0,24,7,0,19,0,0,1,0,1,0,0,4.75,0,0,0,0,-6,-2,46,0,44
['2022-06-09'],Germany T20 Tri-Series,1318358,Sweden,1,0,5,0,0,0.0,"13,15,17",3.0,18,13,0,10,0,1,3,0,1,0,0,3.33,0,0,0,0,0,-2,106,0,104
