date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-05-11'],Mdina Cup,1432199,France,8,0,0,0,0,0.0,"9,11,13,15",4.0,24,9,0,19,0,0,1,0,0,0,1,4.75,2,0,0,0,0,0,40,16,56
['2023-07-16'],Valletta Cup,1384598,France,11,0,1,0,0,0.0,5,1.0,6,2,0,25,1,2,0,0,0,1,5,25.0,0,0,0,0,0,-2,2,0,0
['2023-07-15'],Valletta Cup,1384597,France,10,0,0,0,0,0.0,"11,13,15",3.0,18,6,0,32,1,3,1,0,0,0,1,10.67,0,0,0,0,0,0,29,0,29
['2023-07-14'],Valletta Cup,1384594,France,10,0,0,0,0,0.0,"15,17,19",3.0,18,6,0,24,0,2,2,0,0,0,1,8.0,1,0,0,0,0,0,56,8,64
['2023-07-13'],Valletta Cup,1384591,France,10,0,0,0,0,0.0,"16,18",2.0,12,6,0,15,0,1,2,0,0,0,3,7.5,1,0,0,0,0,0,56,8,64
['2023-07-12'],Valletta Cup,1384588,France,10,0,0,0,0,0.0,11,1.0,6,0,0,12,2,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0
['2023-07-10'],Mdina Cup,1384582,France,11,2,3,0,0,66.67,"16,18",1.167,7,5,0,2,0,0,3,0,0,0,0,1.71,1,0,0,1,0,2,84,14,100
['2023-07-10'],Mdina Cup,1384583,France,11,0,1,0,0,0.0,"14,16,18,20",4.0,24,12,0,23,0,2,1,0,0,0,0,5.75,0,0,0,0,0,0,41,0,41
['2022-07-31'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321302,France,11,2,5,0,0,40.0,12,1.0,6,2,0,13,3,0,0,0,0,0,0,13.0,0,0,0,0,0,2,2,0,4
['2022-07-27'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321292,France,9,1,1,0,0,100.0,"7,13,15",3.0,18,2,0,32,2,2,0,0,0,0,0,10.67,1,0,0,0,0,1,0,8,9
['2022-07-25'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321287,France,11,0,0,0,0,0.0,"9,11,13",3.0,18,3,0,30,3,0,1,0,0,0,1,10.0,0,0,0,0,0,0,26,0,26
['2022-07-24'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321284,France,11,0,0,0,0,0.0,17,1.0,6,3,0,3,0,0,1,0,0,0,0,3.0,0,0,0,0,0,0,28,0,28
