date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-10-20'],Nepal tour of United States of America,1453520,United States of America,6,9,7,0,0,128.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2024-10-19'],Nepal tour of United States of America,1453519,United States of America,6,15,8,1,1,187.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2024-10-17'],Nepal tour of United States of America,1453518,United States of America,6,60,34,6,2,176.47,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,110,0,8,118
['2024-10-05'],Namibia T20 Tri-Series,1450822,United States of America,6,11,11,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,15
['2024-10-04'],Namibia T20 Tri-Series,1450821,United States of America,5,61,31,8,2,196.77,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,119,0,0,119
['2024-10-01'],Namibia T20 Tri-Series,1450819,United States of America,6,3,4,0,0,75.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11
['2024-09-30'],Namibia T20 Tri-Series,1450818,United States of America,5,19,9,0,2,211.11,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,31,0,0,31
['2024-08-28'],Netherlands Tri-Nation T20I Series,1446766,United States of America,6,3,10,0,0,30.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-3,0,0,-3
['2024-08-27'],Netherlands Tri-Nation T20I Series,1446765,United States of America,7,15,8,1,1,187.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2024-08-25'],Netherlands Tri-Nation T20I Series,1446763,United States of America,5,37,29,3,2,127.59,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,65,0,0,65
['2024-08-24'],Netherlands Tri-Nation T20I Series,1446762,United States of America,5,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-06-19'],ICC Men's T20 World Cup,1415741,United States of America,6,3,9,0,0,33.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11
['2024-06-12'],ICC Men's T20 World Cup,1415725,United States of America,1,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-05-25'],Bangladesh tour of United States of America,1425133,United States of America,1,18,20,2,1,90.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,32,0,0,32
['2020-09-05'],Caribbean Premier League,1227892,Barbados Tridents,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
