date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2015-12-27'],Big Bash League,897713,Melbourne Stars,7,4,2,1,0,200.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2015-01-25'],Big Bash League,756801,Melbourne Stars,6,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,16,17
['2015-01-21'],Big Bash League,756795,Melbourne Stars,6,4,5,0,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,4,0,6,10
['2015-01-17'],Big Bash League,756791,Melbourne Stars,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2015-01-10'],Big Bash League,756777,Melbourne Stars,6,4,5,0,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2015-01-05'],Big Bash League,756767,Melbourne Stars,6,25,14,2,1,178.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,49,0,8,57
['2015-01-03'],Big Bash League,756763,Melbourne Stars,7,22,13,2,1,169.23,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,4,40,0,28,68
['2014-12-28'],Big Bash League,756751,Melbourne Stars,7,23,16,1,2,143.75,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,2,41,0,14,55
['2014-12-20'],Big Bash League,756739,Melbourne Stars,7,3,7,0,0,42.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,3,0,16,19
['2014-12-18'],Big Bash League,756735,Melbourne Stars,7,5,4,1,0,125.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2013-01-10'],Big Bash League,571262,Perth Scorchers,5,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2013-01-04'],Big Bash League,571256,Perth Scorchers,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2012-12-29'],Big Bash League,571251,Perth Scorchers,5,2,1,0,0,200.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,0,0,0,0,2,0,44,46
['2012-12-18'],Big Bash League,571241,Perth Scorchers,7,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2012-12-16'],Big Bash League,571240,Perth Scorchers,7,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,28,28
['2012-12-12'],Big Bash League,571236,Perth Scorchers,7,4,9,0,0,44.44,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2012-12-09'],Big Bash League,571235,Perth Scorchers,7,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2012-01-22'],Big Bash League,524944,Hobart Hurricanes,5,16,14,1,1,114.29,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,26,0,6,32
['2012-01-18'],Big Bash League,524940,Hobart Hurricanes,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2012-01-09'],Big Bash League,524935,Hobart Hurricanes,5,21,11,3,1,190.91,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,45,0,0,45
['2012-01-01'],Big Bash League,524927,Hobart Hurricanes,5,18,17,0,1,105.88,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,24,0,16,40
['2011-12-28'],Big Bash League,524924,Hobart Hurricanes,5,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,1,0,14,15
['2011-12-21'],Big Bash League,524920,Hobart Hurricanes,5,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2011-12-18'],Big Bash League,524918,Hobart Hurricanes,5,20,14,1,1,142.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,1,2,32,0,22,54
