date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-01-16'],Bangladesh Premier League,1351064,Dhaka Dominators,3,17,17,2,0,100.0,14,1.0,6,1,0,10,0,1,0,0,0,0,0,10.0,0,0,0,0,0,25,1,0,26
['2023-01-10'],Bangladesh Premier League,1351059,Dhaka Dominators,1,12,10,1,1,120.0,"7,9",2.0,12,2,0,23,3,0,0,0,0,1,0,11.5,1,0,0,0,0,22,-2,8,28
['2023-01-07'],Bangladesh Premier League,1351054,Dhaka Dominators,1,22,27,3,0,81.48,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,34,0,8,42
['2017-11-14'],Bangladesh Premier League,1121258,Chittagong Vikings,3,19,25,0,1,76.0,"1,3,5,7",4.0,24,13,0,17,1,0,2,0,1,0,1,4.25,0,0,0,0,0,25,77,0,102
['2017-11-12'],Bangladesh Premier League,1121255,Chittagong Vikings,4,10,5,1,1,200.0,"5,7,9",3.0,18,8,0,16,2,0,1,0,1,0,0,5.33,0,0,0,0,0,20,45,0,65
['2017-11-08'],Bangladesh Premier League,1121251,Chittagong Vikings,3,20,16,1,1,125.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,30,0,0,30
['2017-11-07'],Bangladesh Premier League,1121249,Chittagong Vikings,3,21,22,0,1,95.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,27,0,0,27
['2017-10-29'],Sri Lanka tour of United Arab Emirates and Pakistan,1120293,Sri Lanka,2,1,4,0,0,25.0,"2,4,8,10",4.0,24,5,0,26,1,0,1,0,1,0,0,6.5,0,0,0,0,0,1,40,0,41
['2017-10-27'],Sri Lanka tour of United Arab Emirates and Pakistan,1120292,Sri Lanka,2,19,20,3,0,95.0,"2,4",2.0,12,3,0,17,2,0,0,0,0,0,1,8.5,0,0,0,0,0,31,3,0,34
['2017-10-26'],Sri Lanka tour of United Arab Emirates and Pakistan,1120291,Sri Lanka,2,0,2,0,0,0.0,2,1.0,6,1,0,5,0,0,0,0,0,0,0,5.0,0,0,0,0,0,-2,1,0,-1
['2017-09-06'],India tour of Sri Lanka,1109610,Sri Lanka,3,53,29,5,4,182.76,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,111,0,0,111
['2017-04-06'],Bangladesh in Sri Lanka T20I Series,1083450,Sri Lanka,2,4,3,1,0,133.33,"3,5",2.0,12,3,0,22,2,1,0,0,0,0,3,11.0,0,0,0,0,0,8,1,0,9
['2017-04-04'],Bangladesh in Sri Lanka T20I Series,1083449,Sri Lanka,3,8,6,1,0,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12
['2017-02-22'],Sri Lanka in Australia T20I Series,1001353,Sri Lanka,1,37,25,3,2,148.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,67,0,0,67
['2017-02-19'],Sri Lanka in Australia T20I Series,1001351,Sri Lanka,3,10,4,1,1,250.0,6,1.0,6,2,0,22,1,3,0,0,0,0,0,22.0,0,0,0,0,0,20,2,0,22
['2017-02-17'],Sri Lanka in Australia T20I Series,1001349,Sri Lanka,3,44,29,6,0,151.72,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,76,0,0,76
['2016-11-29'],Bangladesh Premier League,1063079,Barisal Bulls,1,7,9,0,1,77.78,12,1.0,6,1,0,6,0,0,0,0,0,0,0,6.0,0,0,0,0,0,13,1,0,14
['2016-11-27'],Bangladesh Premier League,1063077,Barisal Bulls,2,10,7,2,0,142.86,5,1.0,6,3,0,4,0,0,0,0,0,0,0,4.0,0,0,0,0,0,18,3,0,21
['2016-11-17'],Bangladesh Premier League,1063064,Barisal Bulls,1,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2016-11-13'],Bangladesh Premier League,1063061,Barisal Bulls,1,0,3,0,0,0.0,12,1.0,6,3,0,9,0,1,0,0,0,0,0,9.0,0,0,0,0,0,-2,3,0,1
['2016-11-11'],Bangladesh Premier League,1063057,Barisal Bulls,1,15,19,2,0,78.95,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,23,0,0,23
['2016-11-08'],Bangladesh Premier League,1063053,Barisal Bulls,2,12,15,2,0,80.0,"8,10,12",3.0,18,6,0,22,1,1,0,0,0,0,0,7.33,0,0,0,0,0,20,6,0,26
['2015-12-07'],Bangladesh Premier League,935329,Sylhet Super Stars,1,0,5,0,0,0.0,5,1.0,6,4,0,3,0,0,0,0,0,0,0,3.0,1,0,0,0,0,-2,4,8,10
['2015-12-06'],Bangladesh Premier League,935323,Sylhet Super Stars,1,0,5,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2015-12-02'],Bangladesh Premier League,935317,Sylhet Super Stars,1,4,3,1,0,133.33,"4,12,14",3.0,18,5,0,22,2,0,0,0,0,0,0,7.33,0,0,0,0,0,8,5,0,13
['2015-11-30'],Bangladesh Premier League,935309,Sylhet Super Stars,1,36,26,3,2,138.46,"5,11,14",3.0,18,4,0,26,3,0,0,0,0,0,1,8.67,0,0,0,0,2,66,4,0,70
['2015-11-27'],Bangladesh Premier League,935305,Sylhet Super Stars,1,16,18,3,0,88.89,"4,7,11,17",4.0,24,9,0,20,1,0,1,0,1,0,0,5.0,0,0,0,0,0,28,46,0,74
['2015-11-26'],Bangladesh Premier League,935299,Sylhet Super Stars,1,17,11,2,1,154.55,"4,6,10,12",4.0,24,12,0,19,1,0,0,0,0,0,0,4.75,0,0,1,0,4,35,18,12,65
['2015-11-24'],Bangladesh Premier League,935293,Sylhet Super Stars,1,36,31,6,0,116.13,16,1.0,6,3,0,6,1,0,0,0,0,0,0,6.0,0,0,0,0,0,64,3,0,67
['2015-07-16'],Caribbean Premier League,857751,Barbados Tridents,2,10,10,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
['2015-07-11'],Caribbean Premier League,857743,Barbados Tridents,2,18,14,2,1,128.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,32,0,0,32
['2015-07-06'],Caribbean Premier League,857731,Barbados Tridents,2,18,19,3,0,94.74,6,1.0,6,1,0,14,1,1,0,0,0,0,2,14.0,0,0,0,0,0,30,1,0,31
['2015-07-03'],Caribbean Premier League,857725,Barbados Tridents,2,23,18,2,1,127.78,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,37,0,8,45
['2015-07-01'],Caribbean Premier League,857721,Barbados Tridents,2,26,23,1,2,113.04,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,46,0,0,46
['2015-06-27'],Caribbean Premier League,857715,Barbados Tridents,2,2,12,0,0,16.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-4,0,0,-4
['2015-06-25'],Caribbean Premier League,857711,Barbados Tridents,2,39,28,5,2,139.29,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,77,0,0,77
['2015-06-23'],Caribbean Premier League,857707,Barbados Tridents,2,24,25,3,0,96.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,36,0,0,36
['2015-06-20'],Caribbean Premier League,857703,Barbados Tridents,2,6,14,1,0,42.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,4,0,0,4
['2013-03-31'],NA,602477,Sri Lanka,2,5,5,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2013-02-13'],Bangladesh Premier League,599903,Duronto Rajshahi,3,35,25,4,1,140.0,"9,11,17,19",4.0,24,6,0,30,2,0,0,0,0,0,0,7.5,0,0,0,0,2,63,6,0,69
['2013-02-11'],Bangladesh Premier League,599900,Duronto Rajshahi,3,22,15,3,1,146.67,"3,5,9,11",4.0,24,10,0,24,3,0,1,0,0,0,0,6.0,0,0,0,0,2,42,37,0,79
['2013-02-08'],Bangladesh Premier League,599895,Duronto Rajshahi,3,8,5,2,0,160.0,"2,4,6,18",4.0,24,10,0,28,3,1,0,0,0,0,0,7.0,0,0,0,0,0,16,12,0,28
['2013-02-04'],Bangladesh Premier League,599889,Duronto Rajshahi,3,8,14,1,0,57.14,"4,6,16",3.0,18,7,0,27,2,2,1,0,0,0,0,9.0,0,0,0,0,-4,8,32,0,40
['2013-02-02'],Bangladesh Premier League,599887,Duronto Rajshahi,3,29,26,4,0,111.54,"8,10,12,14",4.0,24,9,0,18,1,0,2,0,0,0,1,4.5,0,0,0,0,0,49,65,0,114
