date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-12-18'],Big Bash League,1443060,Melbourne Stars,9,0,0,0,0,0.0,14,1.0,6,1,0,11,0,1,0,0,0,0,0,11.0,0,0,0,0,0,0,1,0,1
['2023-01-25'],Big Bash League,1324679,Melbourne Stars,3,13,12,2,0,108.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,21,0,0,21
['2023-01-22'],Big Bash League,1324674,Melbourne Stars,3,25,23,2,0,108.7,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,37,0,0,37
['2023-01-06'],Big Bash League,1324654,Melbourne Stars,7,2,1,0,0,200.0,5,1.0,6,0,0,9,1,0,0,0,0,0,1,9.0,2,0,0,0,0,2,0,16,18
['2023-01-03'],Big Bash League,1324650,Melbourne Stars,7,5,8,0,0,62.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2022-12-31'],Big Bash League,1324646,Melbourne Stars,7,9,4,1,0,225.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13
['2022-12-29'],Big Bash League,1324643,Melbourne Stars,7,3,3,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2022-12-26'],Big Bash League,1324638,Melbourne Stars,7,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,8,9
['2022-12-23'],Big Bash League,1324635,Melbourne Stars,7,25,14,1,2,178.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,51,0,0,51
['2022-12-16'],Big Bash League,1324627,Melbourne Stars,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
