date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-04'],Vitality Blast,1410497,Lancashire,10,3,4,0,0,75.0,"1,5",2.0,12,6,0,22,5,0,1,0,0,0,1,11.0,0,0,0,0,0,3,29,0,32
['2024-07-19'],Vitality Blast,1410492,Lancashire,10,15,6,3,0,250.0,"1,5,13",3.0,18,5,0,42,7,1,0,0,0,2,0,14.0,0,0,0,0,0,27,-1,0,26
['2024-07-17'],Vitality Blast,1410482,Lancashire,10,0,0,0,0,0.0,"1,3,17,19",4.0,24,12,0,23,3,0,3,0,0,2,0,5.75,0,0,0,0,0,0,95,0,95
['2024-07-07'],Vitality Blast,1410454,Lancashire,10,9,3,0,1,300.0,"1,3,5,19",4.0,24,13,0,24,1,1,0,0,0,0,1,6.0,0,0,0,0,0,15,15,0,30
['2024-06-20'],Vitality Blast,1410433,Lancashire,10,10,4,0,1,250.0,"1,6,13,19",4.0,24,8,0,32,5,0,0,0,0,0,1,8.0,0,0,0,0,0,16,8,0,24
['2024-06-16'],Vitality Blast,1410423,Lancashire,10,1,1,0,0,100.0,"1,3,13,17",4.0,24,8,0,35,3,2,0,0,0,0,0,8.75,0,0,0,0,0,1,8,0,9
['2024-06-14'],Vitality Blast,1410415,Lancashire,9,5,3,0,0,166.67,"2,4,6,17",4.0,24,12,0,20,2,0,1,0,0,0,0,5.0,1,0,1,0,0,5,41,20,66
['2024-06-09'],Vitality Blast,1410405,Lancashire,8,0,0,0,0,0.0,"1,3,17,19",4.0,24,7,0,27,2,0,1,0,0,0,2,6.75,0,0,0,0,0,0,34,0,34
['2024-06-07'],Vitality Blast,1410397,Lancashire,8,7,3,0,1,233.33,"1,3,15,19",4.0,24,9,0,34,3,1,2,0,0,0,0,8.5,0,0,0,0,0,13,59,0,72
['2024-06-02'],Vitality Blast,1410388,Lancashire,5,1,1,0,0,100.0,"1,3,13",3.0,18,5,0,25,2,1,0,0,0,0,0,8.33,0,0,0,0,0,1,5,0,6
['2024-05-31'],Vitality Blast,1410382,Lancashire,9,0,0,0,0,0.0,"1,3,15,19",4.0,24,8,0,27,1,1,0,0,0,0,1,6.75,2,0,0,0,0,0,10,16,26
['2024-05-30'],Vitality Blast,1410373,Lancashire,9,0,0,0,0,0.0,"1,3,15",2.5,15,9,0,7,0,0,2,0,0,0,1,2.8,0,0,0,0,0,0,65,0,65
['2024-04-27'],Indian Premier League,1426281,Mumbai Indians,10,9,3,0,1,300.0,"1,9,14,18",4.0,24,5,0,68,9,4,1,0,0,0,0,17.0,0,0,0,0,0,15,24,0,39
['2024-03-24'],Indian Premier League,1422123,Mumbai Indians,12,0,0,0,0,0.0,"2,18",2.0,12,3,0,25,3,1,0,0,0,1,1,12.5,0,0,0,0,0,0,-3,0,-3
['2024-02-14'],Bangladesh Premier League,1412305,Khulna Tigers,7,0,2,0,0,0.0,"1,3,13,17",3.5,21,11,0,25,4,0,0,0,0,0,2,7.14,0,0,0,0,0,-2,11,0,9
['2024-02-13'],Bangladesh Premier League,1412303,Khulna Tigers,8,20,14,2,1,142.86,"2,4,12,19",4.0,24,14,0,19,1,1,3,0,2,0,0,4.75,0,0,0,0,2,36,115,0,151
['2023-09-05'],New Zealand tour of England,1336051,England,11,0,0,0,0,0.0,"2,4",2.0,12,1,0,28,3,1,1,0,1,0,1,14.0,0,0,0,1,0,0,28,6,34
['2023-09-03'],New Zealand tour of England,1336050,England,9,3,4,0,0,75.0,"1,3,6,17",4.0,24,7,0,36,4,1,1,0,1,0,0,9.0,0,0,0,0,0,3,40,0,43
['2023-08-30'],New Zealand tour of England,1336048,England,11,0,0,0,0,0.0,"1,4,6,17",4.0,24,16,0,37,4,3,3,0,1,0,0,9.25,1,0,0,0,0,0,103,8,111
['2023-07-07'],Vitality Blast,1347695,Lancashire,10,0,0,0,0,0.0,"1,3,5,15",4.0,24,10,0,37,3,1,1,0,0,4,1,9.25,0,0,0,0,0,0,35,0,35
['2023-07-02'],Vitality Blast,1347688,Lancashire,10,0,0,0,0,0.0,"1,3,5,19",4.0,24,14,0,17,2,0,3,0,1,0,1,4.25,1,0,0,0,0,0,107,8,115
['2023-06-23'],Vitality Blast,1347671,Lancashire,10,0,0,0,0,0.0,"1,3,14",3.0,18,6,0,44,6,1,0,0,0,4,1,14.67,1,0,0,0,0,0,0,8,8
['2023-06-20'],Vitality Blast,1347657,Lancashire,9,3,3,0,0,100.0,"2,5,11",3.0,18,9,0,18,0,1,1,0,0,0,2,6.0,0,0,0,0,0,3,36,0,39
['2023-06-18'],Vitality Blast,1347648,Lancashire,9,2,1,0,0,200.0,"1,3",2.0,12,5,0,21,3,0,0,0,0,4,0,10.5,0,0,0,0,0,2,3,0,5
['2023-06-16'],Vitality Blast,1347645,Lancashire,10,0,0,0,0,0.0,"1,3,5,20",4.0,24,9,0,39,3,2,3,0,0,2,0,9.75,2,0,0,0,0,0,88,16,104
['2023-06-07'],Vitality Blast,1347624,Lancashire,10,0,0,0,0,0.0,"1,3,5,20",4.0,24,15,0,18,3,0,1,0,0,0,2,4.5,2,0,0,0,0,0,46,16,62
['2023-06-04'],Vitality Blast,1347613,Lancashire,8,0,1,0,0,0.0,"1,3,13,19",3.833,23,9,0,29,5,0,0,0,0,0,0,7.57,0,0,0,0,0,-2,9,0,7
['2023-06-02'],Vitality Blast,1347601,Lancashire,9,1,4,0,0,25.0,"1,14,16,18",4.0,24,8,0,25,1,1,1,0,0,0,0,6.25,0,0,0,0,0,1,35,0,36
['2023-06-01'],Vitality Blast,1347598,Lancashire,9,24,10,0,2,240.0,"1,4,17,19",4.0,24,4,0,55,7,2,0,0,0,2,2,13.75,2,0,0,0,6,42,-2,16,56
['2023-05-29'],Vitality Blast,1347590,Lancashire,9,3,4,0,0,75.0,"1,3,5",3.0,18,7,0,27,3,1,0,0,0,0,2,9.0,0,0,0,0,0,3,7,0,10
['2023-05-27'],Vitality Blast,1347583,Lancashire,9,0,0,0,0,0.0,"1,3,15,18",4.0,24,10,0,29,2,1,2,0,1,2,1,7.25,0,0,0,0,0,0,68,0,68
['2023-05-25'],Vitality Blast,1347573,Lancashire,9,0,0,0,0,0.0,"1,3,5,14",4.0,24,16,1,11,1,0,3,0,0,0,1,2.75,1,0,0,0,0,0,113,8,121
['2023-05-20'],Vitality Blast,1347569,Lancashire,8,8,6,1,0,133.33,"1,3,15,19",4.0,24,14,0,31,3,2,3,1,0,0,1,7.75,0,0,0,0,0,12,101,0,113
['2023-02-16'],Bangladesh Premier League,1351097,Sylhet Strikers,10,0,0,0,0,0.0,"5,11,16,19",4.0,24,8,0,38,4,2,0,0,0,0,0,9.5,0,0,0,0,0,0,8,0,8
['2023-02-14'],Bangladesh Premier League,1351096,Sylhet Strikers,10,0,0,0,0,0.0,"4,9,17,19",4.0,24,9,0,34,4,1,3,0,0,0,1,8.5,0,0,0,0,0,0,88,0,88
['2023-01-25'],Big Bash League,1324679,Melbourne Stars,9,1,1,0,0,100.0,"2,4,15,19",3.833,23,9,0,33,3,1,1,0,0,0,2,8.61,1,0,1,0,0,1,34,20,55
['2023-01-22'],Big Bash League,1324674,Melbourne Stars,9,0,0,0,0,0.0,"1,3,16,20",4.0,24,9,0,38,3,2,2,0,0,0,1,9.5,0,0,0,0,0,0,59,0,59
['2023-01-16'],Big Bash League,1324667,Melbourne Stars,9,0,0,0,0,0.0,"1,12,18",3.0,18,4,0,27,2,1,0,0,0,0,1,9.0,1,0,0,0,0,0,4,8,12
