date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-02-11'],Bangladesh Premier League,1296712,Minister Group Dhaka,3,2,7,0,0,28.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2022-02-09'],Bangladesh Premier League,1296709,Minister Group Dhaka,3,30,35,2,2,85.71,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,54,0,0,54
['2022-01-25'],Bangladesh Premier League,1296691,Minister Group Dhaka,4,4,10,0,0,40.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-2,0,0,-2
['2022-01-24'],Bangladesh Premier League,1296689,Minister Group Dhaka,4,0,2,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2022-01-22'],Bangladesh Premier League,1296688,Minister Group Dhaka,3,10,12,1,0,83.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
['2022-01-21'],Bangladesh Premier League,1296686,Minister Group Dhaka,6,12,11,1,0,109.09,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2020-01-10'],Bangladesh Premier League,1208105,Rangpur Rangers,6,28,24,3,0,116.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,44,0,0,44
['2020-01-08'],Bangladesh Premier League,1208104,Rangpur Rangers,8,8,11,1,0,72.73,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,12,0,8,20
['2020-01-03'],Bangladesh Premier League,1208098,Rangpur Rangers,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2020-01-02'],Bangladesh Premier League,1208095,Rangpur Rangers,8,4,7,0,0,57.14,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,4,0,20,24
['2019-12-31'],Bangladesh Premier League,1208094,Rangpur Rangers,8,19,8,4,0,237.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,35,0,8,43
