date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-08-24'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444963,Vanuatu,7,0,1,0,0,0.0,"7,9",2.0,12,6,0,5,0,0,0,0,0,0,0,2.5,2,0,0,0,0,-2,12,16,26
['2024-08-23'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444960,Vanuatu,7,25,16,0,2,156.25,"11,13,17",3.0,18,9,0,17,2,0,0,0,0,2,0,5.67,0,0,0,0,4,45,13,0,58
['2024-08-21'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444959,Vanuatu,6,0,2,0,0,0.0,17,0.333,2,0,0,7,0,1,0,0,0,0,0,21.02,0,0,0,0,0,-2,0,0,-2
['2024-08-20'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444956,Vanuatu,5,0,1,0,0,0.0,7,1.0,6,1,0,10,0,1,0,0,0,0,0,10.0,1,0,0,0,0,-2,1,8,7
['2024-08-19'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444955,Vanuatu,2,10,14,1,0,71.43,"7,9,13",3.0,18,7,0,18,2,0,1,0,1,0,1,6.0,0,0,0,0,0,14,42,0,56
['2024-08-17'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444952,Vanuatu,4,0,2,0,0,0.0,5,1.0,6,1,0,17,2,1,0,0,0,0,0,17.0,0,0,0,0,0,-2,1,0,-1
['2024-03-11'],Malaysia Open T20 Championship,1422817,Vanuatu,7,14,16,0,2,87.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,26,0,0,26
['2024-03-10'],Malaysia Open T20 Championship,1422815,Vanuatu,5,16,12,1,1,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,28,0,0,28
['2024-03-07'],Malaysia Open T20 Championship,1422812,Vanuatu,7,19,20,0,2,95.0,"9,11",2.0,12,3,0,18,2,0,1,0,0,0,2,9.0,0,0,0,0,0,31,28,0,59
['2024-03-06'],Malaysia Open T20 Championship,1422810,Vanuatu,4,14,14,0,1,100.0,"12,14,18",3.0,18,6,0,19,1,0,2,0,2,1,1,6.33,0,0,1,0,0,20,74,12,106
['2024-03-05'],Malaysia Open T20 Championship,1422807,Vanuatu,7,9,4,2,0,225.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,17,0,8,25
['2023-07-29'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383099,Vanuatu,7,8,8,0,1,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,14,0,12,26
['2022-09-13'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333925,Vanuatu,2,24,19,1,2,126.32,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,40,0,0,40
['2022-09-11'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333922,Vanuatu,8,4,7,0,0,57.14,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2022-09-10'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333921,Vanuatu,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
