date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-27'],Big Bash League,1443100,Hobart Hurricanes,10,0,0,0,0,0.0,"5,9",2.0,12,3,0,24,2,1,0,0,0,0,0,12.0,0,0,0,0,0,0,-1,0,-1
['2025-01-21'],Big Bash League,1443097,Hobart Hurricanes,10,0,0,0,0,0.0,"5,8,11",3.0,18,3,0,31,2,2,0,0,0,0,0,10.33,1,0,0,0,0,0,1,8,9
['2025-01-16'],Big Bash League,1443092,Hobart Hurricanes,9,0,0,0,0,0.0,"6,8",2.0,12,1,0,17,1,0,0,0,0,0,1,8.5,0,0,0,0,0,0,1,0,1
['2025-01-14'],Big Bash League,1443090,Hobart Hurricanes,9,0,0,0,0,0.0,"5,8,13,15",4.0,24,7,0,29,3,0,0,0,0,0,1,7.25,0,0,0,0,0,0,7,0,7
['2025-01-10'],Big Bash League,1443085,Hobart Hurricanes,9,0,0,0,0,0.0,"6,8,12,14",4.0,24,9,0,29,4,0,0,0,0,0,0,7.25,0,0,0,0,0,0,9,0,9
['2025-01-01'],Big Bash League,1443074,Hobart Hurricanes,8,2,6,0,0,33.33,"6,9,14",3.0,18,5,0,15,0,0,1,0,0,0,1,5.0,1,0,0,0,0,2,34,8,44
['2024-01-15'],Big Bash League,1386131,Hobart Hurricanes,10,0,0,0,0,0.0,"5,8,14,20",4.0,24,7,0,46,3,3,0,0,0,0,2,11.5,0,0,0,0,0,0,3,0,3
['2023-12-11'],Big Bash League,1386098,Hobart Hurricanes,10,5,3,0,0,166.67,"9,11,13,16",4.0,24,5,0,27,1,0,0,0,0,0,0,6.75,1,0,0,0,0,5,7,8,20
['2023-09-19'],Caribbean Premier League,1369588,St Lucia Kings,11,9,6,1,0,150.0,"1,15",2.0,12,4,0,18,1,1,0,0,0,0,1,9.0,0,0,0,0,0,13,4,0,17
['2023-09-14'],Caribbean Premier League,1369583,St Lucia Kings,10,0,0,0,0,0.0,"11,13,16,18",4.0,24,7,0,43,3,3,0,0,0,0,3,10.75,0,0,0,0,0,0,5,0,5
['2023-09-10'],Caribbean Premier League,1369581,St Lucia Kings,11,0,0,0,0,0.0,"11,13,15,18",4.0,24,6,0,32,1,2,0,0,0,0,1,8.0,3,0,0,0,0,0,6,28,34
['2023-09-09'],Caribbean Premier League,1369578,St Lucia Kings,11,0,0,0,0,0.0,"9,11,13,15",4.0,24,10,0,32,2,2,0,0,0,0,0,8.0,0,0,0,0,0,0,10,0,10
['2023-09-02'],Caribbean Premier League,1369573,St Lucia Kings,11,0,0,0,0,0.0,"10,12,14",3.0,18,15,0,4,0,0,2,1,0,0,1,1.33,1,0,0,0,0,0,79,8,87
['2023-08-26'],Caribbean Premier League,1369566,St Lucia Kings,9,0,0,0,0,0.0,"7,9,11",3.0,18,7,0,15,1,0,1,1,0,0,0,5.0,1,0,0,0,0,0,44,8,52
['2023-08-16'],Caribbean Premier League,1369558,St Lucia Kings,10,1,1,0,0,100.0,"7,11",2.0,12,4,0,18,1,1,0,0,0,0,2,9.0,2,0,0,1,0,1,4,22,27
['2023-07-02'],Vitality Blast,1347687,Glamorgan,11,4,3,0,0,133.33,"5,9",2.0,12,6,0,11,2,0,2,0,1,0,0,5.5,0,0,0,0,0,4,68,0,72
['2023-06-30'],Vitality Blast,1347677,Glamorgan,11,0,0,0,0,0.0,"8,10",1.333,8,3,0,6,0,0,1,1,0,0,0,4.5,0,0,0,0,0,0,36,0,36
['2023-06-23'],Vitality Blast,1347673,Glamorgan,10,2,1,0,0,200.0,"8,12,15,18",4.0,24,4,0,30,3,0,0,0,0,0,0,7.5,0,0,0,0,0,2,4,0,6
['2023-06-21'],Vitality Blast,1347663,Glamorgan,10,14,9,0,1,155.56,"7,9,13,15",4.0,24,7,0,33,2,0,0,0,0,0,7,8.25,0,0,0,0,0,20,7,0,27
