date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-06-16'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436491,Luxembourg,10,0,0,0,0,0.0,"2,4",2.0,12,4,0,19,3,0,0,0,0,0,1,9.5,0,0,0,0,0,0,4,0,4
['2024-06-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436487,Luxembourg,9,5,6,1,0,83.33,"2,4,14,16",4.0,24,11,0,27,4,0,1,1,0,0,0,6.75,0,0,0,0,0,9,46,0,55
['2024-06-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436484,Luxembourg,8,0,0,0,0,0.0,"2,4,16,18",4.0,24,10,0,28,3,1,0,0,0,0,0,7.0,1,0,0,0,0,0,12,8,20
['2024-06-12'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436481,Luxembourg,11,0,0,0,0,0.0,"2,4,8",3.0,18,9,0,16,2,0,1,0,1,0,0,5.33,1,0,0,0,0,0,46,8,54
['2024-06-09'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1436471,Luxembourg,11,3,7,0,0,42.86,"2,4,13,17",4.0,24,9,0,40,3,3,2,0,0,0,0,10.0,2,0,0,0,0,3,57,16,76
['2023-10-15'],Luxembourg tour of Gibraltar,1400055,Luxembourg,11,0,0,0,0,0.0,"1,3,5,15",4.0,24,11,0,23,1,0,1,0,0,0,3,5.75,2,0,0,0,0,0,40,16,56
['2023-10-15'],Luxembourg tour of Gibraltar,1400056,Luxembourg,10,1,2,0,0,50.0,"1,3,5,15",4.0,24,10,0,24,2,1,2,0,0,0,0,6.0,2,0,0,0,0,1,62,16,79
['2023-07-16'],Valletta Cup,1384599,Luxembourg,8,0,3,0,0,0.0,"1,3,5",3.0,18,6,0,24,2,1,1,0,1,0,1,8.0,0,0,1,0,0,-2,39,12,49
['2023-07-15'],Valletta Cup,1384595,Luxembourg,11,0,0,0,0,0.0,"1,3,5",3.0,18,8,0,27,1,2,0,0,0,0,3,9.0,1,0,0,0,0,0,8,8,16
['2023-07-15'],Valletta Cup,1384597,Luxembourg,11,0,0,0,0,0.0,"1,3,5,13",4.0,24,13,0,42,3,4,1,0,0,0,1,10.5,0,0,0,0,0,0,36,0,36
['2023-07-14'],Valletta Cup,1384592,Luxembourg,11,0,0,0,0,0.0,"1,3,15",3.0,18,8,0,22,0,2,1,0,0,0,0,7.33,0,0,0,0,0,0,33,0,33
['2023-07-13'],Valletta Cup,1384589,Luxembourg,11,0,0,0,0,0.0,"1,5,7",3.0,18,6,0,32,4,1,0,0,0,0,0,10.67,0,0,0,0,0,0,4,0,4
['2023-07-12'],Mdina Cup,1384586,Luxembourg,10,0,0,0,0,0.0,"1,3,11,13",4.0,24,12,0,22,1,1,2,0,0,0,1,5.5,1,0,0,0,0,0,66,8,74
['2023-07-12'],Mdina Cup,1384587,Luxembourg,10,0,2,0,0,0.0,"1,3",2.0,12,8,0,9,1,0,1,0,1,0,1,4.5,0,0,0,0,0,-2,47,0,45
['2023-07-11'],Mdina Cup,1384584,Luxembourg,10,1,5,0,0,20.0,"1,3",2.0,12,7,0,15,2,0,0,0,0,0,2,7.5,0,0,0,0,0,1,7,0,8
['2023-07-11'],Mdina Cup,1384585,Luxembourg,10,1,1,0,0,100.0,"1,3,5,7",4.0,24,12,0,33,3,1,1,0,0,0,4,8.25,0,0,0,0,0,1,37,0,38
['2022-07-30'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321299,Luxembourg,10,1,3,0,0,33.33,"11,13",2.0,12,5,0,13,2,0,0,0,0,0,0,6.5,0,0,0,0,0,1,7,0,8
['2022-07-10'],Central Europe Cup,1321309,Luxembourg,10,13,5,1,1,260.0,"7,9,18",3.0,18,4,0,52,3,4,1,0,0,0,8,17.33,0,0,0,0,0,23,23,0,46
['2022-07-09'],Central Europe Cup,1321308,Luxembourg,6,4,4,0,0,100.0,"5,7",2.0,12,4,0,20,3,0,0,0,0,0,0,10.0,0,0,0,0,0,4,2,0,6
['2022-07-08'],Central Europe Cup,1321305,Luxembourg,9,0,0,0,0,0.0,"2,4,13",3.0,18,6,0,23,2,0,0,0,0,0,3,7.67,0,0,0,0,0,0,6,0,6
['2022-07-08'],Central Europe Cup,1321306,Luxembourg,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2021-09-05'],Continental Cup,1275277,Luxembourg,10,21,19,0,1,110.53,"2,4,6,16",4.0,24,14,0,26,1,2,1,0,0,0,2,6.5,0,0,0,0,0,27,41,0,68
['2021-09-02'],Continental Cup,1275269,Luxembourg,10,0,0,0,0,0.0,"4,6,8,10",4.0,24,13,0,19,1,0,2,0,1,0,4,4.75,2,0,0,0,0,0,77,16,93
