date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-11-09'],Syed Mushtaq Ali Trophy,1280282,Jharkhand,3,24,16,3,0,150.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,36,0,12,48
['2021-11-06'],Syed Mushtaq Ali Trophy,1280243,Jharkhand,4,13,12,1,0,108.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2021-11-05'],Syed Mushtaq Ali Trophy,1280224,Jharkhand,4,16,17,1,0,94.12,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,20,0,0,20
['2021-10-05'],Indian Premier League,1254093,Mumbai Indians,5,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2021-10-02'],Indian Premier League,1254112,Mumbai Indians,4,15,18,1,0,83.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2021-09-28'],Indian Premier League,1254099,Mumbai Indians,4,45,37,3,2,121.62,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,73,0,0,73
['2021-09-23'],Indian Premier League,1254096,Mumbai Indians,7,5,2,1,0,250.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2021-09-19'],Indian Premier League,1254104,Mumbai Indians,5,50,40,5,0,125.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,78,0,8,86
['2021-01-18'],Syed Mushtaq Ali Trophy,1244386,Jharkhand,4,9,13,0,0,69.23,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,7,0,0,7
['2021-01-16'],Syed Mushtaq Ali Trophy,1244368,Jharkhand,4,17,15,0,1,113.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,23,0,0,23
['2021-01-14'],Syed Mushtaq Ali Trophy,1244347,Jharkhand,4,57,32,5,3,178.12,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,109,0,8,117
['2021-01-10'],Syed Mushtaq Ali Trophy,1244310,Jharkhand,5,9,18,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,5,0,0,5
['2020-11-03'],Indian Premier League,1216495,Mumbai Indians,6,1,3,0,0,33.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2020-10-31'],Indian Premier League,1216535,Mumbai Indians,4,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2020-10-28'],Indian Premier League,1216499,Mumbai Indians,4,5,8,0,0,62.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,5,0,8,13
['2020-10-25'],Indian Premier League,1216541,Mumbai Indians,4,34,25,4,1,136.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,62,0,0,62
['2020-10-23'],Indian Premier League,1216521,Mumbai Indians,4,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2020-09-23'],Indian Premier League,1216508,Mumbai Indians,4,21,13,1,1,161.54,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,35,0,0,35
['2020-09-19'],Indian Premier League,1216492,Mumbai Indians,4,42,31,3,1,135.48,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,66,0,0,66
['2019-11-27'],Syed Mushtaq Ali Trophy,1205858,Jharkhand,1,24,27,4,0,88.89,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,40,0,0,40
['2019-11-24'],Syed Mushtaq Ali Trophy,1205851,Jharkhand,2,27,25,3,0,108.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,43,0,0,43
['2019-11-22'],Syed Mushtaq Ali Trophy,1205846,Jharkhand,4,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2019-11-15'],Syed Mushtaq Ali Trophy,1205812,Jharkhand,4,24,18,1,2,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,42,0,0,42
['2019-11-14'],Syed Mushtaq Ali Trophy,1205802,Jharkhand,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-11-12'],Syed Mushtaq Ali Trophy,1205785,Jharkhand,4,28,29,4,0,96.55,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,48,0,8,56
['2019-11-09'],Syed Mushtaq Ali Trophy,1205748,Jharkhand,4,39,27,2,2,144.44,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,65,0,0,65
['2019-03-10'],Syed Mushtaq Ali Trophy,1175035,Jharkhand,4,5,3,1,0,166.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2019-03-09'],Syed Mushtaq Ali Trophy,1175031,Jharkhand,4,3,5,0,0,60.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,3,0,12,15
['2019-03-08'],Syed Mushtaq Ali Trophy,1175025,Jharkhand,4,13,9,0,1,144.44,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2019-03-02'],Syed Mushtaq Ali Trophy,1157194,Jharkhand,4,50,24,2,5,208.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,102,0,0,102
['2019-02-28'],Syed Mushtaq Ali Trophy,1157176,Jharkhand,4,54,32,5,2,168.75,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,98,0,8,106
['2019-02-24'],Syed Mushtaq Ali Trophy,1157126,Jharkhand,9,0,0,0,0,0.0,16,1.0,6,3,0,8,0,1,0,0,0,0,0,8.0,0,0,0,0,0,0,3,0,3
['2019-02-22'],Syed Mushtaq Ali Trophy,1157109,Jharkhand,10,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-02-21'],Syed Mushtaq Ali Trophy,1157091,Jharkhand,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2018-01-24'],Syed Mushtaq Ali Trophy,1133414,Jharkhand,4,12,4,3,0,300.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2018-01-22'],Syed Mushtaq Ali Trophy,1133405,Jharkhand,5,10,12,0,0,83.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2018-01-21'],Syed Mushtaq Ali Trophy,1133402,Jharkhand,4,32,22,2,2,145.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,58,0,8,66
['2018-01-16'],Syed Mushtaq Ali Trophy,1130684,Jharkhand,4,10,14,0,1,71.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2018-01-14'],Syed Mushtaq Ali Trophy,1130725,Jharkhand,4,19,23,0,1,82.61,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,25,0,8,33
['2018-01-12'],Syed Mushtaq Ali Trophy,1130711,Jharkhand,5,11,11,0,1,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2018-01-10'],Syed Mushtaq Ali Trophy,1130700,Jharkhand,4,5,7,0,0,71.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,5,0,16,21
['2017-05-13'],Indian Premier League,1082644,Mumbai Indians,1,52,43,9,0,120.93,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,96,0,0,96
['2016-05-21'],Indian Premier League,981005,Rising Pune Supergiants,4,17,15,1,1,113.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,27,0,8,35
['2016-05-17'],Indian Premier League,980997,Rising Pune Supergiants,4,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2016-05-14'],Indian Premier League,980989,Rising Pune Supergiants,4,13,12,1,0,108.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2016-05-10'],Indian Premier League,980979,Rising Pune Supergiants,5,9,10,1,0,90.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,13,0,28,41
['2016-05-07'],Indian Premier League,980969,Rising Pune Supergiants,3,52,39,9,0,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,98,0,0,98
['2016-05-05'],Indian Premier League,980965,Rising Pune Supergiants,3,21,16,1,1,131.25,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,2,33,0,12,45
['2016-05-01'],Indian Premier League,980957,Rising Pune Supergiants,2,57,45,4,2,126.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,93,0,0,93
['2016-04-29'],Indian Premier League,980949,Rising Pune Supergiants,2,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,0,12,13
['2016-04-26'],Indian Premier League,980943,Rising Pune Supergiants,5,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2016-04-24'],Indian Premier League,980939,Rising Pune Supergiants,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,6,6
['2016-01-18'],Syed Mushtaq Ali Trophy,955063,Jharkhand,5,22,17,3,0,129.41,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,34,0,0,34
['2016-01-16'],Syed Mushtaq Ali Trophy,955055,Jharkhand,4,9,9,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13
['2016-01-10'],Syed Mushtaq Ali Trophy,902235,Jharkhand,4,29,19,3,1,152.63,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,55,0,8,63
