date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-10-23'],Syed Mushtaq Ali Trophy,1383523,Tripura,10,3,6,0,0,50.0,"13,15",2.0,12,3,0,17,1,1,0,0,0,0,0,8.5,0,0,0,0,0,3,3,0,6
['2019-11-17'],Syed Mushtaq Ali Trophy,1205825,Tripura,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-03-02'],Syed Mushtaq Ali Trophy,1157208,Tripura,2,0,0,0,0,0.0,2,1.0,6,1,0,11,2,0,1,0,0,0,0,11.0,0,0,0,0,0,0,26,0,26
['2019-02-28'],Syed Mushtaq Ali Trophy,1157191,Tripura,8,0,0,0,0,0.0,"6,12,17,19",4.0,24,8,0,22,2,0,2,1,0,0,0,5.5,0,0,0,0,0,0,70,0,70
['2019-02-25'],Syed Mushtaq Ali Trophy,1157158,Tripura,2,4,4,1,0,100.0,"4,6,15,18",4.0,24,8,0,18,0,0,2,0,1,0,0,4.5,0,0,0,0,0,8,72,0,80
['2019-02-24'],Syed Mushtaq Ali Trophy,1157141,Tripura,3,27,22,0,3,122.73,"6,12,14,18",4.0,24,6,0,30,3,0,1,0,0,0,1,7.5,0,0,0,0,0,49,31,0,80
['2019-02-22'],Syed Mushtaq Ali Trophy,1157124,Tripura,8,9,5,0,1,180.0,"8,10",2.0,12,2,0,15,1,0,0,0,0,0,1,7.5,0,0,0,0,0,15,2,0,17
['2019-02-21'],Syed Mushtaq Ali Trophy,1157104,Tripura,9,4,4,1,0,100.0,"14,16",2.0,12,6,0,10,1,0,0,0,0,0,0,5.0,0,0,0,0,0,8,10,0,18
['2018-01-12'],Syed Mushtaq Ali Trophy,1130723,Tripura,8,8,10,0,0,80.0,"14,17,19",3.0,18,4,0,24,3,0,2,0,1,0,0,8.0,1,0,0,0,0,8,62,8,78
['2018-01-10'],Syed Mushtaq Ali Trophy,1130700,Tripura,7,1,2,0,0,50.0,"10,17,19",3.0,18,5,0,20,1,1,0,0,0,0,0,6.67,0,0,0,0,0,1,7,0,8
['2018-01-08'],Syed Mushtaq Ali Trophy,1130666,Tripura,10,0,0,0,0,0.0,"15,17,19",3.0,18,3,0,21,1,0,0,0,0,0,1,7.0,0,0,0,0,0,0,5,0,5
['2016-01-09'],Syed Mushtaq Ali Trophy,902217,Tripura,9,6,9,0,0,66.67,"8,10,12,14",4.0,24,11,0,27,4,0,1,0,0,0,0,6.75,1,0,0,0,0,6,38,8,52
['2016-01-07'],Syed Mushtaq Ali Trophy,902191,Tripura,9,3,4,0,0,75.0,"12,14,16",2.5,15,3,0,22,3,0,0,0,0,0,0,8.8,0,0,0,0,0,3,3,0,6
['2016-01-06'],Syed Mushtaq Ali Trophy,902169,Tripura,8,12,9,2,0,133.33,"14,16,18,20",3.167,19,7,0,17,1,0,3,0,0,0,1,5.37,0,0,1,0,0,20,90,12,122
['2016-01-04'],Syed Mushtaq Ali Trophy,902143,Tripura,8,16,24,0,1,66.67,"7,9",2.0,12,2,0,18,2,0,0,0,0,0,2,9.0,0,0,0,0,-2,20,2,0,22
['2016-01-03'],Syed Mushtaq Ali Trophy,902121,Tripura,8,1,2,0,0,50.0,"7,9",2.0,12,2,0,17,2,0,0,0,0,0,0,8.5,1,0,0,0,0,1,2,8,11
['2016-01-02'],Syed Mushtaq Ali Trophy,902097,Tripura,9,5,10,0,0,50.0,"7,9,11,13",4.0,24,6,0,22,1,0,2,0,2,0,0,5.5,0,0,0,0,-4,1,76,0,77
