date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-10-20'],ICC Men's T20 World Cup,1298144,United Arab Emirates,9,0,0,0,0,0.0,7,1.0,6,1,0,9,1,0,0,0,0,0,0,9.0,1,0,0,1,0,0,1,14,15
['2022-08-21'],Men's T20 Asia Cup Qualifier,1328850,United Arab Emirates,8,0,0,0,0,0.0,"8,10",2.0,12,4,0,19,2,1,1,0,0,0,0,9.5,0,0,0,0,0,0,29,0,29
['2022-02-24'],ICC Men's T20 World Cup Qualifier A,1299585,United Arab Emirates,9,0,0,0,0,0.0,"8,12,16",3.0,18,1,0,27,1,1,0,0,0,0,1,9.0,0,0,0,0,0,0,1,0,1
['2022-02-22'],ICC Men's T20 World Cup Qualifier A,1299580,United Arab Emirates,9,6,4,1,0,150.0,"9,13,16,18",4.0,24,12,0,19,0,1,5,1,0,0,1,4.75,0,0,0,0,0,10,163,0,173
['2022-02-21'],ICC Men's T20 World Cup Qualifier A,1299575,United Arab Emirates,11,0,0,0,0,0.0,"8,10,12",3.0,18,9,0,17,1,1,0,0,0,0,0,5.67,0,0,0,0,0,0,13,0,13
['2022-02-19'],ICC Men's T20 World Cup Qualifier A,1299572,United Arab Emirates,9,0,0,0,0,0.0,"7,9",2.0,12,4,0,25,1,1,0,0,0,0,9,12.5,0,0,0,0,0,0,-2,0,-2
['2022-02-18'],ICC Men’s T20 World Cup Qualifier A,1299568,United Arab Emirates,9,0,0,0,0,0.0,"8,10,12,14",4.0,24,9,0,25,1,1,1,0,1,0,0,6.25,1,0,0,0,0,0,44,8,52
['2022-02-14'],Oman Quadrangular T20I Series,1299595,United Arab Emirates,8,0,2,0,0,0.0,11,1.0,6,1,0,14,1,1,0,0,0,0,0,14.0,0,0,0,0,0,-2,1,0,-1
['2022-02-13'],Oman Quadrangular T20I Series,1299592,United Arab Emirates,10,0,0,0,0,0.0,"7,9,11,13",4.0,24,6,0,25,0,1,0,0,0,0,0,6.25,2,0,0,0,0,0,8,16,24
['2022-02-12'],Oman Quadrangular T20I Series,1299638,United Arab Emirates,7,0,0,0,0,0.0,"7,9,15",3.0,18,5,0,29,5,0,0,0,0,0,0,9.67,1,0,0,0,0,0,5,8,13
['2021-10-10'],Ireland tour of United Arab Emirates,1280062,United Arab Emirates,8,0,0,0,0,0.0,"7,9,11,13",4.0,24,4,0,24,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,6,0,6
['2021-10-08'],Ireland tour of United Arab Emirates,1280061,United Arab Emirates,8,0,0,0,0,0.0,"9,11",2.0,12,2,0,19,0,1,1,0,0,0,1,9.5,0,0,0,0,0,0,27,0,27
['2021-10-07'],Ireland tour of United Arab Emirates,1280060,United Arab Emirates,9,12,7,0,1,171.43,"8,10",2.0,12,1,0,19,2,0,0,0,0,0,0,9.5,0,0,0,0,0,18,1,0,19
