date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-11-13'],ICC Men's T20 World Cup Americas Region Qualifier,1286685,Canada,4,0,0,0,0,0.0,2,1.0,6,1,0,12,2,0,0,0,0,0,0,12.0,0,0,0,0,0,0,1,0,1
['2021-11-10'],ICC Men's T20 World Cup Americas Region Qualifier,1286674,Canada,7,0,0,0,0,0.0,"1,3,19",3.0,18,8,0,30,5,1,0,0,0,0,0,10.0,0,0,0,0,0,0,6,0,6
['2021-11-08'],ICC Men's T20 World Cup Americas Region Qualifier,1286670,Canada,8,0,0,0,0,0.0,"2,4,19",3.0,18,14,1,7,0,0,3,1,2,0,1,2.33,1,0,0,0,0,0,135,8,143
['2018-09-26'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157701,Canada,8,0,0,0,0,0.0,"1,3,5,8",4.0,24,18,1,10,1,0,3,1,0,0,0,2.5,1,0,0,0,0,0,123,8,131
['2018-09-25'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157699,Canada,11,0,0,0,0,0.0,"1,3,16,18",4.0,24,12,0,29,2,1,2,0,2,1,2,7.25,0,0,0,0,0,0,78,0,78
['2018-09-21'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157692,Canada,6,0,0,0,0,0.0,"1,3,5",3.0,18,15,0,6,0,0,1,0,1,0,3,2.0,0,0,0,0,0,0,54,0,54
['2018-09-19'],ICC World Twenty20 Americas Sub Regional Qualifier A,1157691,Canada,6,0,0,0,0,0.0,"1,3",2.0,12,11,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,17,0,17
['2015-07-17'],ICC World Twenty20 Qualifier,875517,Canada,10,0,0,0,0,0.0,"2,16,18",2.5,15,4,0,26,4,0,2,0,1,0,1,10.4,0,0,0,0,0,0,60,0,60
['2015-07-16'],ICC World Twenty20 Qualifier,875511,Canada,11,0,0,0,0,0.0,"2,4",2.0,12,6,0,15,3,0,0,0,0,0,0,7.5,0,0,0,0,0,0,6,0,6
['2015-07-14'],ICC World Twenty20 Qualifier,875497,Canada,11,2,4,0,0,50.0,"1,3,17,19",4.0,24,9,0,32,0,3,2,1,1,0,0,8.0,0,0,0,0,0,2,75,0,77
['2015-07-10'],ICC World Twenty20 Qualifier,875463,Canada,10,0,0,0,0,0.0,"1,3,15",3.0,18,5,0,32,3,2,0,0,0,0,1,10.67,0,0,0,0,0,0,3,0,3
