date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2014-12-05'],Pakistan v New Zealand T20I Series,754039,New Zealand,10,6,3,1,0,200.0,"4,6,17,19",3.833,23,10,0,26,2,1,3,0,0,0,1,6.78,0,0,0,0,0,10,91,0,101
['2014-03-31'],World T20,682955,New Zealand,8,4,9,1,0,44.44,"1,3,17,19",4.0,24,10,0,30,4,1,1,0,0,0,0,7.5,0,0,0,0,0,8,35,0,43
['2014-03-29'],World T20,682945,New Zealand,10,0,0,0,0,0.0,"1,3,18",3.0,18,9,0,20,2,1,1,0,0,0,0,6.67,0,0,0,0,0,0,36,0,36
['2014-03-24'],World T20,682931,New Zealand,10,0,0,0,0,0.0,"1,3,15,19",4.0,24,8,0,29,2,1,1,0,0,0,0,7.25,0,0,0,0,0,0,33,0,33
['2014-03-22'],ICC Men's T20 World Cup,682925,New Zealand,10,0,0,0,0,0.0,"1,3,14,19",4.0,24,9,0,36,4,1,1,0,0,0,2,9.0,0,0,0,0,0,0,34,0,34
['2013-11-21'],New Zealand in Sri Lanka T20I Series,668969,New Zealand,10,0,0,0,0,0.0,"1,3,13",3.0,18,10,0,26,3,1,0,0,0,0,1,8.67,0,0,0,0,0,0,10,0,10
['2013-11-06'],NA,668959,New Zealand,9,0,0,0,0,0.0,"5,7,15,18",4.0,24,7,0,32,3,1,1,0,0,0,0,8.0,1,0,0,0,0,0,32,8,40
['2012-10-30'],NA,582186,New Zealand,11,0,0,0,0,0.0,1,1.0,6,3,0,3,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,3,0,3
['2012-10-01'],ICC World Twenty20,533292,New Zealand,11,0,0,0,0,0.0,"1,3",2.0,12,6,0,25,4,1,0,0,0,1,0,12.5,0,0,0,0,0,0,0,0,0
['2012-09-29'],ICC World Twenty20,533288,New Zealand,11,0,0,0,0,0.0,"1,3,5,17",4.0,24,14,0,23,3,0,1,0,0,0,1,5.75,0,0,0,0,0,0,43,0,43
['2012-09-27'],ICC World Twenty20,533284,New Zealand,11,0,0,0,0,0.0,"2,4",2.0,12,5,0,15,1,1,0,0,0,0,0,7.5,0,0,0,0,0,0,5,0,5
['2012-09-23'],ICC World Twenty20,533280,New Zealand,10,0,1,0,0,0.0,"1,3,11,17",4.0,24,10,0,35,5,1,0,0,0,0,0,8.75,0,0,0,0,0,0,10,0,10
['2012-09-21'],ICC World Twenty20,533276,New Zealand,11,0,0,0,0,0.0,"1,3,5,17",4.0,24,10,0,33,4,1,3,0,0,0,0,8.25,0,0,0,0,0,0,89,0,89
['2012-09-11'],New Zealand in India T20I Series,565820,New Zealand,11,0,0,0,0,0.0,"1,3,11",3.0,18,8,0,17,2,0,2,0,0,0,0,5.67,1,0,0,0,0,0,62,8,70
['2012-07-01'],New Zealand v West Indies T20I Series,560922,New Zealand,11,1,1,0,0,100.0,"1,3,5,15",4.0,24,15,1,20,0,2,0,0,0,1,0,5.0,0,0,0,0,0,1,31,0,32
['2012-02-19'],South Africa in New Zealand T20I Series,520598,New Zealand,9,0,0,0,0,0.0,"8,10",2.0,12,2,0,26,2,2,0,0,0,0,0,13.0,0,0,0,0,0,0,-4,0,-4
['2012-02-17'],South Africa in New Zealand T20I Series,520597,New Zealand,9,0,0,0,0,0.0,"2,4,17,20",4.0,24,6,0,44,4,3,0,0,0,0,0,11.0,1,0,0,0,0,0,4,8,12
['2012-02-14'],Zimbabwe in New Zealand T20I Series,520596,New Zealand,8,0,0,0,0,0.0,"1,3,17,20",4.0,24,7,0,40,5,1,0,0,0,0,0,10.0,0,0,0,0,0,0,5,0,5
['2012-02-11'],Zimbabwe in New Zealand T20I Series,520595,New Zealand,9,0,0,0,0,0.0,"1,3,15,19",4.0,24,8,0,32,2,2,2,0,0,0,0,8.0,0,0,0,0,0,0,58,0,58
['2011-10-15'],New Zealand in Zimbabwe T20I Series,527012,New Zealand,10,0,0,0,0,0.0,"1,3,5,14",4.0,24,15,0,15,2,0,2,0,0,0,0,3.75,0,0,0,0,0,0,71,0,71
['2010-12-30'],Pakistan in New Zealand T20I Series,473920,New Zealand,9,7,9,1,0,77.78,"2,4,6,18",4.0,24,9,0,36,7,0,0,0,0,0,0,9.0,1,0,0,0,0,11,9,8,28
['2010-12-28'],Pakistan in New Zealand T20I Series,473919,New Zealand,8,0,1,0,0,0.0,"2,4,19",3.0,18,4,0,34,1,3,1,0,1,0,1,11.33,0,0,0,0,0,-2,33,0,31
