date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2020-03-03'],ACC Eastern Region T20,1217743,Thailand,11,0,0,0,0,0.0,4,1.0,6,4,0,8,1,0,0,0,0,0,3,8.0,0,0,0,0,0,0,4,0,4
['2020-03-01'],ACC Eastern Region T20,1217741,Thailand,8,2,3,0,0,66.67,"1,3,5",3.0,18,10,0,11,1,0,0,0,0,0,1,3.67,0,0,0,0,0,2,16,0,18
['2020-02-29'],ACC Eastern Region T20,1217738,Thailand,7,1,2,0,0,50.0,"18,20",2.0,12,5,0,11,0,1,2,1,0,0,1,5.5,0,0,0,0,0,1,67,0,68
['2019-06-29'],Malaysia Tri-Nation T20I Series,1186493,Thailand,11,0,0,0,0,0.0,"1,3,5,19",4.0,24,9,0,38,5,1,1,0,0,0,2,9.5,0,0,0,0,0,0,34,0,34
['2019-06-27'],Malaysia Tri-Nation T20I Series,1186491,Thailand,11,0,0,0,0,0.0,"1,3",2.0,12,5,0,19,3,0,1,0,1,0,2,9.5,0,0,0,0,0,0,38,0,38
['2019-06-26'],Malaysia Tri-Nation T20I Series,1186490,Thailand,11,0,0,0,0,0.0,"1,3,5,19",4.0,24,13,0,20,1,0,2,1,0,1,1,5.0,1,0,0,0,0,0,75,8,83
['2019-06-24'],Malaysia Tri-Nation T20I Series,1186488,Thailand,9,0,2,0,0,0.0,"1,3,5,17",4.0,24,13,0,26,3,1,2,0,0,0,2,6.5,0,0,0,0,0,0,65,0,65
['2018-10-07'],ICC World Twenty20 Asia Region Qualifier B,1160956,Thailand,10,0,1,0,0,0.0,"2,4",2.0,12,2,0,27,6,0,0,0,0,0,0,13.5,0,0,0,0,0,-2,-4,0,-6
['2018-10-04'],ICC World Twenty20 Asia Region Qualifier B,1160949,Thailand,11,0,0,0,0,0.0,"2,4",2.0,12,5,0,20,3,0,0,0,0,0,1,10.0,0,0,0,0,0,0,3,0,3
['2018-10-03'],ICC World Twenty20 Asia Region Qualifier B,1160946,Thailand,11,0,0,0,0,0.0,"1,3",2.0,12,11,0,5,1,0,0,0,0,0,1,2.5,0,0,0,0,0,0,17,0,17
