date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-10-25'],Syed Mushtaq Ali Trophy,1383526,Chhattisgarh,6,6,4,1,0,150.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2023-10-19'],Syed Mushtaq Ali Trophy,1383472,Chhattisgarh,6,9,12,0,0,75.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2023-10-17'],Syed Mushtaq Ali Trophy,1383453,Chhattisgarh,8,14,8,1,1,175.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,24,0,12,36
['2022-10-20'],Syed Mushtaq Ali Trophy,1333012,Goa,2,0,2,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,-2,0,16,14
['2022-10-14'],Syed Mushtaq Ali Trophy,1332956,Goa,6,19,17,1,0,111.76,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,23,0,12,35
['2021-11-09'],Syed Mushtaq Ali Trophy,1280275,Goa,3,0,4,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,-2,0,12,10
['2021-11-08'],Syed Mushtaq Ali Trophy,1280255,Goa,1,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,0,0,0,-2,0,40,38
['2021-11-06'],Syed Mushtaq Ali Trophy,1280236,Goa,4,8,14,1,0,57.14,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,8,0,0,8
['2021-11-05'],Syed Mushtaq Ali Trophy,1280219,Goa,4,11,9,1,0,122.22,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,15
['2021-11-04'],Syed Mushtaq Ali Trophy,1280200,Goa,3,8,19,0,0,42.11,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,2,0,0,2
['2021-01-17'],Syed Mushtaq Ali Trophy,1244372,Goa,1,38,32,3,1,118.75,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,60,0,8,68
['2021-01-15'],Syed Mushtaq Ali Trophy,1244355,Goa,7,32,29,2,1,110.34,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,50,0,0,50
['2021-01-13'],Syed Mushtaq Ali Trophy,1244335,Goa,7,1,1,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2021-01-11'],Syed Mushtaq Ali Trophy,1244317,Goa,8,45,18,5,2,250.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,87,0,8,95
['2019-03-12'],Syed Mushtaq Ali Trophy,1175042,Mumbai,2,46,36,3,1,127.78,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,68,0,8,76
['2019-03-11'],Syed Mushtaq Ali Trophy,1175038,Mumbai,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,16,16
['2019-03-09'],Syed Mushtaq Ali Trophy,1175030,Mumbai,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,28,28
['2018-01-11'],Syed Mushtaq Ali Trophy,1130690,Mumbai,1,2,5,0,0,40.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
