date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-07-16'],Vitality Blast,1250346,Surrey,7,0,0,0,0,0.0,"12,14",2.0,12,1,0,19,1,1,0,0,0,0,0,9.5,2,0,0,0,0,0,1,16,17
['2021-06-21'],Vitality Blast,1250289,Surrey,8,20,15,2,1,133.33,4,1.0,6,3,0,6,1,0,0,0,0,0,0,6.0,1,0,0,0,2,36,3,8,47
['2021-06-17'],Vitality Blast,1250271,Surrey,9,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2020-09-20'],Vitality Blast,1207779,Surrey,6,6,2,1,0,300.0,14,1.0,6,0,0,13,0,1,0,0,0,0,1,13.0,3,0,0,0,0,10,0,28,38
['2020-09-16'],Vitality Blast,1207767,Surrey,6,7,9,0,0,77.78,"5,14,16",3.0,18,4,0,17,1,0,1,0,1,0,0,5.67,0,0,0,0,0,7,41,0,48
['2019-08-08'],Vitality Blast,1167189,Surrey,6,1,4,0,0,25.0,"5,16",2.0,12,1,0,26,1,2,0,0,0,0,0,13.0,2,0,0,0,0,1,-5,16,12
['2019-08-02'],Vitality Blast,1167172,Surrey,9,0,0,0,0,0.0,16,1.0,6,1,0,12,0,1,0,0,0,0,1,12.0,0,0,0,0,0,0,1,0,1
['2019-07-30'],Vitality Blast,1167164,Surrey,6,0,2,0,0,0.0,3,1.0,6,1,0,21,0,3,0,0,0,0,0,21.0,0,0,0,0,0,0,1,0,1
['2019-07-26'],Vitality Blast,1167156,Surrey,7,16,19,3,0,84.21,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,28,0,8,36
['2019-07-25'],Vitality Blast,1167149,Surrey,5,1,3,0,0,33.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,16,17
['2019-07-23'],Vitality Blast,1167144,Surrey,5,9,4,2,0,225.0,"2,4,6",3.0,18,6,0,27,4,0,0,0,0,0,1,9.0,0,0,0,0,0,17,6,0,23
['2019-07-19'],Vitality Blast,1167131,Surrey,5,0,6,0,0,0.0,"7,13",2.0,12,0,0,33,0,3,0,0,0,4,2,16.5,0,0,0,0,0,-2,-6,0,-8
['2018-08-17'],Vitality Blast,1127571,Surrey,6,0,0,0,0,0.0,"4,12,16",3.0,18,3,0,35,5,1,1,0,0,0,0,11.67,1,0,0,0,0,0,24,8,32
