date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439831,Switzerland,10,0,0,0,0,0.0,"2,4,6,8",4.0,24,11,0,31,3,1,1,0,0,0,3,7.75,0,0,0,0,0,0,36,0,36
['2024-07-11'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439826,Switzerland,10,8,4,0,1,200.0,"2,4",2.0,12,7,0,15,3,0,1,0,0,0,0,7.5,1,0,0,0,0,14,32,8,54
['2024-07-07'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439815,Switzerland,8,0,0,0,0,0.0,"1,17",2.0,12,2,0,29,4,1,0,0,0,0,2,14.5,0,0,0,0,0,0,-4,0,-4
['2023-07-15'],Valletta Cup,1384596,Switzerland,9,0,0,0,0,0.0,1,1.0,6,3,0,14,0,2,0,0,0,0,0,14.0,0,0,0,0,0,0,3,0,3
['2023-07-14'],Valletta Cup,1384592,Switzerland,10,0,0,0,0,0.0,"1,3,5,7",4.0,24,13,0,19,1,0,1,0,0,0,2,4.75,0,0,0,0,0,0,44,0,44
['2023-07-14'],Valletta Cup,1384594,Switzerland,10,0,0,0,0,0.0,"1,3,5,7",4.0,24,15,1,19,1,1,1,0,0,0,2,4.75,0,0,0,0,0,0,58,0,58
['2023-07-13'],Valletta Cup,1384590,Switzerland,10,0,0,0,0,0.0,"1,3,5,7",4.0,24,15,0,24,1,2,0,0,0,0,2,6.0,1,0,0,0,0,0,17,8,25
['2022-07-31'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321303,Switzerland,11,0,1,0,0,0.0,"1,3,5,7",4.0,24,15,1,22,3,0,2,0,0,0,2,5.5,0,0,0,0,0,-2,81,0,79
['2022-07-30'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321298,Switzerland,10,0,0,0,0,0.0,"1,3,16",3.0,18,6,0,32,1,3,0,0,0,0,1,10.67,0,0,0,0,0,0,4,0,4
['2022-07-28'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321293,Switzerland,5,0,0,0,0,0.0,"1,3,18",3.0,18,7,0,37,3,3,1,0,1,0,2,12.33,2,0,0,0,0,0,34,16,50
['2022-07-27'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321290,Switzerland,7,0,0,0,0,0.0,"1,3,5,17",4.0,24,15,0,18,1,0,1,0,0,0,2,4.5,0,0,0,0,0,0,46,0,46
['2022-07-25'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321287,Switzerland,11,3,3,0,0,100.0,"1,3,17,19",4.0,24,9,0,25,0,2,0,0,0,0,0,6.25,1,0,0,0,0,3,11,8,22
['2021-10-24'],Valletta Cup,1282279,Switzerland,8,15,9,0,1,166.67,"1,3,5,13",4.0,24,11,0,29,0,1,2,0,0,0,6,7.25,0,0,0,0,0,21,61,0,82
['2021-10-23'],Valletta Cup,1282276,Switzerland,10,8,7,1,0,114.29,"1,3,5,15",4.0,24,10,0,30,3,1,3,0,0,0,0,7.5,0,0,0,0,0,12,89,0,101
['2021-10-22'],Valletta Cup,1282273,Switzerland,5,0,0,0,0,0.0,"1,3,5,15",4.0,24,10,0,27,0,2,2,0,0,0,1,6.75,0,0,0,0,0,0,62,0,62
['2021-10-22'],Valletta Cup,1282275,Switzerland,7,0,0,0,0,0.0,"1,3,5,19",4.0,24,14,0,18,1,0,2,0,0,0,5,4.5,0,0,0,0,0,0,70,0,70
