date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-06-29'],ICC Men's T20 World Cup,1415755,India,9,0,0,0,0,0.0,"6,8,12,14",4.0,24,6,0,45,3,3,0,0,0,0,0,11.25,1,0,0,0,0,0,2,8,10
['2024-06-27'],ICC Men's T20 World Cup,1415754,India,10,0,0,0,0,0.0,"7,9,11,13",4.0,24,12,0,19,2,0,3,2,1,0,0,4.75,0,0,0,1,0,0,121,6,127
['2024-06-24'],ICC Men's T20 World Cup,1415751,India,9,0,0,0,0,0.0,"7,9,12,14",4.0,24,9,0,24,1,1,2,0,1,0,0,6.0,1,0,0,0,0,0,69,8,77
['2024-06-22'],ICC Men's T20 World Cup,1415747,India,10,0,0,0,0,0.0,"8,10,12,14",4.0,24,11,0,19,0,1,3,2,0,0,0,4.75,0,0,0,0,0,0,112,0,112
['2024-05-14'],Indian Premier League,1426302,Delhi Capitals,11,0,0,0,0,0.0,"7,11,13,15",4.0,24,9,0,33,2,2,1,0,0,0,0,8.25,0,0,0,0,0,0,34,0,34
['2024-05-12'],Indian Premier League,1426300,Delhi Capitals,9,6,10,0,0,60.0,"7,9,15,17",4.0,24,5,0,52,0,6,1,0,0,0,1,13.0,1,0,0,0,-2,4,24,8,36
['2024-05-07'],Indian Premier League,1426294,Delhi Capitals,9,5,2,1,0,250.0,"7,9,12,18",4.0,24,10,0,25,0,2,2,1,0,1,0,6.25,0,0,0,0,0,9,70,0,79
['2024-04-29'],Indian Premier League,1426285,Delhi Capitals,9,35,26,5,1,134.62,"8,12,14,16",4.0,24,8,0,34,2,2,0,0,0,0,0,8.5,1,0,0,0,2,67,8,8,83
['2024-04-27'],Indian Premier League,1426281,Delhi Capitals,9,0,0,0,0,0.0,"7,9,15",3.0,18,2,0,47,5,3,0,0,0,0,1,15.67,0,0,0,0,0,0,-4,0,-4
['2024-04-24'],Indian Premier League,1426278,Delhi Capitals,9,0,0,0,0,0.0,"8,10,12,16",4.0,24,5,0,29,2,0,2,0,0,0,1,7.25,0,0,0,0,0,0,55,0,55
