date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-11-05'],CSA T20 Challenge,1334921,Titans,3,32,19,2,2,168.42,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,60,0,0,60
['2022-11-02'],CSA T20 Challenge,1334919,Titans,3,36,28,4,1,128.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,62,0,0,62
['2022-10-31'],CSA T20 Challenge,1334915,Titans,5,5,2,0,0,250.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,5,0,8,13
['2022-10-28'],CSA T20 Challenge,1334910,Titans,3,17,9,4,0,188.89,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33
['2022-10-22'],CSA T20 Challenge,1334902,Titans,3,36,32,2,1,112.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,54,0,8,62
['2022-10-21'],CSA T20 Challenge,1334899,Titans,5,2,3,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2022-10-19'],CSA T20 Challenge,1334895,Titans,5,22,12,0,2,183.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,40,0,0,40
['2022-10-17'],CSA T20 Challenge,1334891,Titans,4,20,22,1,1,90.91,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,30,0,0,30
['2022-02-27'],CSA T20 Challenge,1299632,Titans,2,11,11,2,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2022-02-25'],CSA T20 Challenge,1299630,Titans,1,18,12,4,0,150.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,34,0,0,34
['2022-02-22'],CSA T20 Challenge,1299626,Titans,2,25,19,3,1,131.58,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,49,0,0,49
['2022-02-19'],CSA T20 Challenge,1299622,Titans,1,37,29,1,2,127.59,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,57,0,28,85
['2022-02-17'],CSA T20 Challenge,1299618,Titans,2,63,51,6,1,123.53,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,101,0,0,101
['2022-02-14'],CSA T20 Challenge,1299614,Titans,1,24,23,3,1,104.35,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,42,0,0,42
['2022-02-12'],CSA T20 Challenge,1299611,Titans,3,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2022-02-09'],CSA T20 Challenge,1299606,Titans,4,2,1,0,0,200.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2022-02-07'],CSA T20 Challenge,1299603,Titans,3,17,9,3,0,188.89,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,29,0,0,29
['2021-02-21'],CSA T20 Challenge,1235380,Titans,3,12,15,0,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,12,0,8,20
['2021-02-19'],CSA T20 Challenge,1235387,Titans,1,0,4,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2019-04-26'],CSA T20 Challenge,1157250,Titans,4,45,37,5,1,121.62,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,75,0,0,75
