date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-08-27'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443783,Bulgaria,7,3,6,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,3,0,6,9
['2024-08-24'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443777,Bulgaria,2,6,9,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,6,0,0,6
['2024-08-21'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1443767,Bulgaria,2,0,3,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-05-26'],Continental Cup,1434161,Bulgaria,1,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-05-24'],Continental Cup,1434155,Bulgaria,1,42,28,5,2,150.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,78,0,0,78
['2024-05-24'],Continental Cup,1434157,Bulgaria,1,4,6,1,0,66.67,11,0.667,4,0,0,6,0,0,0,0,0,0,0,9.0,0,0,0,0,0,8,0,0,8
['2023-06-24'],Quadrangular Twenty20 Series (Bulgaria),1381458,Bulgaria,6,0,0,0,0,0.0,"12,14,16",3.0,18,11,0,17,1,1,0,0,0,0,1,5.67,1,0,1,0,0,0,15,20,35
['2023-06-23'],Quadrangular Twenty20 Series (Bulgaria),1381454,Bulgaria,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2023-06-23'],Quadrangular Twenty20 Series (Bulgaria),1381455,Bulgaria,7,11,10,2,0,110.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2022-07-31'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321301,Bulgaria,10,3,3,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2022-07-28'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321294,Bulgaria,11,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-07-27'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321291,Bulgaria,10,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2022-07-24'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321283,Bulgaria,11,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2021-09-03'],Continental Cup,1275271,Bulgaria,8,14,17,1,0,82.35,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2021-09-02'],Continental Cup,1275269,Bulgaria,8,0,2,0,0,0.0,"16,18",2.0,12,2,0,28,4,1,0,0,0,0,1,14.0,1,0,0,0,0,-2,-4,8,2
['2021-06-26'],Sofia Twenty20,1267311,Bulgaria,10,0,2,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2021-06-25'],Sofia Twenty20,1267307,Bulgaria,8,3,5,0,0,60.0,13,1.0,6,0,0,11,0,1,0,0,0,0,0,11.0,2,0,0,0,0,3,0,16,19
['2020-10-18'],Balkan Cup,1235832,Bulgaria,9,1,6,0,0,16.67,1,1.0,6,1,0,10,1,0,0,0,0,0,0,10.0,1,0,0,0,0,1,1,8,10
['2020-10-17'],Balkan Cup,1235830,Bulgaria,8,3,7,0,0,42.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2020-10-16'],Balkan Cup,1235829,Bulgaria,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
