date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-19'],Vitality Blast,1410489,Glamorgan,1,135,64,14,8,210.94,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,261,0,0,261
['2024-07-16'],Vitality Blast,1410481,Glamorgan,1,18,16,1,1,112.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,28,0,8,36
['2024-07-14'],Vitality Blast,1410476,Glamorgan,1,3,8,0,0,37.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11
['2024-07-12'],Vitality Blast,1410466,Glamorgan,1,7,6,1,0,116.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,11,0,16,27
['2024-07-07'],Vitality Blast,1410453,Glamorgan,1,11,12,0,1,91.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,17,0,8,25
['2024-07-05'],Vitality Blast,1410448,Glamorgan,1,87,46,9,3,189.13,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,159,0,0,159
['2024-06-21'],Vitality Blast,1410440,Glamorgan,1,1,6,0,0,16.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2024-06-20'],Vitality Blast,1410429,Glamorgan,1,4,5,0,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2024-06-16'],Vitality Blast,1410425,Glamorgan,1,8,6,2,0,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2024-06-07'],Vitality Blast,1410394,Glamorgan,2,36,32,2,2,112.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,60,0,8,68
['2024-06-06'],Vitality Blast,1410391,Glamorgan,2,54,24,3,5,225.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,110,0,0,110
