date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2016-07-10'],NatWest T20 Blast,947269,Glamorgan,9,0,0,0,0,0.0,"8,10,12",3.0,18,8,0,13,1,0,0,0,0,0,0,4.33,0,0,0,0,0,0,14,0,14
['2016-07-08'],NatWest T20 Blast,947257,Glamorgan,8,0,0,0,0,0.0,"12,14,16",3.0,18,3,0,32,2,2,0,0,0,0,1,10.67,0,0,0,0,0,0,1,0,1
['2016-07-07'],NatWest T20 Blast,947249,Glamorgan,9,6,8,0,0,75.0,10,1.0,6,1,0,17,2,1,0,0,0,0,0,17.0,0,0,0,0,0,6,1,0,7
['2016-06-24'],NatWest T20 Blast,947209,Glamorgan,8,0,0,0,0,0.0,"8,12,14,16",4.0,24,12,0,23,3,0,2,0,0,0,1,5.75,1,0,0,0,0,0,66,8,74
['2016-06-17'],NatWest T20 Blast,947179,Glamorgan,8,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2016-06-10'],NatWest T20 Blast,947153,Glamorgan,11,0,0,0,0,0.0,"10,12",2.0,12,1,0,16,0,1,1,0,0,0,0,8.0,0,0,0,0,0,0,26,0,26
['2016-06-03'],NatWest T20 Blast,947135,Glamorgan,11,0,0,0,0,0.0,"7,9,11,13",4.0,24,8,0,24,2,0,2,0,0,0,0,6.0,1,0,0,0,0,0,60,8,68
['2016-06-01'],NatWest T20 Blast,947117,Glamorgan,9,0,0,0,0,0.0,"7,9,11,13",4.0,24,8,0,22,1,0,1,0,0,0,0,5.5,0,0,0,0,0,0,37,0,37
['2016-05-26'],NatWest T20 Blast,947105,Glamorgan,10,0,0,0,0,0.0,"9,14,16,18",3.333,20,7,0,19,2,0,2,0,1,0,0,5.7,0,0,0,0,0,0,69,0,69
['2015-07-24'],NatWest T20 Blast,804685,Glamorgan,9,0,0,0,0,0.0,3,1.0,6,2,0,10,0,1,0,0,0,0,0,10.0,0,0,0,0,0,0,2,0,2
['2015-07-17'],NatWest T20 Blast,804669,Glamorgan,10,0,0,0,0,0.0,"2,10,12,14",4.0,24,4,0,28,2,0,1,0,0,0,1,7.0,0,0,0,0,0,0,31,0,31
['2015-07-10'],NatWest T20 Blast,804643,Glamorgan,10,0,0,0,0,0.0,"8,10,15",2.833,17,3,0,36,0,4,0,0,0,0,0,12.71,0,0,0,0,0,0,-3,0,-3
['2015-07-03'],NatWest T20 Blast,804615,Glamorgan,10,0,0,0,0,0.0,"1,5,13,19",4.0,24,7,0,30,2,1,2,1,0,0,0,7.5,1,0,0,0,0,0,65,8,73
['2015-06-28'],NatWest T20 Blast,804605,Glamorgan,10,0,0,0,0,0.0,"7,12,14,16",4.0,24,6,0,19,1,0,1,0,0,0,0,4.75,1,0,0,0,0,0,37,8,45
['2015-06-26'],NatWest T20 Blast,804591,Glamorgan,10,6,9,1,0,66.67,"7,14,16,18",4.0,24,9,0,25,1,1,4,0,0,0,0,6.25,0,0,0,0,0,10,119,0,129
['2015-06-21'],NatWest T20 Blast,804583,Glamorgan,10,4,5,0,0,80.0,"5,7,12",3.0,18,4,0,28,3,0,0,0,0,0,3,9.33,0,0,0,0,0,4,4,0,8
['2015-06-19'],NatWest T20 Blast,804567,Glamorgan,10,2,2,0,0,100.0,"8,10,14",3.0,18,1,0,30,2,0,0,0,0,0,2,10.0,1,0,0,0,0,2,-1,8,9
['2015-06-13'],NatWest T20 Blast,804549,Glamorgan,9,0,0,0,0,0.0,"10,12,14,16",4.0,24,4,0,30,1,1,2,0,1,0,1,7.5,1,0,0,0,0,0,62,8,70
['2015-06-12'],NatWest T20 Blast,804537,Glamorgan,9,0,0,0,0,0.0,"5,8,10,12",4.0,24,6,0,30,4,0,1,0,0,0,1,7.5,0,0,0,0,0,0,31,0,31
['2015-06-05'],NatWest T20 Blast,804511,Glamorgan,9,0,0,0,0,0.0,"12,14",2.0,12,2,0,22,1,1,1,0,1,0,1,11.0,0,0,0,0,0,0,33,0,33
['2015-05-29'],NatWest T20 Blast,804493,Glamorgan,10,2,3,0,0,66.67,"12,16,18",3.0,18,1,0,24,1,0,0,0,0,0,1,8.0,0,0,0,0,0,2,1,0,3
['2015-05-22'],NatWest T20 Blast,804469,Glamorgan,10,1,1,0,0,100.0,"6,8,10,12",4.0,24,6,0,32,3,1,1,0,0,0,0,8.0,0,0,0,0,0,1,31,0,32
['2015-05-15'],NatWest T20 Blast,804459,Glamorgan,10,0,0,0,0,0.0,"7,9,11,13",4.0,24,6,0,30,1,1,4,2,1,0,1,7.5,0,0,0,0,0,0,138,0,138
"['2014-08-01', '2014-08-02']",NatWest T20 Blast,693261,Glamorgan,10,0,0,0,0,0.0,"11,13,15,17",4.0,24,3,0,35,1,1,0,0,0,0,0,8.75,1,0,0,0,0,0,3,8,11
['2014-07-25'],NatWest T20 Blast,693247,Glamorgan,9,0,0,0,0,0.0,"8,10,15,18",4.0,24,1,0,30,0,1,0,0,0,0,0,7.5,1,0,0,0,0,0,1,8,9
['2014-07-18'],NatWest T20 Blast,693217,Glamorgan,10,0,0,0,0,0.0,"8,10,12,17",4.0,24,9,0,18,1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,15,0,15
['2014-07-15'],NatWest T20 Blast,693213,Glamorgan,9,3,3,0,0,100.0,"5,7,9",3.0,18,3,0,20,0,1,1,0,0,0,0,6.67,1,0,0,0,0,3,30,8,41
['2014-07-11'],NatWest T20 Blast,693197,Glamorgan,8,0,0,0,0,0.0,"7,9,11,13",4.0,24,4,0,32,2,1,0,0,0,0,0,8.0,1,0,0,0,0,0,4,8,12
['2014-07-03'],NatWest T20 Blast,693165,Glamorgan,9,0,0,0,0,0.0,"10,12,15,18",4.0,24,4,0,40,1,3,1,0,0,0,0,10.0,0,0,0,0,0,0,27,0,27
['2014-06-25'],NatWest T20 Blast,693135,Glamorgan,9,0,0,0,0,0.0,"9,13",2.0,12,1,0,37,2,4,0,0,0,0,0,18.5,0,0,0,0,0,0,-5,0,-5
['2014-06-20'],NatWest T20 Blast,693121,Glamorgan,10,6,4,0,0,150.0,"7,9,12,14",4.0,24,11,0,25,1,1,2,0,0,0,0,6.25,0,0,0,0,0,6,63,0,69
['2014-06-13'],NatWest T20 Blast,693099,Glamorgan,10,0,0,0,0,0.0,"10,12,14",3.0,18,1,0,42,1,4,1,0,1,0,0,14.0,0,0,0,0,0,0,28,0,28
['2014-06-08'],NatWest T20 Blast,693091,Glamorgan,9,0,0,0,0,0.0,"7,9,11,13",4.0,24,8,0,28,2,0,0,0,0,0,2,7.0,0,0,0,0,0,0,10,0,10
['2014-06-06'],NatWest T20 Blast,693073,Glamorgan,10,0,0,0,0,0.0,"7,9,11,14",4.0,24,2,0,37,3,0,0,0,0,0,1,9.25,1,0,0,0,0,0,2,8,10
['2014-05-30'],NatWest T20 Blast,693057,Glamorgan,9,0,0,0,0,0.0,"8,10,12,16",4.0,24,6,0,30,0,2,1,0,0,0,0,7.5,1,0,0,0,0,0,31,8,39
['2014-05-23'],NatWest T20 Blast,693043,Glamorgan,10,0,0,0,0,0.0,"6,8,14,18",4.0,24,6,0,30,3,0,1,0,1,0,1,7.5,0,0,0,0,0,0,39,0,39
['2014-05-16'],NatWest T20 Blast,693021,Glamorgan,10,0,0,0,0,0.0,"8,10,12,16",4.0,24,4,0,40,4,1,0,0,0,0,1,10.0,0,0,0,0,0,0,2,0,2
