date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2014-01-23'],Big Bash League,654089,Brisbane Heat,1,60,32,8,3,187.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,124,0,0,124
['2014-01-18'],Big Bash League,654081,Brisbane Heat,3,20,16,2,0,125.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,28,0,8,36
['2014-01-11'],Big Bash League,654073,Brisbane Heat,2,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2014-01-08'],Big Bash League,654065,Brisbane Heat,1,25,17,1,2,147.06,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,47,0,16,63
['2014-01-02'],Big Bash League,654055,Brisbane Heat,1,15,15,2,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,23,0,0,23
['2013-12-30'],Big Bash League,654047,Brisbane Heat,1,21,30,3,0,70.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,31,0,0,31
['2013-12-28'],Big Bash League,654043,Brisbane Heat,1,4,5,1,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2013-12-22'],Big Bash League,654037,Brisbane Heat,1,4,5,0,0,80.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2013-05-11'],Indian Premier League,598056,Kings XI Punjab,4,33,40,1,1,82.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,47,0,0,47
['2013-05-02'],Indian Premier League,598041,Kings XI Punjab,1,7,9,1,0,77.78,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2013-04-23'],Indian Premier League,598059,Kings XI Punjab,3,18,10,3,0,180.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,36,0,0,36
['2013-01-19'],Big Bash League,571266,Brisbane Heat,1,37,38,2,1,97.37,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,55,0,0,55
['2013-01-15'],Big Bash League,571264,Brisbane Heat,1,112,69,15,2,162.32,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,204,0,0,204
['2013-01-07'],Big Bash League,571259,Brisbane Heat,2,37,34,5,1,108.82,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,67,0,0,67
['2012-12-28'],Big Bash League,571250,Brisbane Heat,2,28,25,3,1,112.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,50,0,0,50
['2012-12-22'],Big Bash League,571245,Brisbane Heat,1,18,13,1,1,138.46,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,30,0,0,30
['2012-12-18'],Big Bash League,571241,Brisbane Heat,2,0,2,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2012-12-13'],Big Bash League,571237,Brisbane Heat,1,65,38,8,2,171.05,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,123,0,8,131
['2012-12-09'],Big Bash League,571234,Brisbane Heat,2,6,11,1,0,54.55,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,6,0,0,6
['2011-05-28'],Indian Premier League,501271,Royal Challengers Bangalore,5,2,3,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2011-05-27'],Indian Premier League,501270,Royal Challengers Bangalore,5,4,4,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,4,0,28,32
['2011-05-24'],Indian Premier League,501268,Royal Challengers Bangalore,5,29,18,2,2,161.11,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,57,0,0,57
['2011-05-22'],Indian Premier League,501266,Royal Challengers Bangalore,7,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2011-05-14'],Indian Premier League,501255,Royal Challengers Bangalore,2,16,14,2,0,114.29,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,24,0,8,32
['2009-05-20'],Indian Premier League,392234,Kings XI Punjab,3,26,32,1,1,81.25,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,40,0,8,48
['2009-05-17'],Indian Premier League,392229,Kings XI Punjab,3,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2009-05-15'],Indian Premier League,392226,Kings XI Punjab,3,9,5,2,0,180.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2009-05-12'],Indian Premier League,392222,Kings XI Punjab,7,5,7,0,0,71.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2008-05-28'],Indian Premier League,336019,Kings XI Punjab,4,1,1,0,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2008-05-23'],Indian Premier League,336031,Kings XI Punjab,4,13,12,0,1,108.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2008-05-21'],Indian Premier League,336028,Kings XI Punjab,3,79,50,10,3,158.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,153,0,0,153
