date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-22'],Big Bash League,1443098,Melbourne Stars,5,28,21,3,1,133.33,6,1.0,6,3,0,3,0,0,0,0,0,0,0,3.0,1,0,0,0,2,52,3,8,63
['2025-01-19'],Big Bash League,1443096,Melbourne Stars,5,76,32,5,6,237.5,9,1.0,6,0,0,7,0,0,0,0,0,0,0,7.0,3,0,0,0,6,150,0,28,178
['2025-01-12'],Big Bash League,1443088,Melbourne Stars,6,90,51,4,10,176.47,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,184,0,8,192
['2025-01-09'],Big Bash League,1443084,Melbourne Stars,6,58,32,5,3,181.25,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,6,110,0,16,126
['2025-01-04'],Big Bash League,1443079,Melbourne Stars,6,20,10,0,2,200.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,6,38,0,16,54
['2025-01-01'],Big Bash League,1443075,Melbourne Stars,6,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,0,0,0,-2,0,36,34
['2024-12-28'],Big Bash League,1443070,Melbourne Stars,4,6,4,1,0,150.0,2,1.0,6,1,0,11,2,0,0,0,0,0,0,11.0,1,0,0,0,0,10,1,8,19
['2024-12-26'],Big Bash League,1443067,Melbourne Stars,4,32,17,2,3,188.24,"1,15",2.0,12,3,0,31,4,2,0,0,0,0,0,15.5,0,0,0,0,6,68,-3,0,65
['2024-12-20'],Big Bash League,1443062,Melbourne Stars,4,15,5,0,2,300.0,"4,6",2.0,12,6,0,12,2,0,1,0,0,0,1,6.0,0,0,0,0,0,27,33,0,60
['2024-11-18'],Pakistan tour of Australia,1426554,Australia,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-11-16'],Pakistan tour of Australia,1426553,Australia,4,21,20,2,0,105.0,11,1.0,6,0,0,11,1,0,0,0,0,0,0,11.0,0,0,0,0,0,29,0,0,29
['2024-11-14'],Pakistan tour of Australia,1426552,Australia,3,43,18,5,3,238.89,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,91,0,0,91
['2024-06-24'],ICC Men's T20 World Cup,1415751,Australia,4,20,12,2,1,166.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,38,0,0,38
['2024-06-20'],ICC Men's T20 World Cup,1415744,Australia,4,14,6,1,1,233.33,"10,12",2.0,12,3,0,14,1,0,1,0,0,0,0,7.0,0,0,0,0,0,24,30,0,54
['2024-06-15'],ICC Men's T20 World Cup,1415735,Australia,4,11,8,0,1,137.5,"5,9,11,15",4.0,24,7,0,44,2,4,2,0,0,0,1,11.0,0,0,0,0,0,17,55,0,72
['2024-06-11'],ICC Men's T20 World Cup,1415724,Australia,4,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,36,36
['2024-06-08'],ICC Men's T20 World Cup,1415717,Australia,4,28,25,3,1,112.0,"12,14",2.0,12,5,0,22,0,3,0,0,0,0,0,11.0,1,0,0,0,0,50,3,8,61
['2024-06-05'],ICC Men's T20 World Cup,1415710,Australia,4,0,1,0,0,0.0,7,2.0,12,5,0,11,1,0,0,0,0,0,1,5.5,1,0,0,0,0,-2,9,8,15
['2024-05-22'],Indian Premier League,1426310,Royal Challengers Bengaluru,5,0,1,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-05-18'],Indian Premier League,1426306,Royal Challengers Bengaluru,6,16,5,2,1,320.0,"1,5,11,13",4.0,24,7,0,25,1,0,1,0,0,0,5,6.25,0,0,0,0,0,30,34,0,64
['2024-05-04'],Indian Premier League,1426290,Royal Challengers Bengaluru,5,4,3,1,0,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,8,0,8,16
['2024-04-28'],Indian Premier League,1426283,Royal Challengers Bengaluru,5,0,0,0,0,0.0,"7,9,16",3.0,18,5,0,28,1,2,1,0,0,0,0,9.33,0,0,0,0,0,0,30,0,30
['2024-04-11'],Indian Premier League,1426263,Royal Challengers Bengaluru,5,0,4,0,0,0.0,6,1.0,6,0,0,17,2,1,0,0,0,0,0,17.0,0,0,0,0,0,-2,0,0,-2
['2024-04-06'],Indian Premier League,1422137,Royal Challengers Bengaluru,3,1,3,0,0,33.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,8,9
['2024-04-02'],Indian Premier League,1422133,Royal Challengers Bengaluru,4,0,2,0,0,0.0,"4,6,8,14",4.0,24,12,0,23,0,2,2,0,0,0,1,5.75,0,0,0,0,0,-2,66,0,64
['2024-03-29'],Indian Premier League,1422128,Royal Challengers Bengaluru,4,28,19,3,1,147.37,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,52,0,0,52
['2024-03-25'],Indian Premier League,1422124,Royal Challengers Bengaluru,5,3,5,0,0,60.0,"9,11,13",3.0,18,6,0,29,2,2,2,0,0,0,0,9.67,0,0,0,0,0,3,56,0,59
['2024-03-22'],Indian Premier League,1422119,Royal Challengers Bengaluru,4,0,1,0,0,0.0,14,1.0,6,4,0,7,0,1,0,0,0,0,0,7.0,1,0,0,0,0,-2,4,8,10
