date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-12-09'],Syed Mushtaq Ali Trophy,1446099,Chandigarh,1,23,24,2,1,95.83,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,37,0,8,45
['2023-05-03'],Indian Premier League,1359519,Lucknow Super Giants,1,10,11,1,0,90.91,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
['2022-05-25'],Indian Premier League,1312198,Lucknow Super Giants,3,19,11,1,2,172.73,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,41,0,0,41
['2022-05-18'],Indian Premier League,1304112,Lucknow Super Giants,5,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2021-11-09'],Syed Mushtaq Ali Trophy,1280286,Chandigarh,1,74,58,3,4,127.59,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,118,0,0,118
['2021-11-08'],Syed Mushtaq Ali Trophy,1280269,Chandigarh,1,9,5,1,0,180.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,13,0,8,21
['2021-11-06'],Syed Mushtaq Ali Trophy,1280249,Chandigarh,1,106,64,9,5,165.62,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,192,0,0,192
['2021-11-05'],Syed Mushtaq Ali Trophy,1280231,Chandigarh,1,42,41,4,2,102.44,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,74,0,0,74
['2021-11-04'],Syed Mushtaq Ali Trophy,1280211,Chandigarh,1,42,39,3,2,107.69,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,70,0,0,70
['2021-04-22'],Indian Premier League,1254073,Rajasthan Royals,2,7,9,1,0,77.78,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2021-04-19'],Indian Premier League,1254069,Rajasthan Royals,2,14,11,1,1,127.27,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2021-04-15'],Indian Premier League,1254064,Rajasthan Royals,2,9,11,2,0,81.82,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2021-04-12'],Indian Premier League,1254061,Rajasthan Royals,2,12,8,1,1,150.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22
['2021-01-17'],Syed Mushtaq Ali Trophy,1244380,Chandigarh,1,19,13,4,0,146.15,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,37,0,0,37
['2021-01-15'],Syed Mushtaq Ali Trophy,1244360,Chandigarh,1,85,44,7,5,193.18,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,161,0,0,161
['2021-01-13'],Syed Mushtaq Ali Trophy,1244341,Chandigarh,1,39,29,3,2,134.48,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,69,0,0,69
['2019-11-17'],Syed Mushtaq Ali Trophy,1205826,Chandigarh,1,68,32,9,3,212.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,136,0,0,136
['2019-11-15'],Syed Mushtaq Ali Trophy,1205817,Chandigarh,1,11,6,2,0,183.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,19,0,12,31
['2019-11-14'],Syed Mushtaq Ali Trophy,1205790,Chandigarh,1,33,34,2,2,97.06,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,57,0,8,65
['2019-11-12'],Syed Mushtaq Ali Trophy,1205781,Chandigarh,1,1,7,0,0,14.29,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
