date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-02-03'],Bangladesh Premier League,1459580,Chittagong Kings,5,7,7,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2025-02-01'],Bangladesh Premier League,1459578,Chittagong Kings,4,42,23,3,3,182.61,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,82,0,0,82
['2025-01-30'],Bangladesh Premier League,1459576,Chittagong Kings,5,9,7,1,0,128.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,13,0,8,21
['2025-01-29'],Bangladesh Premier League,1459573,Chittagong Kings,5,48,18,1,6,266.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,6,98,0,14,112
['2025-01-22'],Bangladesh Premier League,1459565,Chittagong Kings,6,16,11,1,1,145.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,28,0,0,28
['2025-01-20'],Bangladesh Premier League,1459564,Chittagong Kings,5,25,14,1,2,178.57,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,51,0,0,51
['2025-01-19'],Bangladesh Premier League,1459561,Chittagong Kings,5,1,3,0,0,33.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2025-01-16'],Bangladesh Premier League,1459558,Chittagong Kings,5,1,2,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,16,17
['2025-01-13'],Bangladesh Premier League,1459555,Chittagong Kings,5,42,18,4,3,233.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,86,0,0,86
['2025-01-09'],Bangladesh Premier League,1459550,Chittagong Kings,6,0,0,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
