date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-14'],Vitality Blast,1410501,Gloucestershire,1,7,10,1,0,70.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,0,0,-2,9,0,36,45
['2024-09-14'],Vitality Blast,1410502,Gloucestershire,1,58,41,6,3,141.46,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,110,0,0,110
['2024-09-06'],Vitality Blast,1410499,Gloucestershire,1,30,23,4,1,130.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,58,0,8,66
['2024-07-18'],Vitality Blast,1410483,Gloucestershire,1,30,21,3,2,142.86,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,1,0,2,60,0,28,88
['2024-07-14'],Vitality Blast,1410476,Gloucestershire,1,0,4,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-07-12'],Vitality Blast,1410467,Gloucestershire,1,66,47,8,2,140.43,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,120,0,0,120
['2024-07-11'],Vitality Blast,1410462,Gloucestershire,1,0,9,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,-2,0,16,14
['2024-07-07'],Vitality Blast,1410457,Gloucestershire,1,42,32,5,1,131.25,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,74,0,16,90
['2024-07-05'],Vitality Blast,1410444,Gloucestershire,1,21,20,2,1,105.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,35,0,16,51
['2024-06-21'],Vitality Blast,1410435,Gloucestershire,1,39,24,7,1,162.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,81,0,0,81
['2024-06-20'],Vitality Blast,1410429,Gloucestershire,1,12,9,1,1,133.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22
['2024-06-16'],Vitality Blast,1410424,Gloucestershire,1,80,41,8,5,195.12,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,6,160,0,28,188
['2024-06-14'],Vitality Blast,1410417,Gloucestershire,1,33,25,4,2,132.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,67,0,0,67
['2024-06-09'],Vitality Blast,1410402,Gloucestershire,1,29,22,3,2,131.82,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,2,59,0,12,71
['2024-06-07'],Vitality Blast,1410395,Gloucestershire,1,3,6,0,0,50.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2024-05-31'],Vitality Blast,1410381,Gloucestershire,1,33,31,2,2,106.45,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,57,0,0,57
['2024-05-30'],Vitality Blast,1410371,Gloucestershire,1,4,6,0,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2023-07-02'],Vitality Blast,1347692,Gloucestershire,1,6,9,1,0,66.67,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,10,0,8,18
['2023-07-01'],Vitality Blast,1347685,Gloucestershire,1,14,10,2,1,140.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,30,0,8,38
['2023-06-23'],Vitality Blast,1347674,Gloucestershire,1,6,6,1,0,100.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,10,0,8,18
['2023-06-22'],Vitality Blast,1347668,Gloucestershire,1,7,3,0,1,233.33,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,13,0,8,21
