date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-10-23'],Syed Mushtaq Ali Trophy,1383517,Manipur,8,4,4,0,0,100.0,"8,10,12,14",4.0,24,5,0,29,2,1,1,1,0,0,0,7.25,0,0,0,0,0,4,38,0,42
['2023-10-21'],Syed Mushtaq Ali Trophy,1383496,Manipur,8,11,11,1,0,100.0,"6,8,10",2.333,14,5,0,25,2,2,1,0,1,0,0,10.72,0,0,0,0,0,15,36,0,51
['2023-10-16'],Syed Mushtaq Ali Trophy,1383445,Manipur,9,0,0,0,0,0.0,5,1.0,6,3,0,9,2,0,0,0,0,0,0,9.0,0,0,0,1,0,0,3,6,9
['2022-10-20'],Syed Mushtaq Ali Trophy,1333013,Manipur,11,0,0,0,0,0.0,"6,8,11",3.0,18,3,0,31,2,1,1,0,0,0,1,10.33,0,0,0,0,0,0,26,0,26
['2022-10-18'],Syed Mushtaq Ali Trophy,1332993,Manipur,8,1,5,0,0,20.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2021-11-09'],Syed Mushtaq Ali Trophy,1280290,Manipur,8,0,0,0,0,0.0,"7,9,14",3.0,18,3,0,29,3,1,0,0,0,0,0,9.67,0,0,0,0,0,0,3,0,3
['2021-11-08'],Syed Mushtaq Ali Trophy,1280273,Manipur,7,7,13,0,0,53.85,"1,13,15,17",4.0,24,7,0,29,2,0,2,0,1,0,5,7.25,0,0,0,0,-4,3,65,0,68
['2021-11-06'],Syed Mushtaq Ali Trophy,1280251,Manipur,10,0,0,0,0,0.0,"9,11,17",3.0,18,5,0,28,2,1,1,0,1,1,0,9.33,0,0,0,0,0,0,38,0,38
['2021-11-05'],Syed Mushtaq Ali Trophy,1280234,Manipur,8,0,0,0,0,0.0,"7,9,11,19",4.0,24,12,0,26,1,2,1,0,0,0,0,6.5,0,0,1,0,0,0,39,12,51
['2021-01-19'],Syed Mushtaq Ali Trophy,1244400,Manipur,8,4,7,0,0,57.14,"3,5,13",3.0,18,6,0,29,2,2,0,0,0,0,0,9.67,0,0,0,0,0,4,6,0,10
['2021-01-17'],Syed Mushtaq Ali Trophy,1244378,Manipur,8,10,10,0,0,100.0,"5,7,15",3.0,18,5,0,24,2,1,0,0,0,0,0,8.0,0,0,0,0,0,10,5,0,15
['2021-01-15'],Syed Mushtaq Ali Trophy,1244362,Manipur,8,22,12,1,1,183.33,"9,11,14,17",4.0,24,9,0,25,3,0,1,0,0,0,0,6.25,0,0,0,0,6,38,36,0,74
['2021-01-13'],Syed Mushtaq Ali Trophy,1244341,Manipur,8,20,35,1,1,57.14,"10,12,14,16",4.0,24,6,0,29,0,2,0,0,0,0,0,7.25,1,0,0,0,-4,26,6,8,40
['2021-01-11'],Syed Mushtaq Ali Trophy,1244322,Manipur,10,0,0,0,0,0.0,"8,10,12",3.0,18,7,0,22,2,1,2,1,1,0,0,7.33,0,0,0,0,0,0,73,0,73
