date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-03'],Big Bash League,1443078,Sydney Thunder,10,0,0,0,0,0.0,"4,9,14",3.0,18,5,0,25,1,1,0,0,0,0,0,8.33,1,0,0,0,0,0,5,8,13
['2024-12-30'],Big Bash League,1443072,Sydney Thunder,8,0,0,0,0,0.0,"6,10,12,16",4.0,24,9,0,26,0,2,2,0,1,0,1,6.5,0,0,0,0,0,0,69,0,69
['2024-12-28'],Big Bash League,1443070,Sydney Thunder,8,16,8,2,1,200.0,"4,12,16",3.0,18,3,0,27,2,0,1,0,0,0,5,9.0,0,0,0,0,0,30,28,0,58
['2024-12-21'],Big Bash League,1443064,Sydney Thunder,6,2,2,0,0,100.0,"4,8,14,18",4.0,24,8,0,29,2,1,1,0,0,0,0,7.25,0,0,0,0,0,2,33,0,35
['2024-12-17'],Big Bash League,1443059,Sydney Thunder,8,42,17,4,3,247.06,"5,12,17,19",4.0,24,8,0,44,3,3,0,0,0,0,0,11.0,0,0,0,0,6,86,6,0,92
['2024-06-14'],Vitality Blast,1410413,Essex,6,11,13,1,0,84.62,"1,6",2.0,12,3,0,35,2,4,0,0,0,0,0,17.5,0,0,0,0,0,15,-3,0,12
['2024-06-13'],Vitality Blast,1410411,Essex,7,0,0,0,0,0.0,"1,5",2.0,12,5,0,20,4,0,0,0,0,0,0,10.0,0,0,0,0,0,0,3,0,3
['2024-06-07'],Vitality Blast,1410394,Essex,7,2,4,0,0,50.0,"1,6,18,20",4.0,24,13,1,28,3,1,3,0,1,2,0,7.0,1,0,0,0,0,2,114,8,124
['2024-06-02'],Vitality Blast,1410385,Essex,7,10,3,1,1,333.33,"1,6,18,20",4.0,24,11,0,35,4,2,2,0,0,0,0,8.75,1,0,0,0,0,20,61,8,89
['2024-05-31'],Vitality Blast,1410380,Essex,6,1,2,0,0,50.0,"1,6,18,20",3.167,19,6,0,31,2,2,1,0,0,0,1,9.79,0,0,0,0,0,1,31,0,32
['2024-05-30'],Vitality Blast,1410371,Essex,7,9,7,0,1,128.57,"1,3,6",3.0,18,7,0,32,3,2,1,0,0,0,0,10.67,0,0,0,0,0,15,30,0,45
['2024-01-14'],Big Bash League,1386130,Sydney Thunder,8,11,6,2,0,183.33,"1,10,15",3.0,18,2,0,22,1,0,0,0,0,0,0,7.33,0,0,0,0,0,19,2,0,21
['2024-01-12'],Big Bash League,1386127,Sydney Thunder,6,0,3,0,0,0.0,"1,12,17,20",4.0,24,8,0,40,3,1,1,0,0,0,2,10.0,1,0,0,0,0,-2,31,8,37
['2024-01-08'],Big Bash League,1386123,Sydney Thunder,7,1,5,0,0,20.0,"4,11,18",3.0,18,5,0,29,3,1,0,0,0,0,3,9.67,0,0,0,0,0,1,5,0,6
['2024-01-01'],Big Bash League,1386114,Sydney Thunder,6,25,20,3,0,125.0,"1,3,13,17",4.0,24,10,0,37,7,0,1,0,0,0,2,9.25,1,0,0,0,0,41,35,8,84
['2023-12-30'],Big Bash League,1386112,Sydney Thunder,6,30,25,3,0,120.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,46,0,0,46
['2023-12-27'],Big Bash League,1386109,Sydney Thunder,6,1,2,0,0,50.0,"8,12,15,19",4.0,24,11,0,30,2,2,5,0,0,0,0,7.5,1,0,0,0,0,1,148,8,157
['2023-12-23'],Big Bash League,1386105,Sydney Thunder,6,22,13,1,1,169.23,"5,11,18,20",4.0,24,10,0,33,4,1,4,0,1,0,2,8.25,1,0,0,1,4,36,126,14,176
['2023-12-19'],Big Bash League,1386101,Sydney Thunder,6,1,2,0,0,50.0,"4,11,17",3.0,18,3,0,35,1,3,1,1,0,0,0,11.67,0,0,0,0,0,1,32,0,33
['2023-12-12'],Big Bash League,1386099,Sydney Thunder,6,11,9,0,1,122.22,"1,10",2.0,12,4,0,25,0,3,0,0,0,0,0,12.5,1,0,0,0,0,17,-2,8,23
['2023-07-15'],Vitality Blast,1347698,Essex,6,29,16,2,3,181.25,"2,13,18,20",4.0,24,4,0,49,5,2,1,0,0,0,1,12.25,1,0,0,0,6,65,23,8,96
['2023-07-15'],Vitality Blast,1347700,Essex,7,45,26,1,3,173.08,"1,6,18,20",4.0,24,6,0,26,2,0,1,0,0,0,0,6.5,0,0,0,0,6,77,33,0,110
['2023-07-06'],Vitality Blast,1347694,Essex,7,5,4,1,0,125.0,"1,3,6,19",4.0,24,10,1,41,5,2,1,0,0,0,1,10.25,2,0,0,0,0,9,45,16,70
['2023-07-02'],Vitality Blast,1347690,Essex,7,6,3,0,1,200.0,"1,6,16,20",4.0,24,10,0,44,4,3,1,0,0,0,4,11.0,2,0,0,0,0,12,33,16,61
['2023-06-30'],Vitality Blast,1347681,Essex,7,69,33,6,6,209.09,"2,6,14,18",4.0,24,11,0,37,6,1,1,0,0,0,1,9.25,2,0,0,0,6,143,36,16,195
['2023-06-23'],Vitality Blast,1347669,Essex,5,30,18,0,2,166.67,"1,6,18,20",3.333,20,3,0,46,5,2,1,0,0,0,1,13.8,0,0,0,0,4,50,22,0,72
['2023-06-22'],Vitality Blast,1347667,Essex,7,3,6,0,0,50.0,"1,3,18",3.0,18,9,0,18,1,1,1,0,0,0,0,6.0,0,0,0,0,0,3,36,0,39
['2023-06-19'],Vitality Blast,1347654,Essex,7,4,5,0,0,80.0,"2,6,11,15",4.0,24,13,0,22,2,1,2,1,0,0,0,5.5,0,0,0,0,0,4,75,0,79
['2023-06-18'],Vitality Blast,1347650,Essex,6,67,23,2,8,291.3,"2,6",2.0,12,3,0,15,2,0,1,0,1,0,2,7.5,1,0,0,0,6,137,36,8,181
['2023-06-16'],Vitality Blast,1347643,Essex,7,41,16,5,2,256.25,"2,6,13,19",4.0,24,10,0,20,0,1,1,0,0,0,1,5.0,0,0,0,0,6,83,39,0,122
['2023-06-09'],Vitality Blast,1347632,Essex,7,30,20,3,1,150.0,"1,6,18",3.0,18,8,0,27,5,0,2,0,0,0,0,9.0,0,0,0,0,0,52,58,0,110
['2023-06-07'],Vitality Blast,1347626,Essex,7,17,14,1,1,121.43,"1,6,13,20",4.0,24,5,0,52,6,2,1,0,0,2,1,13.0,1,0,0,0,0,27,24,8,59
['2023-06-06'],Vitality Blast,1347621,Essex,7,29,16,4,1,181.25,"2,7,18,20",3.5,21,7,0,25,3,0,1,0,0,0,1,7.14,0,0,0,0,6,61,32,0,93
